id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ_5oevmHFCJERWnEqackEbg0,https://www.google.com/maps/place/?q=place_id:ChIJ_5oevmHFCJERWnEqackEbg0,Pollos A La Brasa San Miguel,Restaurante,"Jr. Andres A. Càceres cda. 1, Ovalo, La Oroya",964 258 304,+51 964 258 304,,,"-11.5404117,-75.927438",3.8,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJkcQPhG3JBZERWbwlYx7lTK8,https://www.google.com/maps/place/?q=place_id:ChIJkcQPhG3JBZERWbwlYx7lTK8,Pardos Chicken Plaza San Miguel,Restaurante especializado en pollo,"Centro Comercial Plaza, Av. de la Marina 2000, San Miguel 15088",(01) 2198000,+51 1 2198000,pardoschicken.pe,https://www.pardoschicken.pe/,"-12.0763833,-77.0819679",4.3,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJP5XqBXnJBZERdsegUU6jfyA,https://www.google.com/maps/place/?q=place_id:ChIJP5XqBXnJBZERdsegUU6jfyA,FIORYS CHICKEN,Restaurante especializado en pollo,"Av. La Paz 1253, San Miguel 15087",962 343 092,+51 962 343 092,,,"-12.085171599999999,-77.0943606",3.9,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJp0uPsinLBZER3_H7g-YnQj4,https://www.google.com/maps/place/?q=place_id:ChIJp0uPsinLBZER3_H7g-YnQj4,Brasas San Miguel,Restaurante peruano,"Av. de la Marina 845, La Perla 07016",964 820 532,+51 964 820 532,,,"-12.069269799999999,-77.1127791",3,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJzYP-_qDJBZERM2j1bWlmtKg,https://www.google.com/maps/place/?q=place_id:ChIJzYP-_qDJBZERM2j1bWlmtKg,Kai Chicken Pollos a la Brasa,Restaurante,"Av. Lima 1278, San Miguel 15087",932 443 505,+51 932 443 505,beacons.ai,http://beacons.ai/kaichicken,"-12.084838999999999,-77.0880028",4.9,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJTR6TZADjspERJY3Y1DCbAN4,https://www.google.com/maps/place/?q=place_id:ChIJTR6TZADjspERJY3Y1DCbAN4,MR. PECHUGÓN,Restaurante especializado en pollo,"X4XW+CVV, San Miguel de Pallaques 06456",,,,,"-7.001384799999999,-78.8528243",,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJvwPzsHrJBZERxC1Dgs4M_uQ,https://www.google.com/maps/place/?q=place_id:ChIJvwPzsHrJBZERxC1Dgs4M_uQ,POLLOS MICKY,Restaurante,"Av. de la Marina 3105, San Miguel 15088",5783158,+51 5783158,,,"-12.075608899999999,-77.0977147",4.3,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJEckqe97jspERN1tKs4Vk3co,https://www.google.com/maps/place/?q=place_id:ChIJEckqe97jspERN1tKs4Vk3co,Polleria Chicken Wings Plaza,Restaurante,"Jr. Pedro Novoa 327, San Miguel de Pallaques 06456",,,,,"-7.0003443999999995,-78.851867",4.3,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJWTkwBnPJBZER1nZ1SKa_uiQ,https://www.google.com/maps/place/?q=place_id:ChIJWTkwBnPJBZER1nZ1SKa_uiQ,Pollos y parrillas San Martin,Restaurante,"Av. Universitaria 813, San Miguel 15087",(01) 2632825,+51 1 2632825,,,"-12.0801771,-77.0821461",4.3,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJU6wSl5vJBZERFhXfWrvYh3g,https://www.google.com/maps/place/?q=place_id:ChIJU6wSl5vJBZERFhXfWrvYh3g,Don Tito San Miguel,Restaurante especializado en pollo,"Av. de la Marina 2125, San Miguel 15087",(01) 6809200,+51 1 6809200,dontito.pe,https://dontito.pe/,"-12.078438799999999,-77.0831513",4,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJg5EG7bLJBZERT-xlgeOK7tc,https://www.google.com/maps/place/?q=place_id:ChIJg5EG7bLJBZERT-xlgeOK7tc,Majosh Chicken Pollos Y Parilla,Restaurante,"Av. Libertad 1532, San Miguel 15087",962 170 435,+51 962 170 435,,,"-12.0826994,-77.09618429999999",4.6,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJD-EA81_JBZERw3CcopJ4KxE,https://www.google.com/maps/place/?q=place_id:ChIJD-EA81_JBZERw3CcopJ4KxE,Don Paco - Pollos y Parrillas,Restaurante,"Jr. Federico Gallese Taricchi 749, San Miguel 15086",949 917 896,+51 949 917 896,,,"-12.0909443,-77.0823939",4.6,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJ_TtGTLTJBZER1B_xEsk0pqg,https://www.google.com/maps/place/?q=place_id:ChIJ_TtGTLTJBZER1B_xEsk0pqg,MASTER BRASA,Restaurante especializado en pollo,"Av. Lima 683, San Miguel 15086",957 303 247,+51 957 303 247,facebook.com,https://www.facebook.com/MasterBrasaPeru,"-12.088628799999999,-77.08054299999999",4.3,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJtx2Az3LJBZER6PMmEhlKTPg,https://www.google.com/maps/place/?q=place_id:ChIJtx2Az3LJBZER6PMmEhlKTPg,Norky's,Restaurante especializado en pollo,"Av. de la Marina 1705, San Miguel 15086",(01) 2631268,+51 1 2631268,norkys.pe,http://norkys.pe/,"-12.0787347,-77.0802401",4,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJrV0FRKDJBZERD2ZQqeuZu34,https://www.google.com/maps/place/?q=place_id:ChIJrV0FRKDJBZERD2ZQqeuZu34,POYEROS,Restaurante,"Av. Rafael Escardó 925, San Miguel 15088",997 141 658,+51 997 141 658,,,"-12.069835699999999,-77.0915911",4.1,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJM2bQFW3JBZERRJSN9TvShbY,https://www.google.com/maps/place/?q=place_id:ChIJM2bQFW3JBZERRJSN9TvShbY,Villa Chicken,Restaurante especializado en pollo,"Av. La Mar 2251, San Miguel 15088",(01) 5008800,+51 1 5008800,villachicken.com.pe,http://www.villachicken.com.pe/,"-12.074995,-77.0810599",4.2,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJVQrF4OvJBZERVsC9fweill4,https://www.google.com/maps/place/?q=place_id:ChIJVQrF4OvJBZERVsC9fweill4,POYEROS,Pollería,"Av Brigida Silva de Ochoa 192, San Miguel 15087",997 141 658,+51 997 141 658,,,"-12.0827025,-77.0890956",4.2,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJ8WTXF23JBZERPTI6h7xtbT4,https://www.google.com/maps/place/?q=place_id:ChIJ8WTXF23JBZERPTI6h7xtbT4,La Leña,Restaurante,"Av. La Mar 2262, San Miguel 15088",(01) 5002550,+51 1 5002550,,,"-12.0746804,-77.0809096",4.2,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJS4yANKPLBZERTk85cuWwGfo,https://www.google.com/maps/place/?q=place_id:ChIJS4yANKPLBZERTk85cuWwGfo,POYI,Restaurante,"Avenida La Libertad 2270, San Miguel 15087",936 050 908,+51 936 050 908,,,"-12.0798325,-77.10266109999999",4.6,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJ_5oevmHFCJERWnEqackEbg0,https://www.google.com/maps/place/?q=place_id:ChIJ_5oevmHFCJERWnEqackEbg0,Pollos A La Brasa San Miguel,Restaurante,"Jr. Andres A. Càceres cda. 1, Ovalo, La Oroya",964 258 304,+51 964 258 304,,,"-11.5404117,-75.927438",3.8,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJkcQPhG3JBZERWbwlYx7lTK8,https://www.google.com/maps/place/?q=place_id:ChIJkcQPhG3JBZERWbwlYx7lTK8,Pardos Chicken Plaza San Miguel,Restaurante especializado en pollo,"Centro Comercial Plaza, Av. de la Marina 2000, San Miguel 15088",(01) 2198000,+51 1 2198000,pardoschicken.pe,https://www.pardoschicken.pe/,"-12.0763833,-77.0819679",4.3,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJP5XqBXnJBZERdsegUU6jfyA,https://www.google.com/maps/place/?q=place_id:ChIJP5XqBXnJBZERdsegUU6jfyA,FIORYS CHICKEN,Restaurante especializado en pollo,"Av. La Paz 1253, San Miguel 15087",962 343 092,+51 962 343 092,,,"-12.085171599999999,-77.0943606",3.9,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJp0uPsinLBZER3_H7g-YnQj4,https://www.google.com/maps/place/?q=place_id:ChIJp0uPsinLBZER3_H7g-YnQj4,Brasas San Miguel,Restaurante peruano,"Av. de la Marina 845, La Perla 07016",964 820 532,+51 964 820 532,,,"-12.069269799999999,-77.1127791",3,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJzYP-_qDJBZERM2j1bWlmtKg,https://www.google.com/maps/place/?q=place_id:ChIJzYP-_qDJBZERM2j1bWlmtKg,Kai Chicken Pollos a la Brasa,Restaurante,"Av. Lima 1278, San Miguel 15087",932 443 505,+51 932 443 505,beacons.ai,http://beacons.ai/kaichicken,"-12.084838999999999,-77.0880028",4.9,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJTR6TZADjspERJY3Y1DCbAN4,https://www.google.com/maps/place/?q=place_id:ChIJTR6TZADjspERJY3Y1DCbAN4,MR. PECHUGÓN,Restaurante especializado en pollo,"X4XW+CVV, San Miguel de Pallaques 06456",,,,,"-7.001384799999999,-78.8528243",,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJvwPzsHrJBZERxC1Dgs4M_uQ,https://www.google.com/maps/place/?q=place_id:ChIJvwPzsHrJBZERxC1Dgs4M_uQ,POLLOS MICKY,Restaurante,"Av. de la Marina 3105, San Miguel 15088",5783158,+51 5783158,,,"-12.075608899999999,-77.0977147",4.3,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJEckqe97jspERN1tKs4Vk3co,https://www.google.com/maps/place/?q=place_id:ChIJEckqe97jspERN1tKs4Vk3co,Polleria Chicken Wings Plaza,Restaurante,"Jr. Pedro Novoa 327, San Miguel de Pallaques 06456",,,,,"-7.0003443999999995,-78.851867",4.3,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJWTkwBnPJBZER1nZ1SKa_uiQ,https://www.google.com/maps/place/?q=place_id:ChIJWTkwBnPJBZER1nZ1SKa_uiQ,Pollos y parrillas San Martin,Restaurante,"Av. Universitaria 813, San Miguel 15087",(01) 2632825,+51 1 2632825,,,"-12.0801771,-77.0821461",4.3,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJU6wSl5vJBZERFhXfWrvYh3g,https://www.google.com/maps/place/?q=place_id:ChIJU6wSl5vJBZERFhXfWrvYh3g,Don Tito San Miguel,Restaurante especializado en pollo,"Av. de la Marina 2125, San Miguel 15087",(01) 6809200,+51 1 6809200,dontito.pe,https://dontito.pe/,"-12.078438799999999,-77.0831513",4,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJg5EG7bLJBZERT-xlgeOK7tc,https://www.google.com/maps/place/?q=place_id:ChIJg5EG7bLJBZERT-xlgeOK7tc,Majosh Chicken Pollos Y Parilla,Restaurante,"Av. Libertad 1532, San Miguel 15087",962 170 435,+51 962 170 435,,,"-12.0826994,-77.09618429999999",4.6,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJD-EA81_JBZERw3CcopJ4KxE,https://www.google.com/maps/place/?q=place_id:ChIJD-EA81_JBZERw3CcopJ4KxE,Don Paco - Pollos y Parrillas,Restaurante,"Jr. Federico Gallese Taricchi 749, San Miguel 15086",949 917 896,+51 949 917 896,,,"-12.0909443,-77.0823939",4.6,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJ_TtGTLTJBZER1B_xEsk0pqg,https://www.google.com/maps/place/?q=place_id:ChIJ_TtGTLTJBZER1B_xEsk0pqg,MASTER BRASA,Restaurante especializado en pollo,"Av. Lima 683, San Miguel 15086",957 303 247,+51 957 303 247,facebook.com,https://www.facebook.com/MasterBrasaPeru,"-12.088628799999999,-77.08054299999999",4.3,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
ChIJtx2Az3LJBZER6PMmEhlKTPg,https://www.google.com/maps/place/?q=place_id:ChIJtx2Az3LJBZER6PMmEhlKTPg,Norky's,Restaurante especializado en pollo,"Av. de la Marina 1705, San Miguel 15086",(01) 2631268,+51 1 2631268,norkys.pe,http://norkys.pe/,"-12.0787347,-77.0802401",4,,"Pollería en el distrito de San Miguel, San Miguel, Cajamarca, Perú"
