id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJ5dC585_JBZERdN-YLzveN5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5dC585_JBZERdN-YLzveN5Q,Pá la Brasa,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 489, San Miguel 15086",(01) 2649099,+51 1 2649099,,,"-12.0889606,-77.08010519999999",4.1,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
ChIJM0Ez4ArJBZERhin_SCWmst8,https://www.google.com/maps/place/?q=place_id:ChIJM0Ez4ArJBZERhin_SCWmst8,Mi Pollería,Restaurante especializado en pollo,"Jr. Crnel. Francisco Bolognesi 843, San Miguel 15086",(01) 2206008,+51 1 2206008,instagram.com,https://www.instagram.com/mipolleria/,"-12.0849689,-77.0778868",4.3,,"Pollería en el distrito de Llapa, San Miguel, Cajamarca, Perú"
