id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ_07IvD6WDpERGkWyCtYRiK0,https://www.google.com/maps/place/?q=place_id:ChIJ_07IvD6WDpERGkWyCtYRiK0,El Sitio,Marisquería,"Tambo, Psj N° 180, Huancayo 12004",983 842 424,+51 983 842 424,,,"-12.056036599999999,-75.2200968",3.7,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJf4cIZrHRBZERvizTdp3ksGU,https://www.google.com/maps/place/?q=place_id:ChIJf4cIZrHRBZERvizTdp3ksGU,"Restaurante ""El Bonito Soy Yo""",Restaurante,"El Alamo, Comas 15316",987 132 374,+51 987 132 374,facebook.com,https://www.facebook.com/Cevicheria-El-bonito-soy-yo-587486907986677/,"-11.9257315,-77.0641998",4.1,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJBbGcBQDXbZERyWrPqUixwwo,https://www.google.com/maps/place/?q=place_id:ChIJBbGcBQDXbZERyWrPqUixwwo,Cevicheria,Restaurante,"F2H9+79Q, C. Nueva, Cusco 08002",,,,,"-13.5217824,-71.9815089",,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJ43FOAqV_bpER3wH6Q2Hq8uo,https://www.google.com/maps/place/?q=place_id:ChIJ43FOAqV_bpER3wH6Q2Hq8uo,Caracol Azul Cevicheria Cusco,Restaurante,"Urb. Ttio, Cusco 08002",980 006 258,+51 980 006 258,caracolazulrestaurant.com,http://www.caracolazulrestaurant.com/,"-13.532478099999999,-71.9588699",4.7,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJHXX1U1V_bpER3hne9M061HE,https://www.google.com/maps/place/?q=place_id:ChIJHXX1U1V_bpER3hne9M061HE,Cevichería Restaurant Vichayito S.R.L.,Marisquería,"Av. Collasuyo A-5B A 1 Cdra de Real Plaza, Cusco 08000",(084) 598226,+51 84 598226,,,"-13.5208543,-71.9521005",4.3,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJQ8i84AF_bpERnEOlzceHtLw,https://www.google.com/maps/place/?q=place_id:ChIJQ8i84AF_bpERnEOlzceHtLw,PESCAMAR CUSCO CEVICHERÍA,Restaurante,"Urbanización cachimayo C-29 san Sebastián, Cusco 08006",963 475 856,+51 963 475 856,facebook.com,https://www.facebook.com/PescamarCusco,"-13.535291599999999,-71.9072199",4.5,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJ7wTmC1LXbZERUjfGNuanwmM,https://www.google.com/maps/place/?q=place_id:ChIJ7wTmC1LXbZERUjfGNuanwmM,Muelle Criollo,Restaurante peruano,"051, Cusco 05184",941 221 105,+51 941 221 105,,,"-13.5163554,-71.9821573",4.6,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJD3Tj0CfVbZERQkacaHswEvw,https://www.google.com/maps/place/?q=place_id:ChIJD3Tj0CfVbZERQkacaHswEvw,Mr. Ceviche,Restaurante,"Av Tullumayo 874, Cusco 08002",984 672 707,+51 984 672 707,,,"-13.524009,-71.9728287",4.4,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJge-9s1d_bpERaNGfm7fIji0,https://www.google.com/maps/place/?q=place_id:ChIJge-9s1d_bpERaNGfm7fIji0,Punto Mar Cevicheria Cusco,Restaurante peruano,"Urb. Magisterial (parque del mapa) E23A, Cusco 08003",982 505 723,+51 982 505 723,,,"-13.524505,-71.9493054",4.3,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJD8GNP1HVbZER_8-lNJkW-GY,https://www.google.com/maps/place/?q=place_id:ChIJD8GNP1HVbZER_8-lNJkW-GY,VICHAYITO TTIO,Restaurante,"F29V+4P5, Av. Libertad, Cusco 08002",,,,,"-13.532233199999999,-71.9556484",3.6,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJB153f_nVbZER-S4yXYs7Epo,https://www.google.com/maps/place/?q=place_id:ChIJB153f_nVbZER-S4yXYs7Epo,LA REPÚBLICA DEL CEVICHE,Marisquería,"Av. 4to paradero, Av. Túpac Amaru 3319, Cusco 08003",958 122 410,+51 958 122 410,facebook.com,https://www.facebook.com/La-Republica-Del-Ceviche-1293377237360472/,"-13.5222137,-71.94712179999999",4,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJ725HPn5_bpERaTyGrQTI80E,https://www.google.com/maps/place/?q=place_id:ChIJ725HPn5_bpERaTyGrQTI80E,Cevicheria Rey Mar 1,Restaurante,"Paradero Covipol, Av. Collasuyo A-13, Cusco 08004",983 827 071,+51 983 827 071,,,"-13.523240699999999,-71.9451481",3.1,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJWXh3EJ9_bpERD0-6loYDx9A,https://www.google.com/maps/place/?q=place_id:ChIJWXh3EJ9_bpERD0-6loYDx9A,Cevichería POPEYE,Restaurante,"Tomas Tuyro Tupac 57, Cusco 08004",963 299 545,+51 963 299 545,,,"-13.530626799999999,-71.9325683",4.1,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJHZycWw9_bpERO1uXRYo_6BA,https://www.google.com/maps/place/?q=place_id:ChIJHZycWw9_bpERO1uXRYo_6BA,Cevicheria Río Dorado,Restaurante,"Urb, Cervecero N° 27, Cusco 08003",927 342 462,+51 927 342 462,,,"-13.5280986,-71.9454627",3.8,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJ_XpzE-TVbZERDqEYj1Fb8ms,https://www.google.com/maps/place/?q=place_id:ChIJ_XpzE-TVbZERDqEYj1Fb8ms,Cebicheria Los Cangrejos De Piura De Don Tulio,Restaurante,"Av. Infancia 533, Cusco 08002",,,,,"-13.528756399999999,-71.9684498",3.8,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJT2_1M_zVbZER8rIQil4qvRk,https://www.google.com/maps/place/?q=place_id:ChIJT2_1M_zVbZER8rIQil4qvRk,"""El Paisa"" - Restaurant Norteño.",Restaurante,"Av. Micaela Bastidas 647, Cusco 08002",(084) 251717,+51 84 251717,,,"-13.524464,-71.959062",3.8,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJ_07IvD6WDpERGkWyCtYRiK0,https://www.google.com/maps/place/?q=place_id:ChIJ_07IvD6WDpERGkWyCtYRiK0,El Sitio,Marisquería,"Tambo, Psj N° 180, Huancayo 12004",983 842 424,+51 983 842 424,,,"-12.056036599999999,-75.2200968",3.7,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJf4cIZrHRBZERvizTdp3ksGU,https://www.google.com/maps/place/?q=place_id:ChIJf4cIZrHRBZERvizTdp3ksGU,"Restaurante ""El Bonito Soy Yo""",Restaurante,"El Alamo, Comas 15316",987 132 374,+51 987 132 374,facebook.com,https://www.facebook.com/Cevicheria-El-bonito-soy-yo-587486907986677/,"-11.9257315,-77.0641998",4.1,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJBbGcBQDXbZERyWrPqUixwwo,https://www.google.com/maps/place/?q=place_id:ChIJBbGcBQDXbZERyWrPqUixwwo,Cevicheria,Restaurante,"F2H9+79Q, C. Nueva, Cusco 08002",,,,,"-13.5217824,-71.9815089",,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJ43FOAqV_bpER3wH6Q2Hq8uo,https://www.google.com/maps/place/?q=place_id:ChIJ43FOAqV_bpER3wH6Q2Hq8uo,Caracol Azul Cevicheria Cusco,Restaurante,"Urb. Ttio, Cusco 08002",980 006 258,+51 980 006 258,caracolazulrestaurant.com,http://www.caracolazulrestaurant.com/,"-13.532478099999999,-71.9588699",4.7,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJHXX1U1V_bpER3hne9M061HE,https://www.google.com/maps/place/?q=place_id:ChIJHXX1U1V_bpER3hne9M061HE,Cevichería Restaurant Vichayito S.R.L.,Marisquería,"Av. Collasuyo A-5B A 1 Cdra de Real Plaza, Cusco 08000",(084) 598226,+51 84 598226,,,"-13.5208543,-71.9521005",4.3,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJQ8i84AF_bpERnEOlzceHtLw,https://www.google.com/maps/place/?q=place_id:ChIJQ8i84AF_bpERnEOlzceHtLw,PESCAMAR CUSCO CEVICHERÍA,Restaurante,"Urbanización cachimayo C-29 san Sebastián, Cusco 08006",963 475 856,+51 963 475 856,facebook.com,https://www.facebook.com/PescamarCusco,"-13.535291599999999,-71.9072199",4.5,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJ7wTmC1LXbZERUjfGNuanwmM,https://www.google.com/maps/place/?q=place_id:ChIJ7wTmC1LXbZERUjfGNuanwmM,Muelle Criollo,Restaurante peruano,"051, Cusco 05184",941 221 105,+51 941 221 105,,,"-13.5163554,-71.9821573",4.6,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJD3Tj0CfVbZERQkacaHswEvw,https://www.google.com/maps/place/?q=place_id:ChIJD3Tj0CfVbZERQkacaHswEvw,Mr. Ceviche,Restaurante,"Av Tullumayo 874, Cusco 08002",984 672 707,+51 984 672 707,,,"-13.524009,-71.9728287",4.4,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJge-9s1d_bpERaNGfm7fIji0,https://www.google.com/maps/place/?q=place_id:ChIJge-9s1d_bpERaNGfm7fIji0,Punto Mar Cevicheria Cusco,Restaurante peruano,"Urb. Magisterial (parque del mapa) E23A, Cusco 08003",982 505 723,+51 982 505 723,,,"-13.524505,-71.9493054",4.3,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJD8GNP1HVbZER_8-lNJkW-GY,https://www.google.com/maps/place/?q=place_id:ChIJD8GNP1HVbZER_8-lNJkW-GY,VICHAYITO TTIO,Restaurante,"F29V+4P5, Av. Libertad, Cusco 08002",,,,,"-13.532233199999999,-71.9556484",3.6,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJB153f_nVbZER-S4yXYs7Epo,https://www.google.com/maps/place/?q=place_id:ChIJB153f_nVbZER-S4yXYs7Epo,LA REPÚBLICA DEL CEVICHE,Marisquería,"Av. 4to paradero, Av. Túpac Amaru 3319, Cusco 08003",958 122 410,+51 958 122 410,facebook.com,https://www.facebook.com/La-Republica-Del-Ceviche-1293377237360472/,"-13.5222137,-71.94712179999999",4,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJ725HPn5_bpERaTyGrQTI80E,https://www.google.com/maps/place/?q=place_id:ChIJ725HPn5_bpERaTyGrQTI80E,Cevicheria Rey Mar 1,Restaurante,"Paradero Covipol, Av. Collasuyo A-13, Cusco 08004",983 827 071,+51 983 827 071,,,"-13.523240699999999,-71.9451481",3.1,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJWXh3EJ9_bpERD0-6loYDx9A,https://www.google.com/maps/place/?q=place_id:ChIJWXh3EJ9_bpERD0-6loYDx9A,Cevichería POPEYE,Restaurante,"Tomas Tuyro Tupac 57, Cusco 08004",963 299 545,+51 963 299 545,,,"-13.530626799999999,-71.9325683",4.1,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJHZycWw9_bpERO1uXRYo_6BA,https://www.google.com/maps/place/?q=place_id:ChIJHZycWw9_bpERO1uXRYo_6BA,Cevicheria Río Dorado,Restaurante,"Urb, Cervecero N° 27, Cusco 08003",927 342 462,+51 927 342 462,,,"-13.5280986,-71.9454627",3.8,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJ_XpzE-TVbZERDqEYj1Fb8ms,https://www.google.com/maps/place/?q=place_id:ChIJ_XpzE-TVbZERDqEYj1Fb8ms,Cebicheria Los Cangrejos De Piura De Don Tulio,Restaurante,"Av. Infancia 533, Cusco 08002",,,,,"-13.528756399999999,-71.9684498",3.8,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJT2_1M_zVbZER8rIQil4qvRk,https://www.google.com/maps/place/?q=place_id:ChIJT2_1M_zVbZER8rIQil4qvRk,"""El Paisa"" - Restaurant Norteño.",Restaurante,"Av. Micaela Bastidas 647, Cusco 08002",(084) 251717,+51 84 251717,,,"-13.524464,-71.959062",3.8,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJ_07IvD6WDpERGkWyCtYRiK0,https://www.google.com/maps/place/?q=place_id:ChIJ_07IvD6WDpERGkWyCtYRiK0,El Sitio,Marisquería,"Tambo, Psj N° 180, Huancayo 12004",983 842 424,+51 983 842 424,,,"-12.056036599999999,-75.2200968",3.7,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJf4cIZrHRBZERvizTdp3ksGU,https://www.google.com/maps/place/?q=place_id:ChIJf4cIZrHRBZERvizTdp3ksGU,"Restaurante ""El Bonito Soy Yo""",Restaurante,"El Alamo, Comas 15316",987 132 374,+51 987 132 374,facebook.com,https://www.facebook.com/Cevicheria-El-bonito-soy-yo-587486907986677/,"-11.9257315,-77.0641998",4.1,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJBbGcBQDXbZERyWrPqUixwwo,https://www.google.com/maps/place/?q=place_id:ChIJBbGcBQDXbZERyWrPqUixwwo,Cevicheria,Restaurante,"F2H9+79Q, C. Nueva, Cusco 08002",,,,,"-13.5217824,-71.9815089",,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJ43FOAqV_bpER3wH6Q2Hq8uo,https://www.google.com/maps/place/?q=place_id:ChIJ43FOAqV_bpER3wH6Q2Hq8uo,Caracol Azul Cevicheria Cusco,Restaurante,"Urb. Ttio, Cusco 08002",980 006 258,+51 980 006 258,caracolazulrestaurant.com,http://www.caracolazulrestaurant.com/,"-13.532478099999999,-71.9588699",4.7,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJHXX1U1V_bpER3hne9M061HE,https://www.google.com/maps/place/?q=place_id:ChIJHXX1U1V_bpER3hne9M061HE,Cevichería Restaurant Vichayito S.R.L.,Marisquería,"Av. Collasuyo A-5B A 1 Cdra de Real Plaza, Cusco 08000",(084) 598226,+51 84 598226,,,"-13.5208543,-71.9521005",4.3,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJQ8i84AF_bpERnEOlzceHtLw,https://www.google.com/maps/place/?q=place_id:ChIJQ8i84AF_bpERnEOlzceHtLw,PESCAMAR CUSCO CEVICHERÍA,Restaurante,"Urbanización cachimayo C-29 san Sebastián, Cusco 08006",963 475 856,+51 963 475 856,facebook.com,https://www.facebook.com/PescamarCusco,"-13.535291599999999,-71.9072199",4.5,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJ7wTmC1LXbZERUjfGNuanwmM,https://www.google.com/maps/place/?q=place_id:ChIJ7wTmC1LXbZERUjfGNuanwmM,Muelle Criollo,Restaurante peruano,"051, Cusco 05184",941 221 105,+51 941 221 105,,,"-13.5163554,-71.9821573",4.6,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJD3Tj0CfVbZERQkacaHswEvw,https://www.google.com/maps/place/?q=place_id:ChIJD3Tj0CfVbZERQkacaHswEvw,Mr. Ceviche,Restaurante,"Av Tullumayo 874, Cusco 08002",984 672 707,+51 984 672 707,,,"-13.524009,-71.9728287",4.4,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJge-9s1d_bpERaNGfm7fIji0,https://www.google.com/maps/place/?q=place_id:ChIJge-9s1d_bpERaNGfm7fIji0,Punto Mar Cevicheria Cusco,Restaurante peruano,"Urb. Magisterial (parque del mapa) E23A, Cusco 08003",982 505 723,+51 982 505 723,,,"-13.524505,-71.9493054",4.3,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJD8GNP1HVbZER_8-lNJkW-GY,https://www.google.com/maps/place/?q=place_id:ChIJD8GNP1HVbZER_8-lNJkW-GY,VICHAYITO TTIO,Restaurante,"F29V+4P5, Av. Libertad, Cusco 08002",,,,,"-13.532233199999999,-71.9556484",3.6,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJB153f_nVbZER-S4yXYs7Epo,https://www.google.com/maps/place/?q=place_id:ChIJB153f_nVbZER-S4yXYs7Epo,LA REPÚBLICA DEL CEVICHE,Marisquería,"Av. 4to paradero, Av. Túpac Amaru 3319, Cusco 08003",958 122 410,+51 958 122 410,facebook.com,https://www.facebook.com/La-Republica-Del-Ceviche-1293377237360472/,"-13.5222137,-71.94712179999999",4,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJ725HPn5_bpERaTyGrQTI80E,https://www.google.com/maps/place/?q=place_id:ChIJ725HPn5_bpERaTyGrQTI80E,Cevicheria Rey Mar 1,Restaurante,"Paradero Covipol, Av. Collasuyo A-13, Cusco 08004",983 827 071,+51 983 827 071,,,"-13.523240699999999,-71.9451481",3.1,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJWXh3EJ9_bpERD0-6loYDx9A,https://www.google.com/maps/place/?q=place_id:ChIJWXh3EJ9_bpERD0-6loYDx9A,Cevichería POPEYE,Restaurante,"Tomas Tuyro Tupac 57, Cusco 08004",963 299 545,+51 963 299 545,,,"-13.530626799999999,-71.9325683",4.1,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJHZycWw9_bpERO1uXRYo_6BA,https://www.google.com/maps/place/?q=place_id:ChIJHZycWw9_bpERO1uXRYo_6BA,Cevicheria Río Dorado,Restaurante,"Urb, Cervecero N° 27, Cusco 08003",927 342 462,+51 927 342 462,,,"-13.5280986,-71.9454627",3.8,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJ_XpzE-TVbZERDqEYj1Fb8ms,https://www.google.com/maps/place/?q=place_id:ChIJ_XpzE-TVbZERDqEYj1Fb8ms,Cebicheria Los Cangrejos De Piura De Don Tulio,Restaurante,"Av. Infancia 533, Cusco 08002",,,,,"-13.528756399999999,-71.9684498",3.8,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJT2_1M_zVbZER8rIQil4qvRk,https://www.google.com/maps/place/?q=place_id:ChIJT2_1M_zVbZER8rIQil4qvRk,"""El Paisa"" - Restaurant Norteño.",Restaurante,"Av. Micaela Bastidas 647, Cusco 08002",(084) 251717,+51 84 251717,,,"-13.524464,-71.959062",3.8,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJ_07IvD6WDpERGkWyCtYRiK0,https://www.google.com/maps/place/?q=place_id:ChIJ_07IvD6WDpERGkWyCtYRiK0,El Sitio,Marisquería,"Tambo, Psj N° 180, Huancayo 12004",983 842 424,+51 983 842 424,,,"-12.056036599999999,-75.2200968",3.7,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJf4cIZrHRBZERvizTdp3ksGU,https://www.google.com/maps/place/?q=place_id:ChIJf4cIZrHRBZERvizTdp3ksGU,"Restaurante ""El Bonito Soy Yo""",Restaurante,"El Alamo, Comas 15316",987 132 374,+51 987 132 374,facebook.com,https://www.facebook.com/Cevicheria-El-bonito-soy-yo-587486907986677/,"-11.9257315,-77.0641998",4.1,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJBbGcBQDXbZERyWrPqUixwwo,https://www.google.com/maps/place/?q=place_id:ChIJBbGcBQDXbZERyWrPqUixwwo,Cevicheria,Restaurante,"F2H9+79Q, C. Nueva, Cusco 08002",,,,,"-13.5217824,-71.9815089",,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJ43FOAqV_bpER3wH6Q2Hq8uo,https://www.google.com/maps/place/?q=place_id:ChIJ43FOAqV_bpER3wH6Q2Hq8uo,Caracol Azul Cevicheria Cusco,Restaurante,"Urb. Ttio, Cusco 08002",980 006 258,+51 980 006 258,caracolazulrestaurant.com,http://www.caracolazulrestaurant.com/,"-13.532478099999999,-71.9588699",4.7,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJHXX1U1V_bpER3hne9M061HE,https://www.google.com/maps/place/?q=place_id:ChIJHXX1U1V_bpER3hne9M061HE,Cevichería Restaurant Vichayito S.R.L.,Marisquería,"Av. Collasuyo A-5B A 1 Cdra de Real Plaza, Cusco 08000",(084) 598226,+51 84 598226,,,"-13.5208543,-71.9521005",4.3,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJQ8i84AF_bpERnEOlzceHtLw,https://www.google.com/maps/place/?q=place_id:ChIJQ8i84AF_bpERnEOlzceHtLw,PESCAMAR CUSCO CEVICHERÍA,Restaurante,"Urbanización cachimayo C-29 san Sebastián, Cusco 08006",963 475 856,+51 963 475 856,facebook.com,https://www.facebook.com/PescamarCusco,"-13.535291599999999,-71.9072199",4.5,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJ7wTmC1LXbZERUjfGNuanwmM,https://www.google.com/maps/place/?q=place_id:ChIJ7wTmC1LXbZERUjfGNuanwmM,Muelle Criollo,Restaurante peruano,"051, Cusco 05184",941 221 105,+51 941 221 105,,,"-13.5163554,-71.9821573",4.6,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJD3Tj0CfVbZERQkacaHswEvw,https://www.google.com/maps/place/?q=place_id:ChIJD3Tj0CfVbZERQkacaHswEvw,Mr. Ceviche,Restaurante,"Av Tullumayo 874, Cusco 08002",984 672 707,+51 984 672 707,,,"-13.524009,-71.9728287",4.4,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
ChIJge-9s1d_bpERaNGfm7fIji0,https://www.google.com/maps/place/?q=place_id:ChIJge-9s1d_bpERaNGfm7fIji0,Punto Mar Cevicheria Cusco,Restaurante peruano,"Urb. Magisterial (parque del mapa) E23A, Cusco 08003",982 505 723,+51 982 505 723,,,"-13.524505,-71.9493054",4.3,,"Cevichería en el distrito de Acomayo, Acomayo, Cusco, Perú"
