id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJwzjAaifJBZER1_btYNAtTlI,https://www.google.com/maps/place/?q=place_id:ChIJwzjAaifJBZER1_btYNAtTlI,Los Pollos de Mario - Lima,Pollería,"Gonzáles Prada 915, Surquillo 15036",921 809 050,+51 921 809 050,instagram.com,https://www.instagram.com/lospollosdemario/,"-12.1163258,-77.0205409",4.7,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJFXugOABFDZERiJfAaUcyk2c,https://www.google.com/maps/place/?q=place_id:ChIJFXugOABFDZERiJfAaUcyk2c,POLLERÍA AVILA,Restaurante especializado en pollo,"68P7+QPR, Samugari 05240",,,,,"-12.763007,-73.6857436",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJxVFMPWzFBZERG_FgyGEICuA,https://www.google.com/maps/place/?q=place_id:ChIJxVFMPWzFBZERG_FgyGEICuA,Chugurano Chicken,Restaurante,"Av. San Martín 799, San Juan de Lurigancho 15438, Av. San Martín 734, San Juan de Lurigancho 15404",(01) 3870029,+51 1 3870029,,,"-11.978582999999999,-76.9923404",4.2,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJ7_PfCWGHEpER8D0kY5mC8O8,https://www.google.com/maps/place/?q=place_id:ChIJ7_PfCWGHEpER8D0kY5mC8O8,Granja Quispe,Granja avícola,"Av. Mariscal Ramon Castilla Nro. 876 Int. B (Paradero Control), 3S, Ayacucho",989 577 616,+51 989 577 616,,,"-13.1668028,-74.2144462",3.8,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJ3Q51fwBPDZER-I2QP0tCn_Y,https://www.google.com/maps/place/?q=place_id:ChIJ3Q51fwBPDZER-I2QP0tCn_Y,Pollería Chifa Yaranga,Restaurante especializado en pollo,"5CF5+Q22, Samugari 05250",954 014 330,+51 954 014 330,,,"-12.8262044,-73.5925536",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJwzjAaifJBZER1_btYNAtTlI,https://www.google.com/maps/place/?q=place_id:ChIJwzjAaifJBZER1_btYNAtTlI,Los Pollos de Mario - Lima,Pollería,"Gonzáles Prada 915, Surquillo 15036",921 809 050,+51 921 809 050,instagram.com,https://www.instagram.com/lospollosdemario/,"-12.1163258,-77.0205409",4.7,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJFXugOABFDZERiJfAaUcyk2c,https://www.google.com/maps/place/?q=place_id:ChIJFXugOABFDZERiJfAaUcyk2c,POLLERÍA AVILA,Restaurante especializado en pollo,"68P7+QPR, Samugari 05240",,,,,"-12.763007,-73.6857436",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJxVFMPWzFBZERG_FgyGEICuA,https://www.google.com/maps/place/?q=place_id:ChIJxVFMPWzFBZERG_FgyGEICuA,Chugurano Chicken,Restaurante,"Av. San Martín 799, San Juan de Lurigancho 15438, Av. San Martín 734, San Juan de Lurigancho 15404",(01) 3870029,+51 1 3870029,,,"-11.978582999999999,-76.9923404",4.2,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJ7_PfCWGHEpER8D0kY5mC8O8,https://www.google.com/maps/place/?q=place_id:ChIJ7_PfCWGHEpER8D0kY5mC8O8,Granja Quispe,Granja avícola,"Av. Mariscal Ramon Castilla Nro. 876 Int. B (Paradero Control), 3S, Ayacucho",989 577 616,+51 989 577 616,,,"-13.1668028,-74.2144462",3.8,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJ3Q51fwBPDZER-I2QP0tCn_Y,https://www.google.com/maps/place/?q=place_id:ChIJ3Q51fwBPDZER-I2QP0tCn_Y,Pollería Chifa Yaranga,Restaurante especializado en pollo,"5CF5+Q22, Samugari 05250",954 014 330,+51 954 014 330,,,"-12.8262044,-73.5925536",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJwzjAaifJBZER1_btYNAtTlI,https://www.google.com/maps/place/?q=place_id:ChIJwzjAaifJBZER1_btYNAtTlI,Los Pollos de Mario - Lima,Pollería,"Gonzáles Prada 915, Surquillo 15036",921 809 050,+51 921 809 050,instagram.com,https://www.instagram.com/lospollosdemario/,"-12.1163258,-77.0205409",4.7,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJFXugOABFDZERiJfAaUcyk2c,https://www.google.com/maps/place/?q=place_id:ChIJFXugOABFDZERiJfAaUcyk2c,POLLERÍA AVILA,Restaurante especializado en pollo,"68P7+QPR, Samugari 05240",,,,,"-12.763007,-73.6857436",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJxVFMPWzFBZERG_FgyGEICuA,https://www.google.com/maps/place/?q=place_id:ChIJxVFMPWzFBZERG_FgyGEICuA,Chugurano Chicken,Restaurante,"Av. San Martín 799, San Juan de Lurigancho 15438, Av. San Martín 734, San Juan de Lurigancho 15404",(01) 3870029,+51 1 3870029,,,"-11.978582999999999,-76.9923404",4.2,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJ7_PfCWGHEpER8D0kY5mC8O8,https://www.google.com/maps/place/?q=place_id:ChIJ7_PfCWGHEpER8D0kY5mC8O8,Granja Quispe,Granja avícola,"Av. Mariscal Ramon Castilla Nro. 876 Int. B (Paradero Control), 3S, Ayacucho",989 577 616,+51 989 577 616,,,"-13.1668028,-74.2144462",3.8,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJ3Q51fwBPDZER-I2QP0tCn_Y,https://www.google.com/maps/place/?q=place_id:ChIJ3Q51fwBPDZER-I2QP0tCn_Y,Pollería Chifa Yaranga,Restaurante especializado en pollo,"5CF5+Q22, Samugari 05250",954 014 330,+51 954 014 330,,,"-12.8262044,-73.5925536",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJwzjAaifJBZER1_btYNAtTlI,https://www.google.com/maps/place/?q=place_id:ChIJwzjAaifJBZER1_btYNAtTlI,Los Pollos de Mario - Lima,Pollería,"Gonzáles Prada 915, Surquillo 15036",921 809 050,+51 921 809 050,instagram.com,https://www.instagram.com/lospollosdemario/,"-12.1163258,-77.0205409",4.7,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJFXugOABFDZERiJfAaUcyk2c,https://www.google.com/maps/place/?q=place_id:ChIJFXugOABFDZERiJfAaUcyk2c,POLLERÍA AVILA,Restaurante especializado en pollo,"68P7+QPR, Samugari 05240",,,,,"-12.763007,-73.6857436",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJxVFMPWzFBZERG_FgyGEICuA,https://www.google.com/maps/place/?q=place_id:ChIJxVFMPWzFBZERG_FgyGEICuA,Chugurano Chicken,Restaurante,"Av. San Martín 799, San Juan de Lurigancho 15438, Av. San Martín 734, San Juan de Lurigancho 15404",(01) 3870029,+51 1 3870029,,,"-11.978582999999999,-76.9923404",4.2,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJ7_PfCWGHEpER8D0kY5mC8O8,https://www.google.com/maps/place/?q=place_id:ChIJ7_PfCWGHEpER8D0kY5mC8O8,Granja Quispe,Granja avícola,"Av. Mariscal Ramon Castilla Nro. 876 Int. B (Paradero Control), 3S, Ayacucho",989 577 616,+51 989 577 616,,,"-13.1668028,-74.2144462",3.8,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJ3Q51fwBPDZER-I2QP0tCn_Y,https://www.google.com/maps/place/?q=place_id:ChIJ3Q51fwBPDZER-I2QP0tCn_Y,Pollería Chifa Yaranga,Restaurante especializado en pollo,"5CF5+Q22, Samugari 05250",954 014 330,+51 954 014 330,,,"-12.8262044,-73.5925536",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJwzjAaifJBZER1_btYNAtTlI,https://www.google.com/maps/place/?q=place_id:ChIJwzjAaifJBZER1_btYNAtTlI,Los Pollos de Mario - Lima,Pollería,"Gonzáles Prada 915, Surquillo 15036",921 809 050,+51 921 809 050,instagram.com,https://www.instagram.com/lospollosdemario/,"-12.1163258,-77.0205409",4.7,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJFXugOABFDZERiJfAaUcyk2c,https://www.google.com/maps/place/?q=place_id:ChIJFXugOABFDZERiJfAaUcyk2c,POLLERÍA AVILA,Restaurante especializado en pollo,"68P7+QPR, Samugari 05240",,,,,"-12.763007,-73.6857436",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJxVFMPWzFBZERG_FgyGEICuA,https://www.google.com/maps/place/?q=place_id:ChIJxVFMPWzFBZERG_FgyGEICuA,Chugurano Chicken,Restaurante,"Av. San Martín 799, San Juan de Lurigancho 15438, Av. San Martín 734, San Juan de Lurigancho 15404",(01) 3870029,+51 1 3870029,,,"-11.978582999999999,-76.9923404",4.2,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJ7_PfCWGHEpER8D0kY5mC8O8,https://www.google.com/maps/place/?q=place_id:ChIJ7_PfCWGHEpER8D0kY5mC8O8,Granja Quispe,Granja avícola,"Av. Mariscal Ramon Castilla Nro. 876 Int. B (Paradero Control), 3S, Ayacucho",989 577 616,+51 989 577 616,,,"-13.1668028,-74.2144462",3.8,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJ3Q51fwBPDZER-I2QP0tCn_Y,https://www.google.com/maps/place/?q=place_id:ChIJ3Q51fwBPDZER-I2QP0tCn_Y,Pollería Chifa Yaranga,Restaurante especializado en pollo,"5CF5+Q22, Samugari 05250",954 014 330,+51 954 014 330,,,"-12.8262044,-73.5925536",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJwzjAaifJBZER1_btYNAtTlI,https://www.google.com/maps/place/?q=place_id:ChIJwzjAaifJBZER1_btYNAtTlI,Los Pollos de Mario - Lima,Pollería,"Gonzáles Prada 915, Surquillo 15036",921 809 050,+51 921 809 050,instagram.com,https://www.instagram.com/lospollosdemario/,"-12.1163258,-77.0205409",4.7,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJFXugOABFDZERiJfAaUcyk2c,https://www.google.com/maps/place/?q=place_id:ChIJFXugOABFDZERiJfAaUcyk2c,POLLERÍA AVILA,Restaurante especializado en pollo,"68P7+QPR, Samugari 05240",,,,,"-12.763007,-73.6857436",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJxVFMPWzFBZERG_FgyGEICuA,https://www.google.com/maps/place/?q=place_id:ChIJxVFMPWzFBZERG_FgyGEICuA,Chugurano Chicken,Restaurante,"Av. San Martín 799, San Juan de Lurigancho 15438, Av. San Martín 734, San Juan de Lurigancho 15404",(01) 3870029,+51 1 3870029,,,"-11.978582999999999,-76.9923404",4.2,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJ7_PfCWGHEpER8D0kY5mC8O8,https://www.google.com/maps/place/?q=place_id:ChIJ7_PfCWGHEpER8D0kY5mC8O8,Granja Quispe,Granja avícola,"Av. Mariscal Ramon Castilla Nro. 876 Int. B (Paradero Control), 3S, Ayacucho",989 577 616,+51 989 577 616,,,"-13.1668028,-74.2144462",3.8,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJ3Q51fwBPDZER-I2QP0tCn_Y,https://www.google.com/maps/place/?q=place_id:ChIJ3Q51fwBPDZER-I2QP0tCn_Y,Pollería Chifa Yaranga,Restaurante especializado en pollo,"5CF5+Q22, Samugari 05250",954 014 330,+51 954 014 330,,,"-12.8262044,-73.5925536",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJwzjAaifJBZER1_btYNAtTlI,https://www.google.com/maps/place/?q=place_id:ChIJwzjAaifJBZER1_btYNAtTlI,Los Pollos de Mario - Lima,Pollería,"Gonzáles Prada 915, Surquillo 15036",921 809 050,+51 921 809 050,instagram.com,https://www.instagram.com/lospollosdemario/,"-12.1163258,-77.0205409",4.7,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJFXugOABFDZERiJfAaUcyk2c,https://www.google.com/maps/place/?q=place_id:ChIJFXugOABFDZERiJfAaUcyk2c,POLLERÍA AVILA,Restaurante especializado en pollo,"68P7+QPR, Samugari 05240",,,,,"-12.763007,-73.6857436",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJxVFMPWzFBZERG_FgyGEICuA,https://www.google.com/maps/place/?q=place_id:ChIJxVFMPWzFBZERG_FgyGEICuA,Chugurano Chicken,Restaurante,"Av. San Martín 799, San Juan de Lurigancho 15438, Av. San Martín 734, San Juan de Lurigancho 15404",(01) 3870029,+51 1 3870029,,,"-11.978582999999999,-76.9923404",4.2,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJ7_PfCWGHEpER8D0kY5mC8O8,https://www.google.com/maps/place/?q=place_id:ChIJ7_PfCWGHEpER8D0kY5mC8O8,Granja Quispe,Granja avícola,"Av. Mariscal Ramon Castilla Nro. 876 Int. B (Paradero Control), 3S, Ayacucho",989 577 616,+51 989 577 616,,,"-13.1668028,-74.2144462",3.8,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Samugari, La Mar, Ayacucho, Perú"
