id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJZ7w2l_2DDZERkphPzB5Qrxc,https://www.google.com/maps/place/?q=place_id:ChIJZ7w2l_2DDZERkphPzB5Qrxc,Pollería ``POLLO LOKO``,Restaurante,"Por el grifo el sol, Jr. Miguel Lazón 225, Huanta 05121",929 930 650,+51 929 930 650,,,"-12.9431382,-74.2438651",,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1_Wu0vHFBZERBFRYoKoRbL4,https://www.google.com/maps/place/?q=place_id:ChIJ1_Wu0vHFBZERBFRYoKoRbL4,Pollos Y Parrillas Riccos Chimu,Restaurante especializado en pollo,"Av. Gran Chimú 840, San Juan de Lurigancho 15401",(01) 5207272,+51 1 5207272,,,"-12.025348,-76.9995352",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJzaM6nE-CDZERNG0TXd4fxwY,https://www.google.com/maps/place/?q=place_id:ChIJzaM6nE-CDZERNG0TXd4fxwY,Pollería El Sabor,Restaurante,Huanta 05121,,,,,"-12.9328527,-74.254196",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1yhUTEeCDZERlzwHqLeW-28,https://www.google.com/maps/place/?q=place_id:ChIJ1yhUTEeCDZERlzwHqLeW-28,Polleria La Casona,Restaurante especializado en pollo,"Jiron Gral Córdova 162, Huanta 05121",(066) 322295,+51 66 322295,,,"-12.9401418,-74.247475",3.9,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJjbENUUeCDZERZU9u686V188,https://www.google.com/maps/place/?q=place_id:ChIJjbENUUeCDZERZU9u686V188,Pollería Caramba,Restaurante,"Av. San Martín, Huanta 05121",999 695 588,+51 999 695 588,,,"-12.9405626,-74.2477512",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJPx7wpr2DDZER0S7M1hsvsLQ,https://www.google.com/maps/place/?q=place_id:ChIJPx7wpr2DDZER0S7M1hsvsLQ,"Polleria ""EL FILIPO""",Tienda de aves de corral,"iglesia, Jr.Delfino ludeña S/N a 1/2 cuadra de Luricocha.de la, Luricocha",910 665 253,+51 910 665 253,,,"-12.8996664,-74.2731008",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJZ7w2l_2DDZERkphPzB5Qrxc,https://www.google.com/maps/place/?q=place_id:ChIJZ7w2l_2DDZERkphPzB5Qrxc,Pollería ``POLLO LOKO``,Restaurante,"Por el grifo el sol, Jr. Miguel Lazón 225, Huanta 05121",929 930 650,+51 929 930 650,,,"-12.9431382,-74.2438651",,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1_Wu0vHFBZERBFRYoKoRbL4,https://www.google.com/maps/place/?q=place_id:ChIJ1_Wu0vHFBZERBFRYoKoRbL4,Pollos Y Parrillas Riccos Chimu,Restaurante especializado en pollo,"Av. Gran Chimú 840, San Juan de Lurigancho 15401",(01) 5207272,+51 1 5207272,,,"-12.025348,-76.9995352",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJzaM6nE-CDZERNG0TXd4fxwY,https://www.google.com/maps/place/?q=place_id:ChIJzaM6nE-CDZERNG0TXd4fxwY,Pollería El Sabor,Restaurante,Huanta 05121,,,,,"-12.9328527,-74.254196",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1yhUTEeCDZERlzwHqLeW-28,https://www.google.com/maps/place/?q=place_id:ChIJ1yhUTEeCDZERlzwHqLeW-28,Polleria La Casona,Restaurante especializado en pollo,"Jiron Gral Córdova 162, Huanta 05121",(066) 322295,+51 66 322295,,,"-12.9401418,-74.247475",3.9,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJjbENUUeCDZERZU9u686V188,https://www.google.com/maps/place/?q=place_id:ChIJjbENUUeCDZERZU9u686V188,Pollería Caramba,Restaurante,"Av. San Martín, Huanta 05121",999 695 588,+51 999 695 588,,,"-12.9405626,-74.2477512",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJPx7wpr2DDZER0S7M1hsvsLQ,https://www.google.com/maps/place/?q=place_id:ChIJPx7wpr2DDZER0S7M1hsvsLQ,"Polleria ""EL FILIPO""",Tienda de aves de corral,"iglesia, Jr.Delfino ludeña S/N a 1/2 cuadra de Luricocha.de la, Luricocha",910 665 253,+51 910 665 253,,,"-12.8996664,-74.2731008",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJZ7w2l_2DDZERkphPzB5Qrxc,https://www.google.com/maps/place/?q=place_id:ChIJZ7w2l_2DDZERkphPzB5Qrxc,Pollería ``POLLO LOKO``,Restaurante,"Por el grifo el sol, Jr. Miguel Lazón 225, Huanta 05121",929 930 650,+51 929 930 650,,,"-12.9431382,-74.2438651",,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1_Wu0vHFBZERBFRYoKoRbL4,https://www.google.com/maps/place/?q=place_id:ChIJ1_Wu0vHFBZERBFRYoKoRbL4,Pollos Y Parrillas Riccos Chimu,Restaurante especializado en pollo,"Av. Gran Chimú 840, San Juan de Lurigancho 15401",(01) 5207272,+51 1 5207272,,,"-12.025348,-76.9995352",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJzaM6nE-CDZERNG0TXd4fxwY,https://www.google.com/maps/place/?q=place_id:ChIJzaM6nE-CDZERNG0TXd4fxwY,Pollería El Sabor,Restaurante,Huanta 05121,,,,,"-12.9328527,-74.254196",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1yhUTEeCDZERlzwHqLeW-28,https://www.google.com/maps/place/?q=place_id:ChIJ1yhUTEeCDZERlzwHqLeW-28,Polleria La Casona,Restaurante especializado en pollo,"Jiron Gral Córdova 162, Huanta 05121",(066) 322295,+51 66 322295,,,"-12.9401418,-74.247475",3.9,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJjbENUUeCDZERZU9u686V188,https://www.google.com/maps/place/?q=place_id:ChIJjbENUUeCDZERZU9u686V188,Pollería Caramba,Restaurante,"Av. San Martín, Huanta 05121",999 695 588,+51 999 695 588,,,"-12.9405626,-74.2477512",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJPx7wpr2DDZER0S7M1hsvsLQ,https://www.google.com/maps/place/?q=place_id:ChIJPx7wpr2DDZER0S7M1hsvsLQ,"Polleria ""EL FILIPO""",Tienda de aves de corral,"iglesia, Jr.Delfino ludeña S/N a 1/2 cuadra de Luricocha.de la, Luricocha",910 665 253,+51 910 665 253,,,"-12.8996664,-74.2731008",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJZ7w2l_2DDZERkphPzB5Qrxc,https://www.google.com/maps/place/?q=place_id:ChIJZ7w2l_2DDZERkphPzB5Qrxc,Pollería ``POLLO LOKO``,Restaurante,"Por el grifo el sol, Jr. Miguel Lazón 225, Huanta 05121",929 930 650,+51 929 930 650,,,"-12.9431382,-74.2438651",,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1_Wu0vHFBZERBFRYoKoRbL4,https://www.google.com/maps/place/?q=place_id:ChIJ1_Wu0vHFBZERBFRYoKoRbL4,Pollos Y Parrillas Riccos Chimu,Restaurante especializado en pollo,"Av. Gran Chimú 840, San Juan de Lurigancho 15401",(01) 5207272,+51 1 5207272,,,"-12.025348,-76.9995352",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJzaM6nE-CDZERNG0TXd4fxwY,https://www.google.com/maps/place/?q=place_id:ChIJzaM6nE-CDZERNG0TXd4fxwY,Pollería El Sabor,Restaurante,Huanta 05121,,,,,"-12.9328527,-74.254196",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1yhUTEeCDZERlzwHqLeW-28,https://www.google.com/maps/place/?q=place_id:ChIJ1yhUTEeCDZERlzwHqLeW-28,Polleria La Casona,Restaurante especializado en pollo,"Jiron Gral Córdova 162, Huanta 05121",(066) 322295,+51 66 322295,,,"-12.9401418,-74.247475",3.9,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJjbENUUeCDZERZU9u686V188,https://www.google.com/maps/place/?q=place_id:ChIJjbENUUeCDZERZU9u686V188,Pollería Caramba,Restaurante,"Av. San Martín, Huanta 05121",999 695 588,+51 999 695 588,,,"-12.9405626,-74.2477512",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJPx7wpr2DDZER0S7M1hsvsLQ,https://www.google.com/maps/place/?q=place_id:ChIJPx7wpr2DDZER0S7M1hsvsLQ,"Polleria ""EL FILIPO""",Tienda de aves de corral,"iglesia, Jr.Delfino ludeña S/N a 1/2 cuadra de Luricocha.de la, Luricocha",910 665 253,+51 910 665 253,,,"-12.8996664,-74.2731008",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJZ7w2l_2DDZERkphPzB5Qrxc,https://www.google.com/maps/place/?q=place_id:ChIJZ7w2l_2DDZERkphPzB5Qrxc,Pollería ``POLLO LOKO``,Restaurante,"Por el grifo el sol, Jr. Miguel Lazón 225, Huanta 05121",929 930 650,+51 929 930 650,,,"-12.9431382,-74.2438651",,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1_Wu0vHFBZERBFRYoKoRbL4,https://www.google.com/maps/place/?q=place_id:ChIJ1_Wu0vHFBZERBFRYoKoRbL4,Pollos Y Parrillas Riccos Chimu,Restaurante especializado en pollo,"Av. Gran Chimú 840, San Juan de Lurigancho 15401",(01) 5207272,+51 1 5207272,,,"-12.025348,-76.9995352",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJzaM6nE-CDZERNG0TXd4fxwY,https://www.google.com/maps/place/?q=place_id:ChIJzaM6nE-CDZERNG0TXd4fxwY,Pollería El Sabor,Restaurante,Huanta 05121,,,,,"-12.9328527,-74.254196",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1yhUTEeCDZERlzwHqLeW-28,https://www.google.com/maps/place/?q=place_id:ChIJ1yhUTEeCDZERlzwHqLeW-28,Polleria La Casona,Restaurante especializado en pollo,"Jiron Gral Córdova 162, Huanta 05121",(066) 322295,+51 66 322295,,,"-12.9401418,-74.247475",3.9,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJjbENUUeCDZERZU9u686V188,https://www.google.com/maps/place/?q=place_id:ChIJjbENUUeCDZERZU9u686V188,Pollería Caramba,Restaurante,"Av. San Martín, Huanta 05121",999 695 588,+51 999 695 588,,,"-12.9405626,-74.2477512",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJPx7wpr2DDZER0S7M1hsvsLQ,https://www.google.com/maps/place/?q=place_id:ChIJPx7wpr2DDZER0S7M1hsvsLQ,"Polleria ""EL FILIPO""",Tienda de aves de corral,"iglesia, Jr.Delfino ludeña S/N a 1/2 cuadra de Luricocha.de la, Luricocha",910 665 253,+51 910 665 253,,,"-12.8996664,-74.2731008",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJZ7w2l_2DDZERkphPzB5Qrxc,https://www.google.com/maps/place/?q=place_id:ChIJZ7w2l_2DDZERkphPzB5Qrxc,Pollería ``POLLO LOKO``,Restaurante,"Por el grifo el sol, Jr. Miguel Lazón 225, Huanta 05121",929 930 650,+51 929 930 650,,,"-12.9431382,-74.2438651",,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1_Wu0vHFBZERBFRYoKoRbL4,https://www.google.com/maps/place/?q=place_id:ChIJ1_Wu0vHFBZERBFRYoKoRbL4,Pollos Y Parrillas Riccos Chimu,Restaurante especializado en pollo,"Av. Gran Chimú 840, San Juan de Lurigancho 15401",(01) 5207272,+51 1 5207272,,,"-12.025348,-76.9995352",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJzaM6nE-CDZERNG0TXd4fxwY,https://www.google.com/maps/place/?q=place_id:ChIJzaM6nE-CDZERNG0TXd4fxwY,Pollería El Sabor,Restaurante,Huanta 05121,,,,,"-12.9328527,-74.254196",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1yhUTEeCDZERlzwHqLeW-28,https://www.google.com/maps/place/?q=place_id:ChIJ1yhUTEeCDZERlzwHqLeW-28,Polleria La Casona,Restaurante especializado en pollo,"Jiron Gral Córdova 162, Huanta 05121",(066) 322295,+51 66 322295,,,"-12.9401418,-74.247475",3.9,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJjbENUUeCDZERZU9u686V188,https://www.google.com/maps/place/?q=place_id:ChIJjbENUUeCDZERZU9u686V188,Pollería Caramba,Restaurante,"Av. San Martín, Huanta 05121",999 695 588,+51 999 695 588,,,"-12.9405626,-74.2477512",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJPx7wpr2DDZER0S7M1hsvsLQ,https://www.google.com/maps/place/?q=place_id:ChIJPx7wpr2DDZER0S7M1hsvsLQ,"Polleria ""EL FILIPO""",Tienda de aves de corral,"iglesia, Jr.Delfino ludeña S/N a 1/2 cuadra de Luricocha.de la, Luricocha",910 665 253,+51 910 665 253,,,"-12.8996664,-74.2731008",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJZ7w2l_2DDZERkphPzB5Qrxc,https://www.google.com/maps/place/?q=place_id:ChIJZ7w2l_2DDZERkphPzB5Qrxc,Pollería ``POLLO LOKO``,Restaurante,"Por el grifo el sol, Jr. Miguel Lazón 225, Huanta 05121",929 930 650,+51 929 930 650,,,"-12.9431382,-74.2438651",,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJzaM6nE-CDZERNG0TXd4fxwY,https://www.google.com/maps/place/?q=place_id:ChIJzaM6nE-CDZERNG0TXd4fxwY,Pollería El Sabor,Restaurante,Huanta 05121,,,,,"-12.9328527,-74.254196",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1yhUTEeCDZERlzwHqLeW-28,https://www.google.com/maps/place/?q=place_id:ChIJ1yhUTEeCDZERlzwHqLeW-28,Polleria La Casona,Restaurante especializado en pollo,"Jiron Gral Córdova 162, Huanta 05121",(066) 322295,+51 66 322295,,,"-12.9401418,-74.247475",3.9,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJjbENUUeCDZERZU9u686V188,https://www.google.com/maps/place/?q=place_id:ChIJjbENUUeCDZERZU9u686V188,Pollería Caramba,Restaurante,"Av. San Martín, Huanta 05121",999 695 588,+51 999 695 588,,,"-12.9405626,-74.2477512",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJPx7wpr2DDZER0S7M1hsvsLQ,https://www.google.com/maps/place/?q=place_id:ChIJPx7wpr2DDZER0S7M1hsvsLQ,"Polleria ""EL FILIPO""",Tienda de aves de corral,"iglesia, Jr.Delfino ludeña S/N a 1/2 cuadra de Luricocha.de la, Luricocha",910 665 253,+51 910 665 253,,,"-12.8996664,-74.2731008",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJZ7w2l_2DDZERkphPzB5Qrxc,https://www.google.com/maps/place/?q=place_id:ChIJZ7w2l_2DDZERkphPzB5Qrxc,Pollería ``POLLO LOKO``,Restaurante,"Por el grifo el sol, Jr. Miguel Lazón 225, Huanta 05121",929 930 650,+51 929 930 650,,,"-12.9431382,-74.2438651",,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1_Wu0vHFBZERBFRYoKoRbL4,https://www.google.com/maps/place/?q=place_id:ChIJ1_Wu0vHFBZERBFRYoKoRbL4,Pollos Y Parrillas Riccos Chimu,Restaurante especializado en pollo,"Av. Gran Chimú 840, San Juan de Lurigancho 15401",(01) 5207272,+51 1 5207272,,,"-12.025348,-76.9995352",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJzaM6nE-CDZERNG0TXd4fxwY,https://www.google.com/maps/place/?q=place_id:ChIJzaM6nE-CDZERNG0TXd4fxwY,Pollería El Sabor,Restaurante,Huanta 05121,,,,,"-12.9328527,-74.254196",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1yhUTEeCDZERlzwHqLeW-28,https://www.google.com/maps/place/?q=place_id:ChIJ1yhUTEeCDZERlzwHqLeW-28,Polleria La Casona,Restaurante especializado en pollo,"Jiron Gral Córdova 162, Huanta 05121",(066) 322295,+51 66 322295,,,"-12.9401418,-74.247475",3.9,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJjbENUUeCDZERZU9u686V188,https://www.google.com/maps/place/?q=place_id:ChIJjbENUUeCDZERZU9u686V188,Pollería Caramba,Restaurante,"Av. San Martín, Huanta 05121",999 695 588,+51 999 695 588,,,"-12.9405626,-74.2477512",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJPx7wpr2DDZER0S7M1hsvsLQ,https://www.google.com/maps/place/?q=place_id:ChIJPx7wpr2DDZER0S7M1hsvsLQ,"Polleria ""EL FILIPO""",Tienda de aves de corral,"iglesia, Jr.Delfino ludeña S/N a 1/2 cuadra de Luricocha.de la, Luricocha",910 665 253,+51 910 665 253,,,"-12.8996664,-74.2731008",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJZ7w2l_2DDZERkphPzB5Qrxc,https://www.google.com/maps/place/?q=place_id:ChIJZ7w2l_2DDZERkphPzB5Qrxc,Pollería ``POLLO LOKO``,Restaurante,"Por el grifo el sol, Jr. Miguel Lazón 225, Huanta 05121",929 930 650,+51 929 930 650,,,"-12.9431382,-74.2438651",,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1_Wu0vHFBZERBFRYoKoRbL4,https://www.google.com/maps/place/?q=place_id:ChIJ1_Wu0vHFBZERBFRYoKoRbL4,Pollos Y Parrillas Riccos Chimu,Restaurante especializado en pollo,"Av. Gran Chimú 840, San Juan de Lurigancho 15401",(01) 5207272,+51 1 5207272,,,"-12.025348,-76.9995352",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJzaM6nE-CDZERNG0TXd4fxwY,https://www.google.com/maps/place/?q=place_id:ChIJzaM6nE-CDZERNG0TXd4fxwY,Pollería El Sabor,Restaurante,Huanta 05121,,,,,"-12.9328527,-74.254196",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1yhUTEeCDZERlzwHqLeW-28,https://www.google.com/maps/place/?q=place_id:ChIJ1yhUTEeCDZERlzwHqLeW-28,Polleria La Casona,Restaurante especializado en pollo,"Jiron Gral Córdova 162, Huanta 05121",(066) 322295,+51 66 322295,,,"-12.9401418,-74.247475",3.9,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJjbENUUeCDZERZU9u686V188,https://www.google.com/maps/place/?q=place_id:ChIJjbENUUeCDZERZU9u686V188,Pollería Caramba,Restaurante,"Av. San Martín, Huanta 05121",999 695 588,+51 999 695 588,,,"-12.9405626,-74.2477512",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJPx7wpr2DDZER0S7M1hsvsLQ,https://www.google.com/maps/place/?q=place_id:ChIJPx7wpr2DDZER0S7M1hsvsLQ,"Polleria ""EL FILIPO""",Tienda de aves de corral,"iglesia, Jr.Delfino ludeña S/N a 1/2 cuadra de Luricocha.de la, Luricocha",910 665 253,+51 910 665 253,,,"-12.8996664,-74.2731008",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJZ7w2l_2DDZERkphPzB5Qrxc,https://www.google.com/maps/place/?q=place_id:ChIJZ7w2l_2DDZERkphPzB5Qrxc,Pollería ``POLLO LOKO``,Restaurante,"Por el grifo el sol, Jr. Miguel Lazón 225, Huanta 05121",929 930 650,+51 929 930 650,,,"-12.9431382,-74.2438651",,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1_Wu0vHFBZERBFRYoKoRbL4,https://www.google.com/maps/place/?q=place_id:ChIJ1_Wu0vHFBZERBFRYoKoRbL4,Pollos Y Parrillas Riccos Chimu,Restaurante especializado en pollo,"Av. Gran Chimú 840, San Juan de Lurigancho 15401",(01) 5207272,+51 1 5207272,,,"-12.025348,-76.9995352",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJzaM6nE-CDZERNG0TXd4fxwY,https://www.google.com/maps/place/?q=place_id:ChIJzaM6nE-CDZERNG0TXd4fxwY,Pollería El Sabor,Restaurante,Huanta 05121,,,,,"-12.9328527,-74.254196",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1yhUTEeCDZERlzwHqLeW-28,https://www.google.com/maps/place/?q=place_id:ChIJ1yhUTEeCDZERlzwHqLeW-28,Polleria La Casona,Restaurante especializado en pollo,"Jiron Gral Córdova 162, Huanta 05121",(066) 322295,+51 66 322295,,,"-12.9401418,-74.247475",3.9,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJjbENUUeCDZERZU9u686V188,https://www.google.com/maps/place/?q=place_id:ChIJjbENUUeCDZERZU9u686V188,Pollería Caramba,Restaurante,"Av. San Martín, Huanta 05121",999 695 588,+51 999 695 588,,,"-12.9405626,-74.2477512",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJPx7wpr2DDZER0S7M1hsvsLQ,https://www.google.com/maps/place/?q=place_id:ChIJPx7wpr2DDZER0S7M1hsvsLQ,"Polleria ""EL FILIPO""",Tienda de aves de corral,"iglesia, Jr.Delfino ludeña S/N a 1/2 cuadra de Luricocha.de la, Luricocha",910 665 253,+51 910 665 253,,,"-12.8996664,-74.2731008",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJZ7w2l_2DDZERkphPzB5Qrxc,https://www.google.com/maps/place/?q=place_id:ChIJZ7w2l_2DDZERkphPzB5Qrxc,Pollería ``POLLO LOKO``,Restaurante,"Por el grifo el sol, Jr. Miguel Lazón 225, Huanta 05121",929 930 650,+51 929 930 650,,,"-12.9431382,-74.2438651",,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1_Wu0vHFBZERBFRYoKoRbL4,https://www.google.com/maps/place/?q=place_id:ChIJ1_Wu0vHFBZERBFRYoKoRbL4,Pollos Y Parrillas Riccos Chimu,Restaurante especializado en pollo,"Av. Gran Chimú 840, San Juan de Lurigancho 15401",(01) 5207272,+51 1 5207272,,,"-12.025348,-76.9995352",4.1,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJzaM6nE-CDZERNG0TXd4fxwY,https://www.google.com/maps/place/?q=place_id:ChIJzaM6nE-CDZERNG0TXd4fxwY,Pollería El Sabor,Restaurante,Huanta 05121,,,,,"-12.9328527,-74.254196",5,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
ChIJ1yhUTEeCDZERlzwHqLeW-28,https://www.google.com/maps/place/?q=place_id:ChIJ1yhUTEeCDZERlzwHqLeW-28,Polleria La Casona,Restaurante especializado en pollo,"Jiron Gral Córdova 162, Huanta 05121",(066) 322295,+51 66 322295,,,"-12.9401418,-74.247475",3.9,,"Pollería en el distrito de Luricocha, Huanta, Ayacucho, Perú"
