id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJRY_2zgmrtpER0SWGOlfl_SI,https://www.google.com/maps/place/?q=place_id:ChIJRY_2zgmrtpER0SWGOlfl_SI,Polleria CORRALITO Chachapoyas,Restaurante,"Hermosura 304, Chachapoyas 01001",975 366 812,+51 975 366 812,,,"-6.2249438999999995,-77.86769869999999",4.1,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJRY_2zgmrtpER0SWGOlfl_SI,https://www.google.com/maps/place/?q=place_id:ChIJRY_2zgmrtpER0SWGOlfl_SI,Polleria CORRALITO Chachapoyas,Restaurante,"Hermosura 304, Chachapoyas 01001",975 366 812,+51 975 366 812,,,"-6.2249438999999995,-77.86769869999999",4.1,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJRY_2zgmrtpER0SWGOlfl_SI,https://www.google.com/maps/place/?q=place_id:ChIJRY_2zgmrtpER0SWGOlfl_SI,Polleria CORRALITO Chachapoyas,Restaurante,"Hermosura 304, Chachapoyas 01001",975 366 812,+51 975 366 812,,,"-6.2249438999999995,-77.86769869999999",4.1,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJRY_2zgmrtpER0SWGOlfl_SI,https://www.google.com/maps/place/?q=place_id:ChIJRY_2zgmrtpER0SWGOlfl_SI,Polleria CORRALITO Chachapoyas,Restaurante,"Hermosura 304, Chachapoyas 01001",975 366 812,+51 975 366 812,,,"-6.2249438999999995,-77.86769869999999",4.1,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJRY_2zgmrtpER0SWGOlfl_SI,https://www.google.com/maps/place/?q=place_id:ChIJRY_2zgmrtpER0SWGOlfl_SI,Polleria CORRALITO Chachapoyas,Restaurante,"Hermosura 304, Chachapoyas 01001",975 366 812,+51 975 366 812,,,"-6.2249438999999995,-77.86769869999999",4.1,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJy3p9MA-rtpERCBFY5c8z1JA,https://www.google.com/maps/place/?q=place_id:ChIJy3p9MA-rtpERCBFY5c8z1JA,Pollería El Palacio,Restaurante,"Jr. La Union 515, Chachapoyas 01000",995 630 126,+51 995 630 126,,,"-6.2298333999999995,-77.8690982",3.9,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJRY_2zgmrtpER0SWGOlfl_SI,https://www.google.com/maps/place/?q=place_id:ChIJRY_2zgmrtpER0SWGOlfl_SI,Polleria CORRALITO Chachapoyas,Restaurante,"Hermosura 304, Chachapoyas 01001",975 366 812,+51 975 366 812,,,"-6.2249438999999995,-77.86769869999999",4.1,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJRY_2zgmrtpER0SWGOlfl_SI,https://www.google.com/maps/place/?q=place_id:ChIJRY_2zgmrtpER0SWGOlfl_SI,Polleria CORRALITO Chachapoyas,Restaurante,"Hermosura 304, Chachapoyas 01001",975 366 812,+51 975 366 812,,,"-6.2249438999999995,-77.86769869999999",4.1,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJRY_2zgmrtpER0SWGOlfl_SI,https://www.google.com/maps/place/?q=place_id:ChIJRY_2zgmrtpER0SWGOlfl_SI,Polleria CORRALITO Chachapoyas,Restaurante,"Hermosura 304, Chachapoyas 01001",975 366 812,+51 975 366 812,,,"-6.2249438999999995,-77.86769869999999",4.1,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJRY_2zgmrtpER0SWGOlfl_SI,https://www.google.com/maps/place/?q=place_id:ChIJRY_2zgmrtpER0SWGOlfl_SI,Polleria CORRALITO Chachapoyas,Restaurante,"Hermosura 304, Chachapoyas 01001",975 366 812,+51 975 366 812,,,"-6.2249438999999995,-77.86769869999999",4.1,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJRY_2zgmrtpER0SWGOlfl_SI,https://www.google.com/maps/place/?q=place_id:ChIJRY_2zgmrtpER0SWGOlfl_SI,Polleria CORRALITO Chachapoyas,Restaurante,"Hermosura 304, Chachapoyas 01001",975 366 812,+51 975 366 812,,,"-6.2249438999999995,-77.86769869999999",4.1,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJRY_2zgmrtpER0SWGOlfl_SI,https://www.google.com/maps/place/?q=place_id:ChIJRY_2zgmrtpER0SWGOlfl_SI,Polleria CORRALITO Chachapoyas,Restaurante,"Hermosura 304, Chachapoyas 01001",975 366 812,+51 975 366 812,,,"-6.2249438999999995,-77.86769869999999",4.1,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJRY_2zgmrtpER0SWGOlfl_SI,https://www.google.com/maps/place/?q=place_id:ChIJRY_2zgmrtpER0SWGOlfl_SI,Polleria CORRALITO Chachapoyas,Restaurante,"Hermosura 304, Chachapoyas 01001",975 366 812,+51 975 366 812,,,"-6.2249438999999995,-77.86769869999999",4.1,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJRY_2zgmrtpER0SWGOlfl_SI,https://www.google.com/maps/place/?q=place_id:ChIJRY_2zgmrtpER0SWGOlfl_SI,Polleria CORRALITO Chachapoyas,Restaurante,"Hermosura 304, Chachapoyas 01001",975 366 812,+51 975 366 812,,,"-6.2249438999999995,-77.86769869999999",4.1,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJRY_2zgmrtpER0SWGOlfl_SI,https://www.google.com/maps/place/?q=place_id:ChIJRY_2zgmrtpER0SWGOlfl_SI,Polleria CORRALITO Chachapoyas,Restaurante,"Hermosura 304, Chachapoyas 01001",975 366 812,+51 975 366 812,,,"-6.2249438999999995,-77.86769869999999",4.1,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJy3p9MA-rtpERCBFY5c8z1JA,https://www.google.com/maps/place/?q=place_id:ChIJy3p9MA-rtpERCBFY5c8z1JA,Pollería El Palacio,Restaurante,"Jr. La Union 515, Chachapoyas 01000",995 630 126,+51 995 630 126,,,"-6.2298333999999995,-77.8690982",3.9,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJRY_2zgmrtpER0SWGOlfl_SI,https://www.google.com/maps/place/?q=place_id:ChIJRY_2zgmrtpER0SWGOlfl_SI,Polleria CORRALITO Chachapoyas,Restaurante,"Hermosura 304, Chachapoyas 01001",975 366 812,+51 975 366 812,,,"-6.2249438999999995,-77.86769869999999",4.1,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJRY_2zgmrtpER0SWGOlfl_SI,https://www.google.com/maps/place/?q=place_id:ChIJRY_2zgmrtpER0SWGOlfl_SI,Polleria CORRALITO Chachapoyas,Restaurante,"Hermosura 304, Chachapoyas 01001",975 366 812,+51 975 366 812,,,"-6.2249438999999995,-77.86769869999999",4.1,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJRY_2zgmrtpER0SWGOlfl_SI,https://www.google.com/maps/place/?q=place_id:ChIJRY_2zgmrtpER0SWGOlfl_SI,Polleria CORRALITO Chachapoyas,Restaurante,"Hermosura 304, Chachapoyas 01001",975 366 812,+51 975 366 812,,,"-6.2249438999999995,-77.86769869999999",4.1,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJERbSLABbsZERqtRZJ4HeojA,https://www.google.com/maps/place/?q=place_id:ChIJERbSLABbsZERqtRZJ4HeojA,Restaurante pollería cristhel,Restaurante,"G58P+52W, La Jalca 01440",,,,,"-6.4848348,-77.81476769999999",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
ChIJc7syU9lbsZEROgDy9YjEyvI,https://www.google.com/maps/place/?q=place_id:ChIJc7syU9lbsZEROgDy9YjEyvI,POLLERIA EL DORADITO,Pollería,La Jalca 01440,917 680 905,+51 917 680 905,,,"-6.4841456,-77.8145387",,,"Pollería en el distrito de La Jalca, Chachapoyas, Amazonas, Perú"
