id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJmf0xCASHEpERSz33Nfye9-4,https://www.google.com/maps/place/?q=place_id:ChIJmf0xCASHEpERSz33Nfye9-4,Morochucos Cevicheria Resto Bar,Restaurante,Ayacucho 05002,,,,,"-13.186536799999999,-74.20221649999999",4,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJQ14TLEJ9EpERcsAe1OHttHw,https://www.google.com/maps/place/?q=place_id:ChIJQ14TLEJ9EpERcsAe1OHttHw,Cevichería sombra marina,Restaurante,"Jr. Pichincha 159, Ayacucho 05001",,,,,"-13.1535966,-74.2212586",3.5,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJkVn3qb19EpERW8W1xawluhc,https://www.google.com/maps/place/?q=place_id:ChIJkVn3qb19EpERW8W1xawluhc,Los Sabores de Gamboa Pescados y mariscos,,"Los Licenciados Mz D lt 4, Ayacucho, Peru, 064 Los Licenciados Mz D lt 4, Ayacucho, Peru, 064, Ayacucho 05003",,,facebook.com,https://www.facebook.com/lossaboresdegamboa,"-13.144473999999999,-74.22766419999999",3.7,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJu9AhyRt9EpERKP3ko5TXSpQ,https://www.google.com/maps/place/?q=place_id:ChIJu9AhyRt9EpERKP3ko5TXSpQ,El Marinero Cevichería,Restaurante,"Jr, 9 de Diciembre 329, Ayacucho 05000",967 195 257,+51 967 195 257,,,"-13.1569705,-74.2257085",,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJj7qh0_Z9EpERZIiQbZfAI4Y,https://www.google.com/maps/place/?q=place_id:ChIJj7qh0_Z9EpERZIiQbZfAI4Y,La nueva caleta del pescador,Restaurante peruano,"Jr Manco Capac, Ayacucho 05000",979 187 954,+51 979 187 954,,,"-13.1549293,-74.2312231",4.2,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJUcGTAAB9EpERUk8D8wNLSZQ,https://www.google.com/maps/place/?q=place_id:ChIJUcGTAAB9EpERUk8D8wNLSZQ,Cevicheria el Pez On,Restaurante,"RQWH+HV6, Jr. Barinas, Ayacucho 05001",,,,,"-13.1535759,-74.2203444",4,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJ-c2k8Px9EpERU69c6Cyj9xI,https://www.google.com/maps/place/?q=place_id:ChIJ-c2k8Px9EpERU69c6Cyj9xI,Cevicheria Restobar TECHITA,Marisquería,"Jr. Cusco 144, Ayacucho 05003",913 840 090,+51 913 840 090,,,"-13.160138499999999,-74.22443109999999",4.7,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJjWcrdwCHEpERyJQC3ZS_Uds,https://www.google.com/maps/place/?q=place_id:ChIJjWcrdwCHEpERyJQC3ZS_Uds,"Cevichería y Marisquería ""El Naufrago""",Restaurante,"05000, Ayacucho 05002",,,,,"-13.1775953,-74.2095448",5,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJeadgHQB9EpERRv2XEk-rcaI,https://www.google.com/maps/place/?q=place_id:ChIJeadgHQB9EpERRv2XEk-rcaI,Cevichería,Club nocturno,"RQX9+968, Jr Manco Capac, Ayacucho 05003",,,,,"-13.151576799999999,-74.2319349",,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJGx5qsv19EpER1GVgLgUdwrY,https://www.google.com/maps/place/?q=place_id:ChIJGx5qsv19EpER1GVgLgUdwrY,Club las Rondas,Marisquería,"Av 26 de Enero 355, Ayacucho 05001",947 230 227,+51 947 230 227,,,"-13.151412899999999,-74.2258894",4.1,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJ5eRXegCHEpERkLOCn-WBSGU,https://www.google.com/maps/place/?q=place_id:ChIJ5eRXegCHEpERkLOCn-WBSGU,Cevichería muelle de puno,Hotel,"Jiron 1ero De Mayo 640, Ayacucho 05001",,,,,"-13.164394,-74.21068799999999",,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJFTt8cACHEpERlrATfU_0X8A,https://www.google.com/maps/place/?q=place_id:ChIJFTt8cACHEpERlrATfU_0X8A,Cebicheria Puerto Qamka,Marisquería,"Av. La Victoria 29, Ayacucho 05002",949 367 074,+51 949 367 074,,,"-13.1729383,-74.2119491",4.5,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJS28YlKZ9EpERE3E7Y2a5_sk,https://www.google.com/maps/place/?q=place_id:ChIJS28YlKZ9EpERE3E7Y2a5_sk,Barra Cevichera Manu by Tony,Restaurante,"Urb mariscal Cáceres n8, Ayacucho",998 442 266,+51 998 442 266,,,"-13.1469399,-74.2250522",3.9,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJfdQ8B8WHEpER4P1DdOLs_MU,https://www.google.com/maps/place/?q=place_id:ChIJfdQ8B8WHEpER4P1DdOLs_MU,Cevichería Todo Selva,Restaurante,"C. Los Alamos 370, Ayacucho 05001",999 161 684,+51 999 161 684,,,"-13.1640962,-74.21379089999999",4,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJFU99OAB9EpERlXBrFvXKMOg,https://www.google.com/maps/place/?q=place_id:ChIJFU99OAB9EpERlXBrFvXKMOg,Cevicheria El encanto Sol & Mar,Pub restaurante,"RQFC+RQH, Ayacucho 05003",931 145 175,+51 931 145 175,tiktok.com,https://www.tiktok.com/@mrcesar.ec?_r=1&_t=ZS-93FIGbksj7I,"-13.1758084,-74.2277526",4,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJOXbv_HCHEpERt_6aSrJt21Q,https://www.google.com/maps/place/?q=place_id:ChIJOXbv_HCHEpERt_6aSrJt21Q,CARNES Y PARILLAS,Restaurante,"Bq María Cordero B-11, Ayacucho 05001",995 970 480,+51 995 970 480,wa.me,https://wa.me/995970480,"-13.150139699999999,-74.2148893",5,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJadma2YV9EpERUP3O0P8tiRc,https://www.google.com/maps/place/?q=place_id:ChIJadma2YV9EpERUP3O0P8tiRc,"""La Caleta Del Pescador""",Restaurante,"RQFG+F9G, Av. Mariscal Cáceres, Ayacucho 05002",,,facebook.com,https://www.facebook.com/Cevicheria-y-Marisqueria-La-Caleta-del-Pescador-227774623957147/,"-13.1763026,-74.2240472",3.9,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJ8W-ZJFV9EpERGD8q3MvFtMs,https://www.google.com/maps/place/?q=place_id:ChIJ8W-ZJFV9EpERGD8q3MvFtMs,Maru,Restaurante peruano,"066, Ayacucho 05003",966 982 575,+51 966 982 575,,,"-13.1639653,-74.21875419999999",4.2,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJdRVc_259EpERYgTMNwoti_w,https://www.google.com/maps/place/?q=place_id:ChIJdRVc_259EpERYgTMNwoti_w,Don Mario Cevichería - Restobar,Restaurante peruano,"Av. Mariscal Cáceres 299, Ayacucho 05002",963 027 546,+51 963 027 546,,,"-13.1761792,-74.22410339999999",5,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJKZUbwzN9EpERLUP4OHehR7k,https://www.google.com/maps/place/?q=place_id:ChIJKZUbwzN9EpERLUP4OHehR7k,Cevichería Nautica pescados & Grill,Restaurante,"JR. José Olaya #105 San Juan Ayacucho, Ayacucho 05001",923 176 778,+51 923 176 778,facebook.com,https://www.facebook.com/Nautica-Pescado-Grill-107977735360916/,"-13.1659624,-74.21866659999999",3.8,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJmf0xCASHEpERSz33Nfye9-4,https://www.google.com/maps/place/?q=place_id:ChIJmf0xCASHEpERSz33Nfye9-4,Morochucos Cevicheria Resto Bar,Restaurante,Ayacucho 05002,,,,,"-13.186536799999999,-74.20221649999999",4,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJQ14TLEJ9EpERcsAe1OHttHw,https://www.google.com/maps/place/?q=place_id:ChIJQ14TLEJ9EpERcsAe1OHttHw,Cevichería sombra marina,Restaurante,"Jr. Pichincha 159, Ayacucho 05001",,,,,"-13.1535966,-74.2212586",3.5,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJkVn3qb19EpERW8W1xawluhc,https://www.google.com/maps/place/?q=place_id:ChIJkVn3qb19EpERW8W1xawluhc,Los Sabores de Gamboa Pescados y mariscos,,"Los Licenciados Mz D lt 4, Ayacucho, Peru, 064 Los Licenciados Mz D lt 4, Ayacucho, Peru, 064, Ayacucho 05003",,,facebook.com,https://www.facebook.com/lossaboresdegamboa,"-13.144473999999999,-74.22766419999999",3.7,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJu9AhyRt9EpERKP3ko5TXSpQ,https://www.google.com/maps/place/?q=place_id:ChIJu9AhyRt9EpERKP3ko5TXSpQ,El Marinero Cevichería,Restaurante,"Jr, 9 de Diciembre 329, Ayacucho 05000",967 195 257,+51 967 195 257,,,"-13.1569705,-74.2257085",,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJj7qh0_Z9EpERZIiQbZfAI4Y,https://www.google.com/maps/place/?q=place_id:ChIJj7qh0_Z9EpERZIiQbZfAI4Y,La nueva caleta del pescador,Restaurante peruano,"Jr Manco Capac, Ayacucho 05000",979 187 954,+51 979 187 954,,,"-13.1549293,-74.2312231",4.2,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJUcGTAAB9EpERUk8D8wNLSZQ,https://www.google.com/maps/place/?q=place_id:ChIJUcGTAAB9EpERUk8D8wNLSZQ,Cevicheria el Pez On,Restaurante,"RQWH+HV6, Jr. Barinas, Ayacucho 05001",,,,,"-13.1535759,-74.2203444",4,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJ-c2k8Px9EpERU69c6Cyj9xI,https://www.google.com/maps/place/?q=place_id:ChIJ-c2k8Px9EpERU69c6Cyj9xI,Cevicheria Restobar TECHITA,Marisquería,"Jr. Cusco 144, Ayacucho 05003",913 840 090,+51 913 840 090,,,"-13.160138499999999,-74.22443109999999",4.7,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJjWcrdwCHEpERyJQC3ZS_Uds,https://www.google.com/maps/place/?q=place_id:ChIJjWcrdwCHEpERyJQC3ZS_Uds,"Cevichería y Marisquería ""El Naufrago""",Restaurante,"05000, Ayacucho 05002",,,,,"-13.1775953,-74.2095448",5,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJeadgHQB9EpERRv2XEk-rcaI,https://www.google.com/maps/place/?q=place_id:ChIJeadgHQB9EpERRv2XEk-rcaI,Cevichería,Club nocturno,"RQX9+968, Jr Manco Capac, Ayacucho 05003",,,,,"-13.151576799999999,-74.2319349",,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJGx5qsv19EpER1GVgLgUdwrY,https://www.google.com/maps/place/?q=place_id:ChIJGx5qsv19EpER1GVgLgUdwrY,Club las Rondas,Marisquería,"Av 26 de Enero 355, Ayacucho 05001",947 230 227,+51 947 230 227,,,"-13.151412899999999,-74.2258894",4.1,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJ5eRXegCHEpERkLOCn-WBSGU,https://www.google.com/maps/place/?q=place_id:ChIJ5eRXegCHEpERkLOCn-WBSGU,Cevichería muelle de puno,Hotel,"Jiron 1ero De Mayo 640, Ayacucho 05001",,,,,"-13.164394,-74.21068799999999",,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJFTt8cACHEpERlrATfU_0X8A,https://www.google.com/maps/place/?q=place_id:ChIJFTt8cACHEpERlrATfU_0X8A,Cebicheria Puerto Qamka,Marisquería,"Av. La Victoria 29, Ayacucho 05002",949 367 074,+51 949 367 074,,,"-13.1729383,-74.2119491",4.5,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJS28YlKZ9EpERE3E7Y2a5_sk,https://www.google.com/maps/place/?q=place_id:ChIJS28YlKZ9EpERE3E7Y2a5_sk,Barra Cevichera Manu by Tony,Restaurante,"Urb mariscal Cáceres n8, Ayacucho",998 442 266,+51 998 442 266,,,"-13.1469399,-74.2250522",3.9,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJfdQ8B8WHEpER4P1DdOLs_MU,https://www.google.com/maps/place/?q=place_id:ChIJfdQ8B8WHEpER4P1DdOLs_MU,Cevichería Todo Selva,Restaurante,"C. Los Alamos 370, Ayacucho 05001",999 161 684,+51 999 161 684,,,"-13.1640962,-74.21379089999999",4,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJFU99OAB9EpERlXBrFvXKMOg,https://www.google.com/maps/place/?q=place_id:ChIJFU99OAB9EpERlXBrFvXKMOg,Cevicheria El encanto Sol & Mar,Pub restaurante,"RQFC+RQH, Ayacucho 05003",931 145 175,+51 931 145 175,tiktok.com,https://www.tiktok.com/@mrcesar.ec?_r=1&_t=ZS-93FIGbksj7I,"-13.1758084,-74.2277526",4,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJOXbv_HCHEpERt_6aSrJt21Q,https://www.google.com/maps/place/?q=place_id:ChIJOXbv_HCHEpERt_6aSrJt21Q,CARNES Y PARILLAS,Restaurante,"Bq María Cordero B-11, Ayacucho 05001",995 970 480,+51 995 970 480,wa.me,https://wa.me/995970480,"-13.150139699999999,-74.2148893",5,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJadma2YV9EpERUP3O0P8tiRc,https://www.google.com/maps/place/?q=place_id:ChIJadma2YV9EpERUP3O0P8tiRc,"""La Caleta Del Pescador""",Restaurante,"RQFG+F9G, Av. Mariscal Cáceres, Ayacucho 05002",,,facebook.com,https://www.facebook.com/Cevicheria-y-Marisqueria-La-Caleta-del-Pescador-227774623957147/,"-13.1763026,-74.2240472",3.9,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJ8W-ZJFV9EpERGD8q3MvFtMs,https://www.google.com/maps/place/?q=place_id:ChIJ8W-ZJFV9EpERGD8q3MvFtMs,Maru,Restaurante peruano,"066, Ayacucho 05003",966 982 575,+51 966 982 575,,,"-13.1639653,-74.21875419999999",4.2,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJdRVc_259EpERYgTMNwoti_w,https://www.google.com/maps/place/?q=place_id:ChIJdRVc_259EpERYgTMNwoti_w,Don Mario Cevichería - Restobar,Restaurante peruano,"Av. Mariscal Cáceres 299, Ayacucho 05002",963 027 546,+51 963 027 546,,,"-13.1761792,-74.22410339999999",5,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJKZUbwzN9EpERLUP4OHehR7k,https://www.google.com/maps/place/?q=place_id:ChIJKZUbwzN9EpERLUP4OHehR7k,Cevichería Nautica pescados & Grill,Restaurante,"JR. José Olaya #105 San Juan Ayacucho, Ayacucho 05001",923 176 778,+51 923 176 778,facebook.com,https://www.facebook.com/Nautica-Pescado-Grill-107977735360916/,"-13.1659624,-74.21866659999999",3.8,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJmf0xCASHEpERSz33Nfye9-4,https://www.google.com/maps/place/?q=place_id:ChIJmf0xCASHEpERSz33Nfye9-4,Morochucos Cevicheria Resto Bar,Restaurante,Ayacucho 05002,,,,,"-13.186536799999999,-74.20221649999999",4,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJQ14TLEJ9EpERcsAe1OHttHw,https://www.google.com/maps/place/?q=place_id:ChIJQ14TLEJ9EpERcsAe1OHttHw,Cevichería sombra marina,Restaurante,"Jr. Pichincha 159, Ayacucho 05001",,,,,"-13.1535966,-74.2212586",3.5,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJkVn3qb19EpERW8W1xawluhc,https://www.google.com/maps/place/?q=place_id:ChIJkVn3qb19EpERW8W1xawluhc,Los Sabores de Gamboa Pescados y mariscos,,"Los Licenciados Mz D lt 4, Ayacucho, Peru, 064 Los Licenciados Mz D lt 4, Ayacucho, Peru, 064, Ayacucho 05003",,,facebook.com,https://www.facebook.com/lossaboresdegamboa,"-13.144473999999999,-74.22766419999999",3.7,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJu9AhyRt9EpERKP3ko5TXSpQ,https://www.google.com/maps/place/?q=place_id:ChIJu9AhyRt9EpERKP3ko5TXSpQ,El Marinero Cevichería,Restaurante,"Jr, 9 de Diciembre 329, Ayacucho 05000",967 195 257,+51 967 195 257,,,"-13.1569705,-74.2257085",,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJj7qh0_Z9EpERZIiQbZfAI4Y,https://www.google.com/maps/place/?q=place_id:ChIJj7qh0_Z9EpERZIiQbZfAI4Y,La nueva caleta del pescador,Restaurante peruano,"Jr Manco Capac, Ayacucho 05000",979 187 954,+51 979 187 954,,,"-13.1549293,-74.2312231",4.2,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJUcGTAAB9EpERUk8D8wNLSZQ,https://www.google.com/maps/place/?q=place_id:ChIJUcGTAAB9EpERUk8D8wNLSZQ,Cevicheria el Pez On,Restaurante,"RQWH+HV6, Jr. Barinas, Ayacucho 05001",,,,,"-13.1535759,-74.2203444",4,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJ-c2k8Px9EpERU69c6Cyj9xI,https://www.google.com/maps/place/?q=place_id:ChIJ-c2k8Px9EpERU69c6Cyj9xI,Cevicheria Restobar TECHITA,Marisquería,"Jr. Cusco 144, Ayacucho 05003",913 840 090,+51 913 840 090,,,"-13.160138499999999,-74.22443109999999",4.7,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJjWcrdwCHEpERyJQC3ZS_Uds,https://www.google.com/maps/place/?q=place_id:ChIJjWcrdwCHEpERyJQC3ZS_Uds,"Cevichería y Marisquería ""El Naufrago""",Restaurante,"05000, Ayacucho 05002",,,,,"-13.1775953,-74.2095448",5,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJeadgHQB9EpERRv2XEk-rcaI,https://www.google.com/maps/place/?q=place_id:ChIJeadgHQB9EpERRv2XEk-rcaI,Cevichería,Club nocturno,"RQX9+968, Jr Manco Capac, Ayacucho 05003",,,,,"-13.151576799999999,-74.2319349",,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJGx5qsv19EpER1GVgLgUdwrY,https://www.google.com/maps/place/?q=place_id:ChIJGx5qsv19EpER1GVgLgUdwrY,Club las Rondas,Marisquería,"Av 26 de Enero 355, Ayacucho 05001",947 230 227,+51 947 230 227,,,"-13.151412899999999,-74.2258894",4.1,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJ5eRXegCHEpERkLOCn-WBSGU,https://www.google.com/maps/place/?q=place_id:ChIJ5eRXegCHEpERkLOCn-WBSGU,Cevichería muelle de puno,Hotel,"Jiron 1ero De Mayo 640, Ayacucho 05001",,,,,"-13.164394,-74.21068799999999",,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJFTt8cACHEpERlrATfU_0X8A,https://www.google.com/maps/place/?q=place_id:ChIJFTt8cACHEpERlrATfU_0X8A,Cebicheria Puerto Qamka,Marisquería,"Av. La Victoria 29, Ayacucho 05002",949 367 074,+51 949 367 074,,,"-13.1729383,-74.2119491",4.5,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJS28YlKZ9EpERE3E7Y2a5_sk,https://www.google.com/maps/place/?q=place_id:ChIJS28YlKZ9EpERE3E7Y2a5_sk,Barra Cevichera Manu by Tony,Restaurante,"Urb mariscal Cáceres n8, Ayacucho",998 442 266,+51 998 442 266,,,"-13.1469399,-74.2250522",3.9,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJfdQ8B8WHEpER4P1DdOLs_MU,https://www.google.com/maps/place/?q=place_id:ChIJfdQ8B8WHEpER4P1DdOLs_MU,Cevichería Todo Selva,Restaurante,"C. Los Alamos 370, Ayacucho 05001",999 161 684,+51 999 161 684,,,"-13.1640962,-74.21379089999999",4,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
ChIJFU99OAB9EpERlXBrFvXKMOg,https://www.google.com/maps/place/?q=place_id:ChIJFU99OAB9EpERlXBrFvXKMOg,Cevicheria El encanto Sol & Mar,Pub restaurante,"RQFC+RQH, Ayacucho 05003",931 145 175,+51 931 145 175,tiktok.com,https://www.tiktok.com/@mrcesar.ec?_r=1&_t=ZS-93FIGbksj7I,"-13.1758084,-74.2277526",4,,"Cevichería en el distrito de Tambillo, Huamanga, Ayacucho, Perú"
