id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJhYZaiHqVFZERuG_kw-OqwnA,https://www.google.com/maps/place/?q=place_id:ChIJhYZaiHqVFZERuG_kw-OqwnA,Pollos a la brasa “Maraka”,Restaurante especializado en pollo,"8FQC+7V8, Yauca 04530",,,,,"-15.6616159,-74.5277397",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
ChIJ0yW1SQCVFZERx6xzUvw23aE,https://www.google.com/maps/place/?q=place_id:ChIJ0yW1SQCVFZERx6xzUvw23aE,Pollería GELY,Restaurante,"8FQC+7V3, Yauca 04530",,,,,"-15.661777899999999,-74.5280042",5,,"Pollería en el distrito de Yauca, Caravelí, Arequipa, Perú"
