id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJfwnCn9vHFZERIk1gbt3Vgv0,https://www.google.com/maps/place/?q=place_id:ChIJfwnCn9vHFZERIk1gbt3Vgv0,Polleria wiliams,Restaurante de comida rápida,"Av. Miguel Grau s/n, Bella Union 04560",,,,,"-15.451100199999999,-74.6590722",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJUcmNUirHFZERphVuzapM7jY,https://www.google.com/maps/place/?q=place_id:ChIJUcmNUirHFZERphVuzapM7jY,"POLLERIA ""PARAÍSO DEL OLIVO""",Restaurante de alas de pollo,"G8Q9+23G, Unnamed Road, Bella Union 04560",994 772 843,+51 994 772 843,,,"-15.4624306,-74.6822905",4.3,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJ-xOjAQDHFZERyKGKYKQs9fM,https://www.google.com/maps/place/?q=place_id:ChIJ-xOjAQDHFZERyKGKYKQs9fM,POLLERÍA RESTAURANTE - PARAÍSO DEL OLIVO,Restaurante,"G8WP+6JR, Bella Union 04560",,,,,"-15.4539253,-74.6661259",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJfwnCn9vHFZERIk1gbt3Vgv0,https://www.google.com/maps/place/?q=place_id:ChIJfwnCn9vHFZERIk1gbt3Vgv0,Polleria wiliams,Restaurante de comida rápida,"Av. Miguel Grau s/n, Bella Union 04560",,,,,"-15.451100199999999,-74.6590722",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJUcmNUirHFZERphVuzapM7jY,https://www.google.com/maps/place/?q=place_id:ChIJUcmNUirHFZERphVuzapM7jY,"POLLERIA ""PARAÍSO DEL OLIVO""",Restaurante de alas de pollo,"G8Q9+23G, Unnamed Road, Bella Union 04560",994 772 843,+51 994 772 843,,,"-15.4624306,-74.6822905",4.3,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJA_FYBDHJBZER904K8h7XGqg,https://www.google.com/maps/place/?q=place_id:ChIJA_FYBDHJBZER904K8h7XGqg,Hatun Pollos y Parrilladas,Restaurante especializado en pollo,"Jirón Víctor Sarria 1182, Lima 15081",(01) 5640352,+51 1 5640352,,,"-12.0506529,-77.0714551",4.1,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJ-xOjAQDHFZERyKGKYKQs9fM,https://www.google.com/maps/place/?q=place_id:ChIJ-xOjAQDHFZERyKGKYKQs9fM,POLLERÍA RESTAURANTE - PARAÍSO DEL OLIVO,Restaurante,"G8WP+6JR, Bella Union 04560",,,,,"-15.4539253,-74.6661259",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJfwnCn9vHFZERIk1gbt3Vgv0,https://www.google.com/maps/place/?q=place_id:ChIJfwnCn9vHFZERIk1gbt3Vgv0,Polleria wiliams,Restaurante de comida rápida,"Av. Miguel Grau s/n, Bella Union 04560",,,,,"-15.451100199999999,-74.6590722",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJUcmNUirHFZERphVuzapM7jY,https://www.google.com/maps/place/?q=place_id:ChIJUcmNUirHFZERphVuzapM7jY,"POLLERIA ""PARAÍSO DEL OLIVO""",Restaurante de alas de pollo,"G8Q9+23G, Unnamed Road, Bella Union 04560",994 772 843,+51 994 772 843,,,"-15.4624306,-74.6822905",4.3,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJA_FYBDHJBZER904K8h7XGqg,https://www.google.com/maps/place/?q=place_id:ChIJA_FYBDHJBZER904K8h7XGqg,Hatun Pollos y Parrilladas,Restaurante especializado en pollo,"Jirón Víctor Sarria 1182, Lima 15081",(01) 5640352,+51 1 5640352,,,"-12.0506529,-77.0714551",4.1,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJ-xOjAQDHFZERyKGKYKQs9fM,https://www.google.com/maps/place/?q=place_id:ChIJ-xOjAQDHFZERyKGKYKQs9fM,POLLERÍA RESTAURANTE - PARAÍSO DEL OLIVO,Restaurante,"G8WP+6JR, Bella Union 04560",,,,,"-15.4539253,-74.6661259",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJfwnCn9vHFZERIk1gbt3Vgv0,https://www.google.com/maps/place/?q=place_id:ChIJfwnCn9vHFZERIk1gbt3Vgv0,Polleria wiliams,Restaurante de comida rápida,"Av. Miguel Grau s/n, Bella Union 04560",,,,,"-15.451100199999999,-74.6590722",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJUcmNUirHFZERphVuzapM7jY,https://www.google.com/maps/place/?q=place_id:ChIJUcmNUirHFZERphVuzapM7jY,"POLLERIA ""PARAÍSO DEL OLIVO""",Restaurante de alas de pollo,"G8Q9+23G, Unnamed Road, Bella Union 04560",994 772 843,+51 994 772 843,,,"-15.4624306,-74.6822905",4.3,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJA_FYBDHJBZER904K8h7XGqg,https://www.google.com/maps/place/?q=place_id:ChIJA_FYBDHJBZER904K8h7XGqg,Hatun Pollos y Parrilladas,Restaurante especializado en pollo,"Jirón Víctor Sarria 1182, Lima 15081",(01) 5640352,+51 1 5640352,,,"-12.0506529,-77.0714551",4.1,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJ-xOjAQDHFZERyKGKYKQs9fM,https://www.google.com/maps/place/?q=place_id:ChIJ-xOjAQDHFZERyKGKYKQs9fM,POLLERÍA RESTAURANTE - PARAÍSO DEL OLIVO,Restaurante,"G8WP+6JR, Bella Union 04560",,,,,"-15.4539253,-74.6661259",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJfwnCn9vHFZERIk1gbt3Vgv0,https://www.google.com/maps/place/?q=place_id:ChIJfwnCn9vHFZERIk1gbt3Vgv0,Polleria wiliams,Restaurante de comida rápida,"Av. Miguel Grau s/n, Bella Union 04560",,,,,"-15.451100199999999,-74.6590722",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJUcmNUirHFZERphVuzapM7jY,https://www.google.com/maps/place/?q=place_id:ChIJUcmNUirHFZERphVuzapM7jY,"POLLERIA ""PARAÍSO DEL OLIVO""",Restaurante de alas de pollo,"G8Q9+23G, Unnamed Road, Bella Union 04560",994 772 843,+51 994 772 843,,,"-15.4624306,-74.6822905",4.3,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJA_FYBDHJBZER904K8h7XGqg,https://www.google.com/maps/place/?q=place_id:ChIJA_FYBDHJBZER904K8h7XGqg,Hatun Pollos y Parrilladas,Restaurante especializado en pollo,"Jirón Víctor Sarria 1182, Lima 15081",(01) 5640352,+51 1 5640352,,,"-12.0506529,-77.0714551",4.1,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJ-xOjAQDHFZERyKGKYKQs9fM,https://www.google.com/maps/place/?q=place_id:ChIJ-xOjAQDHFZERyKGKYKQs9fM,POLLERÍA RESTAURANTE - PARAÍSO DEL OLIVO,Restaurante,"G8WP+6JR, Bella Union 04560",,,,,"-15.4539253,-74.6661259",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJfwnCn9vHFZERIk1gbt3Vgv0,https://www.google.com/maps/place/?q=place_id:ChIJfwnCn9vHFZERIk1gbt3Vgv0,Polleria wiliams,Restaurante de comida rápida,"Av. Miguel Grau s/n, Bella Union 04560",,,,,"-15.451100199999999,-74.6590722",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJUcmNUirHFZERphVuzapM7jY,https://www.google.com/maps/place/?q=place_id:ChIJUcmNUirHFZERphVuzapM7jY,"POLLERIA ""PARAÍSO DEL OLIVO""",Restaurante de alas de pollo,"G8Q9+23G, Unnamed Road, Bella Union 04560",994 772 843,+51 994 772 843,,,"-15.4624306,-74.6822905",4.3,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJi2hD6OLFBZERu8ZNxhO4zBk,https://www.google.com/maps/place/?q=place_id:ChIJi2hD6OLFBZERu8ZNxhO4zBk,Polleria La Pollerona,Restaurante,"Av. José Carlos Mariátegui 2465, El Agustino 15006",950 643 188,+51 950 643 188,lapollerona.com,https://www.lapollerona.com/,"-12.0317331,-76.9993094",4.2,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJA_FYBDHJBZER904K8h7XGqg,https://www.google.com/maps/place/?q=place_id:ChIJA_FYBDHJBZER904K8h7XGqg,Hatun Pollos y Parrilladas,Restaurante especializado en pollo,"Jirón Víctor Sarria 1182, Lima 15081",(01) 5640352,+51 1 5640352,,,"-12.0506529,-77.0714551",4.1,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJ-xOjAQDHFZERyKGKYKQs9fM,https://www.google.com/maps/place/?q=place_id:ChIJ-xOjAQDHFZERyKGKYKQs9fM,POLLERÍA RESTAURANTE - PARAÍSO DEL OLIVO,Restaurante,"G8WP+6JR, Bella Union 04560",,,,,"-15.4539253,-74.6661259",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJfwnCn9vHFZERIk1gbt3Vgv0,https://www.google.com/maps/place/?q=place_id:ChIJfwnCn9vHFZERIk1gbt3Vgv0,Polleria wiliams,Restaurante de comida rápida,"Av. Miguel Grau s/n, Bella Union 04560",,,,,"-15.451100199999999,-74.6590722",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJUcmNUirHFZERphVuzapM7jY,https://www.google.com/maps/place/?q=place_id:ChIJUcmNUirHFZERphVuzapM7jY,"POLLERIA ""PARAÍSO DEL OLIVO""",Restaurante de alas de pollo,"G8Q9+23G, Unnamed Road, Bella Union 04560",994 772 843,+51 994 772 843,,,"-15.4624306,-74.6822905",4.3,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJA_FYBDHJBZER904K8h7XGqg,https://www.google.com/maps/place/?q=place_id:ChIJA_FYBDHJBZER904K8h7XGqg,Hatun Pollos y Parrilladas,Restaurante especializado en pollo,"Jirón Víctor Sarria 1182, Lima 15081",(01) 5640352,+51 1 5640352,,,"-12.0506529,-77.0714551",4.1,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJ-xOjAQDHFZERyKGKYKQs9fM,https://www.google.com/maps/place/?q=place_id:ChIJ-xOjAQDHFZERyKGKYKQs9fM,POLLERÍA RESTAURANTE - PARAÍSO DEL OLIVO,Restaurante,"G8WP+6JR, Bella Union 04560",,,,,"-15.4539253,-74.6661259",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJfwnCn9vHFZERIk1gbt3Vgv0,https://www.google.com/maps/place/?q=place_id:ChIJfwnCn9vHFZERIk1gbt3Vgv0,Polleria wiliams,Restaurante de comida rápida,"Av. Miguel Grau s/n, Bella Union 04560",,,,,"-15.451100199999999,-74.6590722",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJUcmNUirHFZERphVuzapM7jY,https://www.google.com/maps/place/?q=place_id:ChIJUcmNUirHFZERphVuzapM7jY,"POLLERIA ""PARAÍSO DEL OLIVO""",Restaurante de alas de pollo,"G8Q9+23G, Unnamed Road, Bella Union 04560",994 772 843,+51 994 772 843,,,"-15.4624306,-74.6822905",4.3,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJA_FYBDHJBZER904K8h7XGqg,https://www.google.com/maps/place/?q=place_id:ChIJA_FYBDHJBZER904K8h7XGqg,Hatun Pollos y Parrilladas,Restaurante especializado en pollo,"Jirón Víctor Sarria 1182, Lima 15081",(01) 5640352,+51 1 5640352,,,"-12.0506529,-77.0714551",4.1,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJ-xOjAQDHFZERyKGKYKQs9fM,https://www.google.com/maps/place/?q=place_id:ChIJ-xOjAQDHFZERyKGKYKQs9fM,POLLERÍA RESTAURANTE - PARAÍSO DEL OLIVO,Restaurante,"G8WP+6JR, Bella Union 04560",,,,,"-15.4539253,-74.6661259",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJfwnCn9vHFZERIk1gbt3Vgv0,https://www.google.com/maps/place/?q=place_id:ChIJfwnCn9vHFZERIk1gbt3Vgv0,Polleria wiliams,Restaurante de comida rápida,"Av. Miguel Grau s/n, Bella Union 04560",,,,,"-15.451100199999999,-74.6590722",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJUcmNUirHFZERphVuzapM7jY,https://www.google.com/maps/place/?q=place_id:ChIJUcmNUirHFZERphVuzapM7jY,"POLLERIA ""PARAÍSO DEL OLIVO""",Restaurante de alas de pollo,"G8Q9+23G, Unnamed Road, Bella Union 04560",994 772 843,+51 994 772 843,,,"-15.4624306,-74.6822905",4.3,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJA_FYBDHJBZER904K8h7XGqg,https://www.google.com/maps/place/?q=place_id:ChIJA_FYBDHJBZER904K8h7XGqg,Hatun Pollos y Parrilladas,Restaurante especializado en pollo,"Jirón Víctor Sarria 1182, Lima 15081",(01) 5640352,+51 1 5640352,,,"-12.0506529,-77.0714551",4.1,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJ-xOjAQDHFZERyKGKYKQs9fM,https://www.google.com/maps/place/?q=place_id:ChIJ-xOjAQDHFZERyKGKYKQs9fM,POLLERÍA RESTAURANTE - PARAÍSO DEL OLIVO,Restaurante,"G8WP+6JR, Bella Union 04560",,,,,"-15.4539253,-74.6661259",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJfwnCn9vHFZERIk1gbt3Vgv0,https://www.google.com/maps/place/?q=place_id:ChIJfwnCn9vHFZERIk1gbt3Vgv0,Polleria wiliams,Restaurante de comida rápida,"Av. Miguel Grau s/n, Bella Union 04560",,,,,"-15.451100199999999,-74.6590722",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJUcmNUirHFZERphVuzapM7jY,https://www.google.com/maps/place/?q=place_id:ChIJUcmNUirHFZERphVuzapM7jY,"POLLERIA ""PARAÍSO DEL OLIVO""",Restaurante de alas de pollo,"G8Q9+23G, Unnamed Road, Bella Union 04560",994 772 843,+51 994 772 843,,,"-15.4624306,-74.6822905",4.3,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJ-xOjAQDHFZERyKGKYKQs9fM,https://www.google.com/maps/place/?q=place_id:ChIJ-xOjAQDHFZERyKGKYKQs9fM,POLLERÍA RESTAURANTE - PARAÍSO DEL OLIVO,Restaurante,"G8WP+6JR, Bella Union 04560",,,,,"-15.4539253,-74.6661259",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJfwnCn9vHFZERIk1gbt3Vgv0,https://www.google.com/maps/place/?q=place_id:ChIJfwnCn9vHFZERIk1gbt3Vgv0,Polleria wiliams,Restaurante de comida rápida,"Av. Miguel Grau s/n, Bella Union 04560",,,,,"-15.451100199999999,-74.6590722",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJUcmNUirHFZERphVuzapM7jY,https://www.google.com/maps/place/?q=place_id:ChIJUcmNUirHFZERphVuzapM7jY,"POLLERIA ""PARAÍSO DEL OLIVO""",Restaurante de alas de pollo,"G8Q9+23G, Unnamed Road, Bella Union 04560",994 772 843,+51 994 772 843,,,"-15.4624306,-74.6822905",4.3,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJA_FYBDHJBZER904K8h7XGqg,https://www.google.com/maps/place/?q=place_id:ChIJA_FYBDHJBZER904K8h7XGqg,Hatun Pollos y Parrilladas,Restaurante especializado en pollo,"Jirón Víctor Sarria 1182, Lima 15081",(01) 5640352,+51 1 5640352,,,"-12.0506529,-77.0714551",4.1,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJ-xOjAQDHFZERyKGKYKQs9fM,https://www.google.com/maps/place/?q=place_id:ChIJ-xOjAQDHFZERyKGKYKQs9fM,POLLERÍA RESTAURANTE - PARAÍSO DEL OLIVO,Restaurante,"G8WP+6JR, Bella Union 04560",,,,,"-15.4539253,-74.6661259",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJfwnCn9vHFZERIk1gbt3Vgv0,https://www.google.com/maps/place/?q=place_id:ChIJfwnCn9vHFZERIk1gbt3Vgv0,Polleria wiliams,Restaurante de comida rápida,"Av. Miguel Grau s/n, Bella Union 04560",,,,,"-15.451100199999999,-74.6590722",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJUcmNUirHFZERphVuzapM7jY,https://www.google.com/maps/place/?q=place_id:ChIJUcmNUirHFZERphVuzapM7jY,"POLLERIA ""PARAÍSO DEL OLIVO""",Restaurante de alas de pollo,"G8Q9+23G, Unnamed Road, Bella Union 04560",994 772 843,+51 994 772 843,,,"-15.4624306,-74.6822905",4.3,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJA_FYBDHJBZER904K8h7XGqg,https://www.google.com/maps/place/?q=place_id:ChIJA_FYBDHJBZER904K8h7XGqg,Hatun Pollos y Parrilladas,Restaurante especializado en pollo,"Jirón Víctor Sarria 1182, Lima 15081",(01) 5640352,+51 1 5640352,,,"-12.0506529,-77.0714551",4.1,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJ-xOjAQDHFZERyKGKYKQs9fM,https://www.google.com/maps/place/?q=place_id:ChIJ-xOjAQDHFZERyKGKYKQs9fM,POLLERÍA RESTAURANTE - PARAÍSO DEL OLIVO,Restaurante,"G8WP+6JR, Bella Union 04560",,,,,"-15.4539253,-74.6661259",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJfwnCn9vHFZERIk1gbt3Vgv0,https://www.google.com/maps/place/?q=place_id:ChIJfwnCn9vHFZERIk1gbt3Vgv0,Polleria wiliams,Restaurante de comida rápida,"Av. Miguel Grau s/n, Bella Union 04560",,,,,"-15.451100199999999,-74.6590722",,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
ChIJUcmNUirHFZERphVuzapM7jY,https://www.google.com/maps/place/?q=place_id:ChIJUcmNUirHFZERphVuzapM7jY,"POLLERIA ""PARAÍSO DEL OLIVO""",Restaurante de alas de pollo,"G8Q9+23G, Unnamed Road, Bella Union 04560",994 772 843,+51 994 772 843,,,"-15.4624306,-74.6822905",4.3,,"Pollería en el distrito de Bella Unión, Caravelí, Arequipa, Perú"
