id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJhbEvQMGbtJERcIlS1yQLXDk,https://www.google.com/maps/place/?q=place_id:ChIJhbEvQMGbtJERcIlS1yQLXDk,Municipalidad Distrital de Callayuc,Oficina de administración municipal,"R39Q+HRR, 06711",(076) 432740,+51 76 432740,gob.pe,https://www.gob.pe/municallayuc,"-6.1810016,-78.9104766",4,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJPyD2xkJ7s5ER2juvLmOY8R0,https://www.google.com/maps/place/?q=place_id:ChIJPyD2xkJ7s5ER2juvLmOY8R0,la Familia Chicken & Grill,Restaurante,"J57M+2V4, Cutervo 06700",(076) 310615,+51 76 310615,facebook.com,https://www.facebook.com/LaFamiliaChickenGrill/,"-6.387402,-78.81520239999999",4.2,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJwSe3UyOdtJERDSdsaGetYE8,https://www.google.com/maps/place/?q=place_id:ChIJwSe3UyOdtJERDSdsaGetYE8,DON CÉSAR,Pollería,06706,923 919 666,+51 923 919 666,,,"-6.2440446,-78.8552959",,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJxb1GVN-ctJERcijOZ_w3A90,https://www.google.com/maps/place/?q=place_id:ChIJxb1GVN-ctJERcijOZ_w3A90,Yowi Pollos,Restaurante,"3N, Santo Domingo de Capilla 06706",,,,,"-6.2458662,-78.8554979",5,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJFcjXpkl7s5ERCuBhidnKUbo,https://www.google.com/maps/place/?q=place_id:ChIJFcjXpkl7s5ERCuBhidnKUbo,Polleria TANTA,Restaurante especializado en pollo,"Jr. Sta. Rosa 634, Cutervo 06701",910 541 285,+51 910 541 285,,,"-6.3784247,-78.81739859999999",4.1,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJA-4ZHK9js5ERgeCJ3jbSRts,https://www.google.com/maps/place/?q=place_id:ChIJA-4ZHK9js5ERgeCJ3jbSRts,Polleria NAUCA,Restaurante,"Mamabamba, Cutervo 06700",954 645 074,+51 954 645 074,,,"-6.2975809,-78.9163004",,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJlz9q1N57s5ERWNkvUclkQO0,https://www.google.com/maps/place/?q=place_id:ChIJlz9q1N57s5ERWNkvUclkQO0,"Polleria ""ILUCAN""",Restaurante,"Jiron Ramon Castilla n° 1100, Cutervo 06701",985 894 802,+51 985 894 802,,,"-6.3811468,-78.816576",4,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJfQ9zGHx7s5ERmdJa1qqRj6I,https://www.google.com/maps/place/?q=place_id:ChIJfQ9zGHx7s5ERmdJa1qqRj6I,Chifa Pollería El Especialista,Restaurante de fusión,"Jiron Comercio 865, Cutervo 06701",927 715 934,+51 927 715 934,,,"-6.3806327,-78.8174049",3.9,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJhbEvQMGbtJERcIlS1yQLXDk,https://www.google.com/maps/place/?q=place_id:ChIJhbEvQMGbtJERcIlS1yQLXDk,Municipalidad Distrital de Callayuc,Oficina de administración municipal,"R39Q+HRR, 06711",(076) 432740,+51 76 432740,gob.pe,https://www.gob.pe/municallayuc,"-6.1810016,-78.9104766",4,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJPyD2xkJ7s5ER2juvLmOY8R0,https://www.google.com/maps/place/?q=place_id:ChIJPyD2xkJ7s5ER2juvLmOY8R0,la Familia Chicken & Grill,Restaurante,"J57M+2V4, Cutervo 06700",(076) 310615,+51 76 310615,facebook.com,https://www.facebook.com/LaFamiliaChickenGrill/,"-6.387402,-78.81520239999999",4.2,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJwSe3UyOdtJERDSdsaGetYE8,https://www.google.com/maps/place/?q=place_id:ChIJwSe3UyOdtJERDSdsaGetYE8,DON CÉSAR,Pollería,06706,923 919 666,+51 923 919 666,,,"-6.2440446,-78.8552959",,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJxb1GVN-ctJERcijOZ_w3A90,https://www.google.com/maps/place/?q=place_id:ChIJxb1GVN-ctJERcijOZ_w3A90,Yowi Pollos,Restaurante,"3N, Santo Domingo de Capilla 06706",,,,,"-6.2458662,-78.8554979",5,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJFcjXpkl7s5ERCuBhidnKUbo,https://www.google.com/maps/place/?q=place_id:ChIJFcjXpkl7s5ERCuBhidnKUbo,Polleria TANTA,Restaurante especializado en pollo,"Jr. Sta. Rosa 634, Cutervo 06701",910 541 285,+51 910 541 285,,,"-6.3784247,-78.81739859999999",4.1,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJA-4ZHK9js5ERgeCJ3jbSRts,https://www.google.com/maps/place/?q=place_id:ChIJA-4ZHK9js5ERgeCJ3jbSRts,Polleria NAUCA,Restaurante,"Mamabamba, Cutervo 06700",954 645 074,+51 954 645 074,,,"-6.2975809,-78.9163004",,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJlz9q1N57s5ERWNkvUclkQO0,https://www.google.com/maps/place/?q=place_id:ChIJlz9q1N57s5ERWNkvUclkQO0,"Polleria ""ILUCAN""",Restaurante,"Jiron Ramon Castilla n° 1100, Cutervo 06701",985 894 802,+51 985 894 802,,,"-6.3811468,-78.816576",4,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJfQ9zGHx7s5ERmdJa1qqRj6I,https://www.google.com/maps/place/?q=place_id:ChIJfQ9zGHx7s5ERmdJa1qqRj6I,Chifa Pollería El Especialista,Restaurante de fusión,"Jiron Comercio 865, Cutervo 06701",927 715 934,+51 927 715 934,,,"-6.3806327,-78.8174049",3.9,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJPyD2xkJ7s5ER2juvLmOY8R0,https://www.google.com/maps/place/?q=place_id:ChIJPyD2xkJ7s5ER2juvLmOY8R0,la Familia Chicken & Grill,Restaurante,"J57M+2V4, Cutervo 06700",(076) 310615,+51 76 310615,facebook.com,https://www.facebook.com/LaFamiliaChickenGrill/,"-6.387402,-78.81520239999999",4.2,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJhbEvQMGbtJERcIlS1yQLXDk,https://www.google.com/maps/place/?q=place_id:ChIJhbEvQMGbtJERcIlS1yQLXDk,Municipalidad Distrital de Callayuc,Oficina de administración municipal,"R39Q+HRR, 06711",(076) 432740,+51 76 432740,gob.pe,https://www.gob.pe/municallayuc,"-6.1810016,-78.9104766",4,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJwSe3UyOdtJERDSdsaGetYE8,https://www.google.com/maps/place/?q=place_id:ChIJwSe3UyOdtJERDSdsaGetYE8,DON CÉSAR,Pollería,06706,923 919 666,+51 923 919 666,,,"-6.2440446,-78.8552959",,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJ-cwnMV17s5ER93CdnYPJlkI,https://www.google.com/maps/place/?q=place_id:ChIJ-cwnMV17s5ER93CdnYPJlkI,Chifa Delirios,Restaurante,"Jiron Comercio 871, Cutervo 06701",939 360 553,+51 939 360 553,,,"-6.3807312,-78.81742559999999",3.7,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJFcjXpkl7s5ERCuBhidnKUbo,https://www.google.com/maps/place/?q=place_id:ChIJFcjXpkl7s5ERCuBhidnKUbo,Polleria TANTA,Restaurante especializado en pollo,"Jr. Sta. Rosa 634, Cutervo 06701",910 541 285,+51 910 541 285,,,"-6.3784247,-78.81739859999999",4.1,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJA-4ZHK9js5ERgeCJ3jbSRts,https://www.google.com/maps/place/?q=place_id:ChIJA-4ZHK9js5ERgeCJ3jbSRts,Polleria NAUCA,Restaurante,"Mamabamba, Cutervo 06700",954 645 074,+51 954 645 074,,,"-6.2975809,-78.9163004",,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJlz9q1N57s5ERWNkvUclkQO0,https://www.google.com/maps/place/?q=place_id:ChIJlz9q1N57s5ERWNkvUclkQO0,"Polleria ""ILUCAN""",Restaurante,"Jiron Ramon Castilla n° 1100, Cutervo 06701",985 894 802,+51 985 894 802,,,"-6.3811468,-78.816576",4,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJfQ9zGHx7s5ERmdJa1qqRj6I,https://www.google.com/maps/place/?q=place_id:ChIJfQ9zGHx7s5ERmdJa1qqRj6I,Chifa Pollería El Especialista,Restaurante de fusión,"Jiron Comercio 865, Cutervo 06701",927 715 934,+51 927 715 934,,,"-6.3806327,-78.8174049",3.9,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJhbEvQMGbtJERcIlS1yQLXDk,https://www.google.com/maps/place/?q=place_id:ChIJhbEvQMGbtJERcIlS1yQLXDk,Municipalidad Distrital de Callayuc,Oficina de administración municipal,"R39Q+HRR, 06711",(076) 432740,+51 76 432740,gob.pe,https://www.gob.pe/municallayuc,"-6.1810016,-78.9104766",4,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJPyD2xkJ7s5ER2juvLmOY8R0,https://www.google.com/maps/place/?q=place_id:ChIJPyD2xkJ7s5ER2juvLmOY8R0,la Familia Chicken & Grill,Restaurante,"J57M+2V4, Cutervo 06700",(076) 310615,+51 76 310615,facebook.com,https://www.facebook.com/LaFamiliaChickenGrill/,"-6.387402,-78.81520239999999",4.2,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJwSe3UyOdtJERDSdsaGetYE8,https://www.google.com/maps/place/?q=place_id:ChIJwSe3UyOdtJERDSdsaGetYE8,DON CÉSAR,Pollería,06706,923 919 666,+51 923 919 666,,,"-6.2440446,-78.8552959",,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJxb1GVN-ctJERcijOZ_w3A90,https://www.google.com/maps/place/?q=place_id:ChIJxb1GVN-ctJERcijOZ_w3A90,Yowi Pollos,Restaurante,"3N, Santo Domingo de Capilla 06706",,,,,"-6.2458662,-78.8554979",5,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJFcjXpkl7s5ERCuBhidnKUbo,https://www.google.com/maps/place/?q=place_id:ChIJFcjXpkl7s5ERCuBhidnKUbo,Polleria TANTA,Restaurante especializado en pollo,"Jr. Sta. Rosa 634, Cutervo 06701",910 541 285,+51 910 541 285,,,"-6.3784247,-78.81739859999999",4.1,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJA-4ZHK9js5ERgeCJ3jbSRts,https://www.google.com/maps/place/?q=place_id:ChIJA-4ZHK9js5ERgeCJ3jbSRts,Polleria NAUCA,Restaurante,"Mamabamba, Cutervo 06700",954 645 074,+51 954 645 074,,,"-6.2975809,-78.9163004",,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJlz9q1N57s5ERWNkvUclkQO0,https://www.google.com/maps/place/?q=place_id:ChIJlz9q1N57s5ERWNkvUclkQO0,"Polleria ""ILUCAN""",Restaurante,"Jiron Ramon Castilla n° 1100, Cutervo 06701",985 894 802,+51 985 894 802,,,"-6.3811468,-78.816576",4,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJfQ9zGHx7s5ERmdJa1qqRj6I,https://www.google.com/maps/place/?q=place_id:ChIJfQ9zGHx7s5ERmdJa1qqRj6I,Chifa Pollería El Especialista,Restaurante de fusión,"Jiron Comercio 865, Cutervo 06701",927 715 934,+51 927 715 934,,,"-6.3806327,-78.8174049",3.9,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJPyD2xkJ7s5ER2juvLmOY8R0,https://www.google.com/maps/place/?q=place_id:ChIJPyD2xkJ7s5ER2juvLmOY8R0,la Familia Chicken & Grill,Restaurante,"J57M+2V4, Cutervo 06700",(076) 310615,+51 76 310615,facebook.com,https://www.facebook.com/LaFamiliaChickenGrill/,"-6.387402,-78.81520239999999",4.2,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJhbEvQMGbtJERcIlS1yQLXDk,https://www.google.com/maps/place/?q=place_id:ChIJhbEvQMGbtJERcIlS1yQLXDk,Municipalidad Distrital de Callayuc,Oficina de administración municipal,"R39Q+HRR, 06711",(076) 432740,+51 76 432740,gob.pe,https://www.gob.pe/municallayuc,"-6.1810016,-78.9104766",4,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJwSe3UyOdtJERDSdsaGetYE8,https://www.google.com/maps/place/?q=place_id:ChIJwSe3UyOdtJERDSdsaGetYE8,DON CÉSAR,Pollería,06706,923 919 666,+51 923 919 666,,,"-6.2440446,-78.8552959",,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJ-cwnMV17s5ER93CdnYPJlkI,https://www.google.com/maps/place/?q=place_id:ChIJ-cwnMV17s5ER93CdnYPJlkI,Chifa Delirios,Restaurante,"Jiron Comercio 871, Cutervo 06701",939 360 553,+51 939 360 553,,,"-6.3807312,-78.81742559999999",3.7,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJFcjXpkl7s5ERCuBhidnKUbo,https://www.google.com/maps/place/?q=place_id:ChIJFcjXpkl7s5ERCuBhidnKUbo,Polleria TANTA,Restaurante especializado en pollo,"Jr. Sta. Rosa 634, Cutervo 06701",910 541 285,+51 910 541 285,,,"-6.3784247,-78.81739859999999",4.1,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJA-4ZHK9js5ERgeCJ3jbSRts,https://www.google.com/maps/place/?q=place_id:ChIJA-4ZHK9js5ERgeCJ3jbSRts,Polleria NAUCA,Restaurante,"Mamabamba, Cutervo 06700",954 645 074,+51 954 645 074,,,"-6.2975809,-78.9163004",,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJlz9q1N57s5ERWNkvUclkQO0,https://www.google.com/maps/place/?q=place_id:ChIJlz9q1N57s5ERWNkvUclkQO0,"Polleria ""ILUCAN""",Restaurante,"Jiron Ramon Castilla n° 1100, Cutervo 06701",985 894 802,+51 985 894 802,,,"-6.3811468,-78.816576",4,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJfQ9zGHx7s5ERmdJa1qqRj6I,https://www.google.com/maps/place/?q=place_id:ChIJfQ9zGHx7s5ERmdJa1qqRj6I,Chifa Pollería El Especialista,Restaurante de fusión,"Jiron Comercio 865, Cutervo 06701",927 715 934,+51 927 715 934,,,"-6.3806327,-78.8174049",3.9,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJhbEvQMGbtJERcIlS1yQLXDk,https://www.google.com/maps/place/?q=place_id:ChIJhbEvQMGbtJERcIlS1yQLXDk,Municipalidad Distrital de Callayuc,Oficina de administración municipal,"R39Q+HRR, 06711",(076) 432740,+51 76 432740,gob.pe,https://www.gob.pe/municallayuc,"-6.1810016,-78.9104766",4,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJPyD2xkJ7s5ER2juvLmOY8R0,https://www.google.com/maps/place/?q=place_id:ChIJPyD2xkJ7s5ER2juvLmOY8R0,la Familia Chicken & Grill,Restaurante,"J57M+2V4, Cutervo 06700",(076) 310615,+51 76 310615,facebook.com,https://www.facebook.com/LaFamiliaChickenGrill/,"-6.387402,-78.81520239999999",4.2,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJwSe3UyOdtJERDSdsaGetYE8,https://www.google.com/maps/place/?q=place_id:ChIJwSe3UyOdtJERDSdsaGetYE8,DON CÉSAR,Pollería,06706,923 919 666,+51 923 919 666,,,"-6.2440446,-78.8552959",,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJxb1GVN-ctJERcijOZ_w3A90,https://www.google.com/maps/place/?q=place_id:ChIJxb1GVN-ctJERcijOZ_w3A90,Yowi Pollos,Restaurante,"3N, Santo Domingo de Capilla 06706",,,,,"-6.2458662,-78.8554979",5,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJFcjXpkl7s5ERCuBhidnKUbo,https://www.google.com/maps/place/?q=place_id:ChIJFcjXpkl7s5ERCuBhidnKUbo,Polleria TANTA,Restaurante especializado en pollo,"Jr. Sta. Rosa 634, Cutervo 06701",910 541 285,+51 910 541 285,,,"-6.3784247,-78.81739859999999",4.1,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJA-4ZHK9js5ERgeCJ3jbSRts,https://www.google.com/maps/place/?q=place_id:ChIJA-4ZHK9js5ERgeCJ3jbSRts,Polleria NAUCA,Restaurante,"Mamabamba, Cutervo 06700",954 645 074,+51 954 645 074,,,"-6.2975809,-78.9163004",,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJlz9q1N57s5ERWNkvUclkQO0,https://www.google.com/maps/place/?q=place_id:ChIJlz9q1N57s5ERWNkvUclkQO0,"Polleria ""ILUCAN""",Restaurante,"Jiron Ramon Castilla n° 1100, Cutervo 06701",985 894 802,+51 985 894 802,,,"-6.3811468,-78.816576",4,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJfQ9zGHx7s5ERmdJa1qqRj6I,https://www.google.com/maps/place/?q=place_id:ChIJfQ9zGHx7s5ERmdJa1qqRj6I,Chifa Pollería El Especialista,Restaurante de fusión,"Jiron Comercio 865, Cutervo 06701",927 715 934,+51 927 715 934,,,"-6.3806327,-78.8174049",3.9,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJhbEvQMGbtJERcIlS1yQLXDk,https://www.google.com/maps/place/?q=place_id:ChIJhbEvQMGbtJERcIlS1yQLXDk,Municipalidad Distrital de Callayuc,Oficina de administración municipal,"R39Q+HRR, 06711",(076) 432740,+51 76 432740,gob.pe,https://www.gob.pe/municallayuc,"-6.1810016,-78.9104766",4,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJPyD2xkJ7s5ER2juvLmOY8R0,https://www.google.com/maps/place/?q=place_id:ChIJPyD2xkJ7s5ER2juvLmOY8R0,la Familia Chicken & Grill,Restaurante,"J57M+2V4, Cutervo 06700",(076) 310615,+51 76 310615,facebook.com,https://www.facebook.com/LaFamiliaChickenGrill/,"-6.387402,-78.81520239999999",4.2,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJwSe3UyOdtJERDSdsaGetYE8,https://www.google.com/maps/place/?q=place_id:ChIJwSe3UyOdtJERDSdsaGetYE8,DON CÉSAR,Pollería,06706,923 919 666,+51 923 919 666,,,"-6.2440446,-78.8552959",,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJxb1GVN-ctJERcijOZ_w3A90,https://www.google.com/maps/place/?q=place_id:ChIJxb1GVN-ctJERcijOZ_w3A90,Yowi Pollos,Restaurante,"3N, Santo Domingo de Capilla 06706",,,,,"-6.2458662,-78.8554979",5,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJFcjXpkl7s5ERCuBhidnKUbo,https://www.google.com/maps/place/?q=place_id:ChIJFcjXpkl7s5ERCuBhidnKUbo,Polleria TANTA,Restaurante especializado en pollo,"Jr. Sta. Rosa 634, Cutervo 06701",910 541 285,+51 910 541 285,,,"-6.3784247,-78.81739859999999",4.1,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
ChIJA-4ZHK9js5ERgeCJ3jbSRts,https://www.google.com/maps/place/?q=place_id:ChIJA-4ZHK9js5ERgeCJ3jbSRts,Polleria NAUCA,Restaurante,"Mamabamba, Cutervo 06700",954 645 074,+51 954 645 074,,,"-6.2975809,-78.9163004",,,"Pollería en el distrito de Callayuc, Cutervo, Cajamarca, Perú"
