id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJiUAgYwDDEpERgxROlOUTIJE,https://www.google.com/maps/place/?q=place_id:ChIJiUAgYwDDEpERgxROlOUTIJE,"RESTAURANTE POLLERÍA ""CHIPANA""",Restaurante familiar,"Avenida Los Chancas Mz.B1 - Lt.7, Ahuayro 03880",,,,,"-13.494968499999999,-73.8075022",5,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
ChIJtXyOcBrFEpERV5Et_uTnyqA,https://www.google.com/maps/place/?q=place_id:ChIJtXyOcBrFEpERV5Et_uTnyqA,"Polleria ""Pardos""",Pollería,"03851, Chincheros 03851",942 007 719,+51 942 007 719,,,"-13.5165828,-73.7218317",3.3,,"Pollería en el distrito de Chincheros, Chincheros, Apurímac, Perú"
