id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ_4N8y_zIBZERoqvJiHeo3lE,https://www.google.com/maps/place/?q=place_id:ChIJ_4N8y_zIBZERoqvJiHeo3lE,Chifa Luna Nueva,Restaurante peruano,"Av. Gral. Eugenio Garzón 1562, Jesús María 15072",(01) 4250780,+51 1 4250780,,,"-12.075541,-77.0525098",4.1,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJGR_e8O23BZERtIDRCkVeiTg,https://www.google.com/maps/place/?q=place_id:ChIJGR_e8O23BZERtIDRCkVeiTg,Isolina Taberna Peruana,Restaurante peruano,"Av. San Martín 101, Lima 15063",943 833 031,+51 943 833 031,isolina.pe,http://isolina.pe/,"-12.147633599999999,-77.02232049999999",4.6,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJBwakbEfJBZERGIHd-1h9c34,https://www.google.com/maps/place/?q=place_id:ChIJBwakbEfJBZERGIHd-1h9c34,Restaurant Los Chiclayanos,Restaurante,"Av. Brasil 3339, Magdalena del Mar 15076",950 609 327,+51 950 609 327,,,"-12.0904735,-77.0661913",3.8,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJX0TFS0fIBZERf-HStP0tP0o,https://www.google.com/maps/place/?q=place_id:ChIJX0TFS0fIBZERf-HStP0tP0o,500 GRADOS by Jaime Pesaque,Restaurante,"Av. Camino Real 1281, San Isidro 15073",954 604 536,+51 954 604 536,500grados.com,https://500grados.com/,"-12.107038,-77.0392767",4.4,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJwSFYIS-3BZERp_i0aD6l0c0,https://www.google.com/maps/place/?q=place_id:ChIJwSFYIS-3BZERp_i0aD6l0c0,Awicha,Restaurante peruano,"Jirón Domeyer 296, Barranco 15063",921 828 779,+51 921 828 779,awicharestaurante.com,https://www.awicharestaurante.com/,"-12.147979399999999,-77.0230085",4.5,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJl-cOVZDHBZER8bbQD1wbrH0,https://www.google.com/maps/place/?q=place_id:ChIJl-cOVZDHBZER8bbQD1wbrH0,Barra Ramen,Restaurante japonés,"Av. Andrés Aramburú 974, Surquillo 15047",(01) 6356231,+51 1 6356231,facebook.com,https://www.facebook.com/BarraRamen?mibextid=ZbWKwL,"-12.102261799999999,-77.02006039999999",4.4,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJT4p3eCDJBZERmucjVsCxX7w,https://www.google.com/maps/place/?q=place_id:ChIJT4p3eCDJBZERmucjVsCxX7w,Pomakora Restaurante & Barra,Restaurante,"Jr. Tacna 924, Magdalena del Mar LIMA 18",959 537 032,+51 959 537 032,pomakora.com,http://www.pomakora.com/,"-12.0898047,-77.0708453",4.7,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJ-afa4ujGBZEReFOt83QiahY,https://www.google.com/maps/place/?q=place_id:ChIJ-afa4ujGBZEReFOt83QiahY,Puerto Máncora La Molina - Sazón Norteña,Restaurante peruano,"Av. Javier Prado Este 6768, La Molina 15024",949 943 806,+51 949 943 806,puertomancora.com,http://www.puertomancora.com/,"-12.067602599999999,-76.944938",4.3,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJqdGWe-PIBZERT1Cv_tPrzdc,https://www.google.com/maps/place/?q=place_id:ChIJqdGWe-PIBZERT1Cv_tPrzdc,El Tarwi - Jesús María,Restaurante peruano,"Pje. Ayulo 131, Jesús María 15072",(01) 4232389,+51 1 4232389,eltarwi.com,http://eltarwi.com/,"-12.0728791,-77.051131",4.3,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJiY7zT-PIBZERlytJ0EMOrnY,https://www.google.com/maps/place/?q=place_id:ChIJiY7zT-PIBZERlytJ0EMOrnY,Restaurant Criollo Grau,Restaurante de cocina criolla,"Av. Gral. Eugenio Garzón 1465, Jesús María 15072",(01) 4231694,+51 1 4231694,,,"-12.0746779,-77.051486",4.2,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJZ3atyZTJBZERUAvEUlw1lL8,https://www.google.com/maps/place/?q=place_id:ChIJZ3atyZTJBZERUAvEUlw1lL8,CUMPA Taberna Criolla,Restaurante,"Jirón Leoncio Prado 498, Surquillo 15047",946 345 833,+51 946 345 833,cumpatabernacriolla.com,https://cumpatabernacriolla.com/,"-12.1175125,-77.0238566",4.5,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJrakeAKfJBZERir4QzR9xt30,https://www.google.com/maps/place/?q=place_id:ChIJrakeAKfJBZERir4QzR9xt30,Los Esteros De Tumbes,Restaurante peruano,"Jr. Tacna 896, Magdalena del Mar 15086",983 430 184,+51 983 430 184,esterosdetumbes.com,http://esterosdetumbes.com/,"-12.090262099999999,-77.0709494",4.2,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJ9xuKVmnJBZERLu78PjSU4yY,https://www.google.com/maps/place/?q=place_id:ChIJ9xuKVmnJBZERLu78PjSU4yY,PERCADO BARRA CEVICHERA,,"Jr. Huiracocha 1601, Jesús María 15072",993 925 640,+51 993 925 640,instagram.com,https://www.instagram.com/barrapercadoperu,"-12.078606599999999,-77.0495615",4.1,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJ_4rrRRDIBZER8tMFMLp4zpw,https://www.google.com/maps/place/?q=place_id:ChIJ_4rrRRDIBZER8tMFMLp4zpw,La Picantería,Restaurante peruano,"Sta. Rosa 388, Surquillo 15047",953 489 892,+51 953 489 892,picanteriasdelperu.com,http://picanteriasdelperu.com/,"-12.116771799999999,-77.0237832",4.6,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJXY4JUXV7bJERuoqG77Pp_MI,https://www.google.com/maps/place/?q=place_id:ChIJXY4JUXV7bJERuoqG77Pp_MI,Mamara,,03335,,,,,"-14.237919999999999,-72.591949",,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJBRRDq57IBZER0kporm8vHrA,https://www.google.com/maps/place/?q=place_id:ChIJBRRDq57IBZER0kporm8vHrA,La Chaucalla,Restaurante,"Jr. Luis Giribaldi 839, La Victoria 15018",917 245 100,+51 917 245 100,,,"-12.067921199999999,-77.0160461",4.1,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJK94SckDJBZERcqE-y7V5OVw,https://www.google.com/maps/place/?q=place_id:ChIJK94SckDJBZERcqE-y7V5OVw,Picantería Arequipeña Estrellita Del Sur 2 - Local Lince,Restaurante peruano,"Jirón Pedro Conde 480, Lince 15046",966 044 474,+51 966 044 474,facebook.com,https://www.facebook.com/Estrellita-del-Sur-2-102003994767640,"-12.0878135,-77.03105339999999",4.4,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJ041_VQDJBZERYquCMh9EJqQ,https://www.google.com/maps/place/?q=place_id:ChIJ041_VQDJBZERYquCMh9EJqQ,Casa Corea Sede Jesus Maria,Restaurante coreano,"Av. Mello Franco 186, Jesús María 15072",927 479 193,+51 927 479 193,instagram.com,https://www.instagram.com/casacoreaperu/,"-12.074911499999999,-77.0521243",4,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJkTTDhf_IBZER8S3h3JxV-GI,https://www.google.com/maps/place/?q=place_id:ChIJkTTDhf_IBZER8S3h3JxV-GI,Don Fernando Restaurante,Restaurante,"Av. Gral. Eugenio Garzón 1788, Jesús María 15072",(01) 4632656,+51 1 4632656,donfernando.com.pe,http://www.donfernando.com.pe/,"-12.0775831,-77.05424699999999",4.4,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJG5oYWCfJBZER0jNKfgkJLy8,https://www.google.com/maps/place/?q=place_id:ChIJG5oYWCfJBZER0jNKfgkJLy8,El Rincóncito De Chela,Restaurante,"Jr.Chamaya 1208, Breña 15083",913 902 910,+51 913 902 910,rinconcitodechela.com,http://www.rinconcitodechela.com/,"-12.0590713,-77.0575059",4.3,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJ_4N8y_zIBZERoqvJiHeo3lE,https://www.google.com/maps/place/?q=place_id:ChIJ_4N8y_zIBZERoqvJiHeo3lE,Chifa Luna Nueva,Restaurante peruano,"Av. Gral. Eugenio Garzón 1562, Jesús María 15072",(01) 4250780,+51 1 4250780,,,"-12.075541,-77.0525098",4.1,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJGR_e8O23BZERtIDRCkVeiTg,https://www.google.com/maps/place/?q=place_id:ChIJGR_e8O23BZERtIDRCkVeiTg,Isolina Taberna Peruana,Restaurante peruano,"Av. San Martín 101, Lima 15063",943 833 031,+51 943 833 031,isolina.pe,http://isolina.pe/,"-12.147633599999999,-77.02232049999999",4.6,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJBwakbEfJBZERGIHd-1h9c34,https://www.google.com/maps/place/?q=place_id:ChIJBwakbEfJBZERGIHd-1h9c34,Restaurant Los Chiclayanos,Restaurante,"Av. Brasil 3339, Magdalena del Mar 15076",950 609 327,+51 950 609 327,,,"-12.0904735,-77.0661913",3.8,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJX0TFS0fIBZERf-HStP0tP0o,https://www.google.com/maps/place/?q=place_id:ChIJX0TFS0fIBZERf-HStP0tP0o,500 GRADOS by Jaime Pesaque,Restaurante,"Av. Camino Real 1281, San Isidro 15073",954 604 536,+51 954 604 536,500grados.com,https://500grados.com/,"-12.107038,-77.0392767",4.4,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJwSFYIS-3BZERp_i0aD6l0c0,https://www.google.com/maps/place/?q=place_id:ChIJwSFYIS-3BZERp_i0aD6l0c0,Awicha,Restaurante peruano,"Jirón Domeyer 296, Barranco 15063",921 828 779,+51 921 828 779,awicharestaurante.com,https://www.awicharestaurante.com/,"-12.147979399999999,-77.0230085",4.5,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJl-cOVZDHBZER8bbQD1wbrH0,https://www.google.com/maps/place/?q=place_id:ChIJl-cOVZDHBZER8bbQD1wbrH0,Barra Ramen,Restaurante japonés,"Av. Andrés Aramburú 974, Surquillo 15047",(01) 6356231,+51 1 6356231,facebook.com,https://www.facebook.com/BarraRamen?mibextid=ZbWKwL,"-12.102261799999999,-77.02006039999999",4.4,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJT4p3eCDJBZERmucjVsCxX7w,https://www.google.com/maps/place/?q=place_id:ChIJT4p3eCDJBZERmucjVsCxX7w,Pomakora Restaurante & Barra,Restaurante,"Jr. Tacna 924, Magdalena del Mar LIMA 18",959 537 032,+51 959 537 032,pomakora.com,http://www.pomakora.com/,"-12.0898047,-77.0708453",4.7,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJ-afa4ujGBZEReFOt83QiahY,https://www.google.com/maps/place/?q=place_id:ChIJ-afa4ujGBZEReFOt83QiahY,Puerto Máncora La Molina - Sazón Norteña,Restaurante peruano,"Av. Javier Prado Este 6768, La Molina 15024",949 943 806,+51 949 943 806,puertomancora.com,http://www.puertomancora.com/,"-12.067602599999999,-76.944938",4.3,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJqdGWe-PIBZERT1Cv_tPrzdc,https://www.google.com/maps/place/?q=place_id:ChIJqdGWe-PIBZERT1Cv_tPrzdc,El Tarwi - Jesús María,Restaurante peruano,"Pje. Ayulo 131, Jesús María 15072",(01) 4232389,+51 1 4232389,eltarwi.com,http://eltarwi.com/,"-12.0728791,-77.051131",4.3,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJiY7zT-PIBZERlytJ0EMOrnY,https://www.google.com/maps/place/?q=place_id:ChIJiY7zT-PIBZERlytJ0EMOrnY,Restaurant Criollo Grau,Restaurante de cocina criolla,"Av. Gral. Eugenio Garzón 1465, Jesús María 15072",(01) 4231694,+51 1 4231694,,,"-12.0746779,-77.051486",4.2,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJZ3atyZTJBZERUAvEUlw1lL8,https://www.google.com/maps/place/?q=place_id:ChIJZ3atyZTJBZERUAvEUlw1lL8,CUMPA Taberna Criolla,Restaurante,"Jirón Leoncio Prado 498, Surquillo 15047",946 345 833,+51 946 345 833,cumpatabernacriolla.com,https://cumpatabernacriolla.com/,"-12.1175125,-77.0238566",4.5,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJrakeAKfJBZERir4QzR9xt30,https://www.google.com/maps/place/?q=place_id:ChIJrakeAKfJBZERir4QzR9xt30,Los Esteros De Tumbes,Restaurante peruano,"Jr. Tacna 896, Magdalena del Mar 15086",983 430 184,+51 983 430 184,esterosdetumbes.com,http://esterosdetumbes.com/,"-12.090262099999999,-77.0709494",4.2,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJ9xuKVmnJBZERLu78PjSU4yY,https://www.google.com/maps/place/?q=place_id:ChIJ9xuKVmnJBZERLu78PjSU4yY,PERCADO BARRA CEVICHERA,,"Jr. Huiracocha 1601, Jesús María 15072",993 925 640,+51 993 925 640,instagram.com,https://www.instagram.com/barrapercadoperu,"-12.078606599999999,-77.0495615",4.1,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJ_4rrRRDIBZER8tMFMLp4zpw,https://www.google.com/maps/place/?q=place_id:ChIJ_4rrRRDIBZER8tMFMLp4zpw,La Picantería,Restaurante peruano,"Sta. Rosa 388, Surquillo 15047",953 489 892,+51 953 489 892,picanteriasdelperu.com,http://picanteriasdelperu.com/,"-12.116771799999999,-77.0237832",4.6,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJXY4JUXV7bJERuoqG77Pp_MI,https://www.google.com/maps/place/?q=place_id:ChIJXY4JUXV7bJERuoqG77Pp_MI,Mamara,,03335,,,,,"-14.237919999999999,-72.591949",,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJBRRDq57IBZER0kporm8vHrA,https://www.google.com/maps/place/?q=place_id:ChIJBRRDq57IBZER0kporm8vHrA,La Chaucalla,Restaurante,"Jr. Luis Giribaldi 839, La Victoria 15018",917 245 100,+51 917 245 100,,,"-12.067921199999999,-77.0160461",4.1,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJK94SckDJBZERcqE-y7V5OVw,https://www.google.com/maps/place/?q=place_id:ChIJK94SckDJBZERcqE-y7V5OVw,Picantería Arequipeña Estrellita Del Sur 2 - Local Lince,Restaurante peruano,"Jirón Pedro Conde 480, Lince 15046",966 044 474,+51 966 044 474,facebook.com,https://www.facebook.com/Estrellita-del-Sur-2-102003994767640,"-12.0878135,-77.03105339999999",4.4,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJ041_VQDJBZERYquCMh9EJqQ,https://www.google.com/maps/place/?q=place_id:ChIJ041_VQDJBZERYquCMh9EJqQ,Casa Corea Sede Jesus Maria,Restaurante coreano,"Av. Mello Franco 186, Jesús María 15072",927 479 193,+51 927 479 193,instagram.com,https://www.instagram.com/casacoreaperu/,"-12.074911499999999,-77.0521243",4,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJkTTDhf_IBZER8S3h3JxV-GI,https://www.google.com/maps/place/?q=place_id:ChIJkTTDhf_IBZER8S3h3JxV-GI,Don Fernando Restaurante,Restaurante,"Av. Gral. Eugenio Garzón 1788, Jesús María 15072",(01) 4632656,+51 1 4632656,donfernando.com.pe,http://www.donfernando.com.pe/,"-12.0775831,-77.05424699999999",4.4,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJG5oYWCfJBZER0jNKfgkJLy8,https://www.google.com/maps/place/?q=place_id:ChIJG5oYWCfJBZER0jNKfgkJLy8,El Rincóncito De Chela,Restaurante,"Jr.Chamaya 1208, Breña 15083",913 902 910,+51 913 902 910,rinconcitodechela.com,http://www.rinconcitodechela.com/,"-12.0590713,-77.0575059",4.3,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJ_4N8y_zIBZERoqvJiHeo3lE,https://www.google.com/maps/place/?q=place_id:ChIJ_4N8y_zIBZERoqvJiHeo3lE,Chifa Luna Nueva,Restaurante peruano,"Av. Gral. Eugenio Garzón 1562, Jesús María 15072",(01) 4250780,+51 1 4250780,,,"-12.075541,-77.0525098",4.1,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJGR_e8O23BZERtIDRCkVeiTg,https://www.google.com/maps/place/?q=place_id:ChIJGR_e8O23BZERtIDRCkVeiTg,Isolina Taberna Peruana,Restaurante peruano,"Av. San Martín 101, Lima 15063",943 833 031,+51 943 833 031,isolina.pe,http://isolina.pe/,"-12.147633599999999,-77.02232049999999",4.6,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJBwakbEfJBZERGIHd-1h9c34,https://www.google.com/maps/place/?q=place_id:ChIJBwakbEfJBZERGIHd-1h9c34,Restaurant Los Chiclayanos,Restaurante,"Av. Brasil 3339, Magdalena del Mar 15076",950 609 327,+51 950 609 327,,,"-12.0904735,-77.0661913",3.8,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJX0TFS0fIBZERf-HStP0tP0o,https://www.google.com/maps/place/?q=place_id:ChIJX0TFS0fIBZERf-HStP0tP0o,500 GRADOS by Jaime Pesaque,Restaurante,"Av. Camino Real 1281, San Isidro 15073",954 604 536,+51 954 604 536,500grados.com,https://500grados.com/,"-12.107038,-77.0392767",4.4,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJwSFYIS-3BZERp_i0aD6l0c0,https://www.google.com/maps/place/?q=place_id:ChIJwSFYIS-3BZERp_i0aD6l0c0,Awicha,Restaurante peruano,"Jirón Domeyer 296, Barranco 15063",921 828 779,+51 921 828 779,awicharestaurante.com,https://www.awicharestaurante.com/,"-12.147979399999999,-77.0230085",4.5,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJl-cOVZDHBZER8bbQD1wbrH0,https://www.google.com/maps/place/?q=place_id:ChIJl-cOVZDHBZER8bbQD1wbrH0,Barra Ramen,Restaurante japonés,"Av. Andrés Aramburú 974, Surquillo 15047",(01) 6356231,+51 1 6356231,facebook.com,https://www.facebook.com/BarraRamen?mibextid=ZbWKwL,"-12.102261799999999,-77.02006039999999",4.4,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJT4p3eCDJBZERmucjVsCxX7w,https://www.google.com/maps/place/?q=place_id:ChIJT4p3eCDJBZERmucjVsCxX7w,Pomakora Restaurante & Barra,Restaurante,"Jr. Tacna 924, Magdalena del Mar LIMA 18",959 537 032,+51 959 537 032,pomakora.com,http://www.pomakora.com/,"-12.0898047,-77.0708453",4.7,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJ-afa4ujGBZEReFOt83QiahY,https://www.google.com/maps/place/?q=place_id:ChIJ-afa4ujGBZEReFOt83QiahY,Puerto Máncora La Molina - Sazón Norteña,Restaurante peruano,"Av. Javier Prado Este 6768, La Molina 15024",949 943 806,+51 949 943 806,puertomancora.com,http://www.puertomancora.com/,"-12.067602599999999,-76.944938",4.3,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJqdGWe-PIBZERT1Cv_tPrzdc,https://www.google.com/maps/place/?q=place_id:ChIJqdGWe-PIBZERT1Cv_tPrzdc,El Tarwi - Jesús María,Restaurante peruano,"Pje. Ayulo 131, Jesús María 15072",(01) 4232389,+51 1 4232389,eltarwi.com,http://eltarwi.com/,"-12.0728791,-77.051131",4.3,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJiY7zT-PIBZERlytJ0EMOrnY,https://www.google.com/maps/place/?q=place_id:ChIJiY7zT-PIBZERlytJ0EMOrnY,Restaurant Criollo Grau,Restaurante de cocina criolla,"Av. Gral. Eugenio Garzón 1465, Jesús María 15072",(01) 4231694,+51 1 4231694,,,"-12.0746779,-77.051486",4.2,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJZ3atyZTJBZERUAvEUlw1lL8,https://www.google.com/maps/place/?q=place_id:ChIJZ3atyZTJBZERUAvEUlw1lL8,CUMPA Taberna Criolla,Restaurante,"Jirón Leoncio Prado 498, Surquillo 15047",946 345 833,+51 946 345 833,cumpatabernacriolla.com,https://cumpatabernacriolla.com/,"-12.1175125,-77.0238566",4.5,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJrakeAKfJBZERir4QzR9xt30,https://www.google.com/maps/place/?q=place_id:ChIJrakeAKfJBZERir4QzR9xt30,Los Esteros De Tumbes,Restaurante peruano,"Jr. Tacna 896, Magdalena del Mar 15086",983 430 184,+51 983 430 184,esterosdetumbes.com,http://esterosdetumbes.com/,"-12.090262099999999,-77.0709494",4.2,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
ChIJ9xuKVmnJBZERLu78PjSU4yY,https://www.google.com/maps/place/?q=place_id:ChIJ9xuKVmnJBZERLu78PjSU4yY,PERCADO BARRA CEVICHERA,,"Jr. Huiracocha 1601, Jesús María 15072",993 925 640,+51 993 925 640,instagram.com,https://www.instagram.com/barrapercadoperu,"-12.078606599999999,-77.0495615",4.1,,"Comida peruana en el distrito de Mamara, Grau, Apurímac, Perú"
