id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ-TAzMJUDbZERmosOY7s5NB0,https://www.google.com/maps/place/?q=place_id:ChIJ-TAzMJUDbZERmosOY7s5NB0,Polleria Huaillys Tamburco,Restaurante especializado en pollo,"94HG+8RC, Circunvalacion, Abancay 03001",950 748 727,+51 950 748 727,,,"-13.6216934,-72.8729756",4.3,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJdRNbsRkDbZERjvScFoQu04Q,https://www.google.com/maps/place/?q=place_id:ChIJdRNbsRkDbZERjvScFoQu04Q,Polleria La Fogata Yec,Restaurante,"Av. Tamburco 127, Abancay 03001",983 642 533,+51 983 642 533,lafogatayic.com,http://lafogatayic.com/,"-13.6226766,-72.8718779",3.9,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJwTLRktcCbZER2IxeGAtUwK4,https://www.google.com/maps/place/?q=place_id:ChIJwTLRktcCbZER2IxeGAtUwK4,"Pollería ""La Leña""",Tienda de aves de corral,"3S 621, Abancay 03001",(083) 321239,+51 83 321239,,,"-13.6347191,-72.8878896",3.5,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ74DHJt4CbZERjk8PZp0XNQs,https://www.google.com/maps/place/?q=place_id:ChIJ74DHJt4CbZERjk8PZp0XNQs,Polleria Mauris,Restaurante,"947F+GRV, Ave Arenas, Abancay 03001",950 931 105,+51 950 931 105,,,"-13.6361352,-72.8754574",3.6,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ-TAzMJUDbZERmosOY7s5NB0,https://www.google.com/maps/place/?q=place_id:ChIJ-TAzMJUDbZERmosOY7s5NB0,Polleria Huaillys Tamburco,Restaurante especializado en pollo,"94HG+8RC, Circunvalacion, Abancay 03001",950 748 727,+51 950 748 727,,,"-13.6216934,-72.8729756",4.3,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJdRNbsRkDbZERjvScFoQu04Q,https://www.google.com/maps/place/?q=place_id:ChIJdRNbsRkDbZERjvScFoQu04Q,Polleria La Fogata Yec,Restaurante,"Av. Tamburco 127, Abancay 03001",983 642 533,+51 983 642 533,lafogatayic.com,http://lafogatayic.com/,"-13.6226766,-72.8718779",3.9,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJwTLRktcCbZER2IxeGAtUwK4,https://www.google.com/maps/place/?q=place_id:ChIJwTLRktcCbZER2IxeGAtUwK4,"Pollería ""La Leña""",Tienda de aves de corral,"3S 621, Abancay 03001",(083) 321239,+51 83 321239,,,"-13.6347191,-72.8878896",3.5,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ74DHJt4CbZERjk8PZp0XNQs,https://www.google.com/maps/place/?q=place_id:ChIJ74DHJt4CbZERjk8PZp0XNQs,Polleria Mauris,Restaurante,"947F+GRV, Ave Arenas, Abancay 03001",950 931 105,+51 950 931 105,,,"-13.6361352,-72.8754574",3.6,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ-TAzMJUDbZERmosOY7s5NB0,https://www.google.com/maps/place/?q=place_id:ChIJ-TAzMJUDbZERmosOY7s5NB0,Polleria Huaillys Tamburco,Restaurante especializado en pollo,"94HG+8RC, Circunvalacion, Abancay 03001",950 748 727,+51 950 748 727,,,"-13.6216934,-72.8729756",4.3,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJdRNbsRkDbZERjvScFoQu04Q,https://www.google.com/maps/place/?q=place_id:ChIJdRNbsRkDbZERjvScFoQu04Q,Polleria La Fogata Yec,Restaurante,"Av. Tamburco 127, Abancay 03001",983 642 533,+51 983 642 533,lafogatayic.com,http://lafogatayic.com/,"-13.6226766,-72.8718779",3.9,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJwTLRktcCbZER2IxeGAtUwK4,https://www.google.com/maps/place/?q=place_id:ChIJwTLRktcCbZER2IxeGAtUwK4,"Pollería ""La Leña""",Tienda de aves de corral,"3S 621, Abancay 03001",(083) 321239,+51 83 321239,,,"-13.6347191,-72.8878896",3.5,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ74DHJt4CbZERjk8PZp0XNQs,https://www.google.com/maps/place/?q=place_id:ChIJ74DHJt4CbZERjk8PZp0XNQs,Polleria Mauris,Restaurante,"947F+GRV, Ave Arenas, Abancay 03001",950 931 105,+51 950 931 105,,,"-13.6361352,-72.8754574",3.6,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ-TAzMJUDbZERmosOY7s5NB0,https://www.google.com/maps/place/?q=place_id:ChIJ-TAzMJUDbZERmosOY7s5NB0,Polleria Huaillys Tamburco,Restaurante especializado en pollo,"94HG+8RC, Circunvalacion, Abancay 03001",950 748 727,+51 950 748 727,,,"-13.6216934,-72.8729756",4.3,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJdRNbsRkDbZERjvScFoQu04Q,https://www.google.com/maps/place/?q=place_id:ChIJdRNbsRkDbZERjvScFoQu04Q,Polleria La Fogata Yec,Restaurante,"Av. Tamburco 127, Abancay 03001",983 642 533,+51 983 642 533,lafogatayic.com,http://lafogatayic.com/,"-13.6226766,-72.8718779",3.9,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJwTLRktcCbZER2IxeGAtUwK4,https://www.google.com/maps/place/?q=place_id:ChIJwTLRktcCbZER2IxeGAtUwK4,"Pollería ""La Leña""",Tienda de aves de corral,"3S 621, Abancay 03001",(083) 321239,+51 83 321239,,,"-13.6347191,-72.8878896",3.5,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ74DHJt4CbZERjk8PZp0XNQs,https://www.google.com/maps/place/?q=place_id:ChIJ74DHJt4CbZERjk8PZp0XNQs,Polleria Mauris,Restaurante,"947F+GRV, Ave Arenas, Abancay 03001",950 931 105,+51 950 931 105,,,"-13.6361352,-72.8754574",3.6,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ-TAzMJUDbZERmosOY7s5NB0,https://www.google.com/maps/place/?q=place_id:ChIJ-TAzMJUDbZERmosOY7s5NB0,Polleria Huaillys Tamburco,Restaurante especializado en pollo,"94HG+8RC, Circunvalacion, Abancay 03001",950 748 727,+51 950 748 727,,,"-13.6216934,-72.8729756",4.3,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJdRNbsRkDbZERjvScFoQu04Q,https://www.google.com/maps/place/?q=place_id:ChIJdRNbsRkDbZERjvScFoQu04Q,Polleria La Fogata Yec,Restaurante,"Av. Tamburco 127, Abancay 03001",983 642 533,+51 983 642 533,lafogatayic.com,http://lafogatayic.com/,"-13.6226766,-72.8718779",3.9,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJwTLRktcCbZER2IxeGAtUwK4,https://www.google.com/maps/place/?q=place_id:ChIJwTLRktcCbZER2IxeGAtUwK4,"Pollería ""La Leña""",Tienda de aves de corral,"3S 621, Abancay 03001",(083) 321239,+51 83 321239,,,"-13.6347191,-72.8878896",3.5,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ74DHJt4CbZERjk8PZp0XNQs,https://www.google.com/maps/place/?q=place_id:ChIJ74DHJt4CbZERjk8PZp0XNQs,Polleria Mauris,Restaurante,"947F+GRV, Ave Arenas, Abancay 03001",950 931 105,+51 950 931 105,,,"-13.6361352,-72.8754574",3.6,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ-TAzMJUDbZERmosOY7s5NB0,https://www.google.com/maps/place/?q=place_id:ChIJ-TAzMJUDbZERmosOY7s5NB0,Polleria Huaillys Tamburco,Restaurante especializado en pollo,"94HG+8RC, Circunvalacion, Abancay 03001",950 748 727,+51 950 748 727,,,"-13.6216934,-72.8729756",4.3,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJdRNbsRkDbZERjvScFoQu04Q,https://www.google.com/maps/place/?q=place_id:ChIJdRNbsRkDbZERjvScFoQu04Q,Polleria La Fogata Yec,Restaurante,"Av. Tamburco 127, Abancay 03001",983 642 533,+51 983 642 533,lafogatayic.com,http://lafogatayic.com/,"-13.6226766,-72.8718779",3.9,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJwTLRktcCbZER2IxeGAtUwK4,https://www.google.com/maps/place/?q=place_id:ChIJwTLRktcCbZER2IxeGAtUwK4,"Pollería ""La Leña""",Tienda de aves de corral,"3S 621, Abancay 03001",(083) 321239,+51 83 321239,,,"-13.6347191,-72.8878896",3.5,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ74DHJt4CbZERjk8PZp0XNQs,https://www.google.com/maps/place/?q=place_id:ChIJ74DHJt4CbZERjk8PZp0XNQs,Polleria Mauris,Restaurante,"947F+GRV, Ave Arenas, Abancay 03001",950 931 105,+51 950 931 105,,,"-13.6361352,-72.8754574",3.6,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ-TAzMJUDbZERmosOY7s5NB0,https://www.google.com/maps/place/?q=place_id:ChIJ-TAzMJUDbZERmosOY7s5NB0,Polleria Huaillys Tamburco,Restaurante especializado en pollo,"94HG+8RC, Circunvalacion, Abancay 03001",950 748 727,+51 950 748 727,,,"-13.6216934,-72.8729756",4.3,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJdRNbsRkDbZERjvScFoQu04Q,https://www.google.com/maps/place/?q=place_id:ChIJdRNbsRkDbZERjvScFoQu04Q,Polleria La Fogata Yec,Restaurante,"Av. Tamburco 127, Abancay 03001",983 642 533,+51 983 642 533,lafogatayic.com,http://lafogatayic.com/,"-13.6226766,-72.8718779",3.9,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJyZWl-XvHBZERENmISEb90NA,https://www.google.com/maps/place/?q=place_id:ChIJyZWl-XvHBZERENmISEb90NA,POLLERIA EL REY santa anita,Restaurante,"Av. los Rosales 380, Santa Anita 15009",982 639 892,+51 982 639 892,rappi.app.link,https://rappi.app.link/Polleria_Rey?af_adset=pa-copy,"-12.047647,-76.96060419999999",4.9,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJhf1EVwC5BZERjaW8nGy3heA,https://www.google.com/maps/place/?q=place_id:ChIJhf1EVwC5BZERjaW8nGy3heA,TULLPA POLLOS A LA BRASA,Restaurante especializado en pollo,"R342+H9X, Av. 1ro de Mayo, Villa EL Salvador 15828",908 812 112,+51 908 812 112,,,"-12.1935191,-76.9490639",4.6,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJwTLRktcCbZER2IxeGAtUwK4,https://www.google.com/maps/place/?q=place_id:ChIJwTLRktcCbZER2IxeGAtUwK4,"Pollería ""La Leña""",Tienda de aves de corral,"3S 621, Abancay 03001",(083) 321239,+51 83 321239,,,"-13.6347191,-72.8878896",3.5,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ-TAzMJUDbZERmosOY7s5NB0,https://www.google.com/maps/place/?q=place_id:ChIJ-TAzMJUDbZERmosOY7s5NB0,Polleria Huaillys Tamburco,Restaurante especializado en pollo,"94HG+8RC, Circunvalacion, Abancay 03001",950 748 727,+51 950 748 727,,,"-13.6216934,-72.8729756",4.3,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ74DHJt4CbZERjk8PZp0XNQs,https://www.google.com/maps/place/?q=place_id:ChIJ74DHJt4CbZERjk8PZp0XNQs,Polleria Mauris,Restaurante,"947F+GRV, Ave Arenas, Abancay 03001",950 931 105,+51 950 931 105,,,"-13.6361352,-72.8754574",3.6,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJdRNbsRkDbZERjvScFoQu04Q,https://www.google.com/maps/place/?q=place_id:ChIJdRNbsRkDbZERjvScFoQu04Q,Polleria La Fogata Yec,Restaurante,"Av. Tamburco 127, Abancay 03001",983 642 533,+51 983 642 533,lafogatayic.com,http://lafogatayic.com/,"-13.6226766,-72.8718779",3.9,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJwTLRktcCbZER2IxeGAtUwK4,https://www.google.com/maps/place/?q=place_id:ChIJwTLRktcCbZER2IxeGAtUwK4,"Pollería ""La Leña""",Tienda de aves de corral,"3S 621, Abancay 03001",(083) 321239,+51 83 321239,,,"-13.6347191,-72.8878896",3.5,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ74DHJt4CbZERjk8PZp0XNQs,https://www.google.com/maps/place/?q=place_id:ChIJ74DHJt4CbZERjk8PZp0XNQs,Polleria Mauris,Restaurante,"947F+GRV, Ave Arenas, Abancay 03001",950 931 105,+51 950 931 105,,,"-13.6361352,-72.8754574",3.6,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ-TAzMJUDbZERmosOY7s5NB0,https://www.google.com/maps/place/?q=place_id:ChIJ-TAzMJUDbZERmosOY7s5NB0,Polleria Huaillys Tamburco,Restaurante especializado en pollo,"94HG+8RC, Circunvalacion, Abancay 03001",950 748 727,+51 950 748 727,,,"-13.6216934,-72.8729756",4.3,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJdRNbsRkDbZERjvScFoQu04Q,https://www.google.com/maps/place/?q=place_id:ChIJdRNbsRkDbZERjvScFoQu04Q,Polleria La Fogata Yec,Restaurante,"Av. Tamburco 127, Abancay 03001",983 642 533,+51 983 642 533,lafogatayic.com,http://lafogatayic.com/,"-13.6226766,-72.8718779",3.9,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJwTLRktcCbZER2IxeGAtUwK4,https://www.google.com/maps/place/?q=place_id:ChIJwTLRktcCbZER2IxeGAtUwK4,"Pollería ""La Leña""",Tienda de aves de corral,"3S 621, Abancay 03001",(083) 321239,+51 83 321239,,,"-13.6347191,-72.8878896",3.5,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ74DHJt4CbZERjk8PZp0XNQs,https://www.google.com/maps/place/?q=place_id:ChIJ74DHJt4CbZERjk8PZp0XNQs,Polleria Mauris,Restaurante,"947F+GRV, Ave Arenas, Abancay 03001",950 931 105,+51 950 931 105,,,"-13.6361352,-72.8754574",3.6,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ-TAzMJUDbZERmosOY7s5NB0,https://www.google.com/maps/place/?q=place_id:ChIJ-TAzMJUDbZERmosOY7s5NB0,Polleria Huaillys Tamburco,Restaurante especializado en pollo,"94HG+8RC, Circunvalacion, Abancay 03001",950 748 727,+51 950 748 727,,,"-13.6216934,-72.8729756",4.3,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJdRNbsRkDbZERjvScFoQu04Q,https://www.google.com/maps/place/?q=place_id:ChIJdRNbsRkDbZERjvScFoQu04Q,Polleria La Fogata Yec,Restaurante,"Av. Tamburco 127, Abancay 03001",983 642 533,+51 983 642 533,lafogatayic.com,http://lafogatayic.com/,"-13.6226766,-72.8718779",3.9,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJwTLRktcCbZER2IxeGAtUwK4,https://www.google.com/maps/place/?q=place_id:ChIJwTLRktcCbZER2IxeGAtUwK4,"Pollería ""La Leña""",Tienda de aves de corral,"3S 621, Abancay 03001",(083) 321239,+51 83 321239,,,"-13.6347191,-72.8878896",3.5,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ74DHJt4CbZERjk8PZp0XNQs,https://www.google.com/maps/place/?q=place_id:ChIJ74DHJt4CbZERjk8PZp0XNQs,Polleria Mauris,Restaurante,"947F+GRV, Ave Arenas, Abancay 03001",950 931 105,+51 950 931 105,,,"-13.6361352,-72.8754574",3.6,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ-TAzMJUDbZERmosOY7s5NB0,https://www.google.com/maps/place/?q=place_id:ChIJ-TAzMJUDbZERmosOY7s5NB0,Polleria Huaillys Tamburco,Restaurante especializado en pollo,"94HG+8RC, Circunvalacion, Abancay 03001",950 748 727,+51 950 748 727,,,"-13.6216934,-72.8729756",4.3,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJdRNbsRkDbZERjvScFoQu04Q,https://www.google.com/maps/place/?q=place_id:ChIJdRNbsRkDbZERjvScFoQu04Q,Polleria La Fogata Yec,Restaurante,"Av. Tamburco 127, Abancay 03001",983 642 533,+51 983 642 533,lafogatayic.com,http://lafogatayic.com/,"-13.6226766,-72.8718779",3.9,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJwTLRktcCbZER2IxeGAtUwK4,https://www.google.com/maps/place/?q=place_id:ChIJwTLRktcCbZER2IxeGAtUwK4,"Pollería ""La Leña""",Tienda de aves de corral,"3S 621, Abancay 03001",(083) 321239,+51 83 321239,,,"-13.6347191,-72.8878896",3.5,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
ChIJ74DHJt4CbZERjk8PZp0XNQs,https://www.google.com/maps/place/?q=place_id:ChIJ74DHJt4CbZERjk8PZp0XNQs,Polleria Mauris,Restaurante,"947F+GRV, Ave Arenas, Abancay 03001",950 931 105,+51 950 931 105,,,"-13.6361352,-72.8754574",3.6,,"Pollería en el distrito de Turpay, Grau, Apurímac, Perú"
