id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJg65_hNlNE5ERbiKbSU17PPI,https://www.google.com/maps/place/?q=place_id:ChIJg65_hNlNE5ERbiKbSU17PPI,Villa Brasa,Restaurante especializado en pollo,"RF64+JP, Pampachiri 03600",,,,,"-14.1883514,-73.54342059999999",,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJ42RYYNVNE5ERoTzIG2USHrU,https://www.google.com/maps/place/?q=place_id:ChIJ42RYYNVNE5ERoTzIG2USHrU,RESTAURANT RIO CHICHA,Restaurante,"LARCAY, 051, Ayacucho",985 039 711,+51 985 039 711,,,"-14.2155802,-73.5379616",3.6,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJF2Rmk-xJE5ER6aTDDrGhNyc,https://www.google.com/maps/place/?q=place_id:ChIJF2Rmk-xJE5ER6aTDDrGhNyc,Pollería,Restaurante,"V9MV+QV9, Soras 05375",913 070 530,+51 913 070 530,,,"-14.1155773,-73.605278",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJM6i8HUV9EpER5pXUtBdUqlI,https://www.google.com/maps/place/?q=place_id:ChIJM6i8HUV9EpER5pXUtBdUqlI,Pollería Perlaschallay,Tienda de aves de corral,"Jirón Roma 183 - Magdalena, Ayacucho 05003",999 037 474,+51 999 037 474,facebook.com,https://web.facebook.com/PerlaschallayOficial,"-13.157524599999999,-74.22014589999999",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJg65_hNlNE5ERbiKbSU17PPI,https://www.google.com/maps/place/?q=place_id:ChIJg65_hNlNE5ERbiKbSU17PPI,Villa Brasa,Restaurante especializado en pollo,"RF64+JP, Pampachiri 03600",,,,,"-14.1883514,-73.54342059999999",,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJ42RYYNVNE5ERoTzIG2USHrU,https://www.google.com/maps/place/?q=place_id:ChIJ42RYYNVNE5ERoTzIG2USHrU,RESTAURANT RIO CHICHA,Restaurante,"LARCAY, 051, Ayacucho",985 039 711,+51 985 039 711,,,"-14.2155802,-73.5379616",3.6,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJF2Rmk-xJE5ER6aTDDrGhNyc,https://www.google.com/maps/place/?q=place_id:ChIJF2Rmk-xJE5ER6aTDDrGhNyc,Pollería,Restaurante,"V9MV+QV9, Soras 05375",913 070 530,+51 913 070 530,,,"-14.1155773,-73.605278",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJM6i8HUV9EpER5pXUtBdUqlI,https://www.google.com/maps/place/?q=place_id:ChIJM6i8HUV9EpER5pXUtBdUqlI,Pollería Perlaschallay,Tienda de aves de corral,"Jirón Roma 183 - Magdalena, Ayacucho 05003",999 037 474,+51 999 037 474,facebook.com,https://web.facebook.com/PerlaschallayOficial,"-13.157524599999999,-74.22014589999999",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJg65_hNlNE5ERbiKbSU17PPI,https://www.google.com/maps/place/?q=place_id:ChIJg65_hNlNE5ERbiKbSU17PPI,Villa Brasa,Restaurante especializado en pollo,"RF64+JP, Pampachiri 03600",,,,,"-14.1883514,-73.54342059999999",,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJ42RYYNVNE5ERoTzIG2USHrU,https://www.google.com/maps/place/?q=place_id:ChIJ42RYYNVNE5ERoTzIG2USHrU,RESTAURANT RIO CHICHA,Restaurante,"LARCAY, 051, Ayacucho",985 039 711,+51 985 039 711,,,"-14.2155802,-73.5379616",3.6,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJF2Rmk-xJE5ER6aTDDrGhNyc,https://www.google.com/maps/place/?q=place_id:ChIJF2Rmk-xJE5ER6aTDDrGhNyc,Pollería,Restaurante,"V9MV+QV9, Soras 05375",913 070 530,+51 913 070 530,,,"-14.1155773,-73.605278",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJM6i8HUV9EpER5pXUtBdUqlI,https://www.google.com/maps/place/?q=place_id:ChIJM6i8HUV9EpER5pXUtBdUqlI,Pollería Perlaschallay,Tienda de aves de corral,"Jirón Roma 183 - Magdalena, Ayacucho 05003",999 037 474,+51 999 037 474,facebook.com,https://web.facebook.com/PerlaschallayOficial,"-13.157524599999999,-74.22014589999999",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJg65_hNlNE5ERbiKbSU17PPI,https://www.google.com/maps/place/?q=place_id:ChIJg65_hNlNE5ERbiKbSU17PPI,Villa Brasa,Restaurante especializado en pollo,"RF64+JP, Pampachiri 03600",,,,,"-14.1883514,-73.54342059999999",,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJ42RYYNVNE5ERoTzIG2USHrU,https://www.google.com/maps/place/?q=place_id:ChIJ42RYYNVNE5ERoTzIG2USHrU,RESTAURANT RIO CHICHA,Restaurante,"LARCAY, 051, Ayacucho",985 039 711,+51 985 039 711,,,"-14.2155802,-73.5379616",3.6,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJF2Rmk-xJE5ER6aTDDrGhNyc,https://www.google.com/maps/place/?q=place_id:ChIJF2Rmk-xJE5ER6aTDDrGhNyc,Pollería,Restaurante,"V9MV+QV9, Soras 05375",913 070 530,+51 913 070 530,,,"-14.1155773,-73.605278",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJM6i8HUV9EpER5pXUtBdUqlI,https://www.google.com/maps/place/?q=place_id:ChIJM6i8HUV9EpER5pXUtBdUqlI,Pollería Perlaschallay,Tienda de aves de corral,"Jirón Roma 183 - Magdalena, Ayacucho 05003",999 037 474,+51 999 037 474,facebook.com,https://web.facebook.com/PerlaschallayOficial,"-13.157524599999999,-74.22014589999999",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJg65_hNlNE5ERbiKbSU17PPI,https://www.google.com/maps/place/?q=place_id:ChIJg65_hNlNE5ERbiKbSU17PPI,Villa Brasa,Restaurante especializado en pollo,"RF64+JP, Pampachiri 03600",,,,,"-14.1883514,-73.54342059999999",,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJ42RYYNVNE5ERoTzIG2USHrU,https://www.google.com/maps/place/?q=place_id:ChIJ42RYYNVNE5ERoTzIG2USHrU,RESTAURANT RIO CHICHA,Restaurante,"LARCAY, 051, Ayacucho",985 039 711,+51 985 039 711,,,"-14.2155802,-73.5379616",3.6,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJF2Rmk-xJE5ER6aTDDrGhNyc,https://www.google.com/maps/place/?q=place_id:ChIJF2Rmk-xJE5ER6aTDDrGhNyc,Pollería,Restaurante,"V9MV+QV9, Soras 05375",913 070 530,+51 913 070 530,,,"-14.1155773,-73.605278",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJYVnhjlTOBZERRGsQuAaJLno,https://www.google.com/maps/place/?q=place_id:ChIJYVnhjlTOBZERRGsQuAaJLno,Centro Unión San Pedro de Larcay,Polideportivo,"Av Industrial 3610, San Martín de Porres 15311",992 721 572,+51 992 721 572,,,"-11.9926269,-77.0588451",4,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJg65_hNlNE5ERbiKbSU17PPI,https://www.google.com/maps/place/?q=place_id:ChIJg65_hNlNE5ERbiKbSU17PPI,Villa Brasa,Restaurante especializado en pollo,"RF64+JP, Pampachiri 03600",,,,,"-14.1883514,-73.54342059999999",,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJ42RYYNVNE5ERoTzIG2USHrU,https://www.google.com/maps/place/?q=place_id:ChIJ42RYYNVNE5ERoTzIG2USHrU,RESTAURANT RIO CHICHA,Restaurante,"LARCAY, 051, Ayacucho",985 039 711,+51 985 039 711,,,"-14.2155802,-73.5379616",3.6,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJF2Rmk-xJE5ER6aTDDrGhNyc,https://www.google.com/maps/place/?q=place_id:ChIJF2Rmk-xJE5ER6aTDDrGhNyc,Pollería,Restaurante,"V9MV+QV9, Soras 05375",913 070 530,+51 913 070 530,,,"-14.1155773,-73.605278",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJM6i8HUV9EpER5pXUtBdUqlI,https://www.google.com/maps/place/?q=place_id:ChIJM6i8HUV9EpER5pXUtBdUqlI,Pollería Perlaschallay,Tienda de aves de corral,"Jirón Roma 183 - Magdalena, Ayacucho 05003",999 037 474,+51 999 037 474,facebook.com,https://web.facebook.com/PerlaschallayOficial,"-13.157524599999999,-74.22014589999999",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJg65_hNlNE5ERbiKbSU17PPI,https://www.google.com/maps/place/?q=place_id:ChIJg65_hNlNE5ERbiKbSU17PPI,Villa Brasa,Restaurante especializado en pollo,"RF64+JP, Pampachiri 03600",,,,,"-14.1883514,-73.54342059999999",,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJ42RYYNVNE5ERoTzIG2USHrU,https://www.google.com/maps/place/?q=place_id:ChIJ42RYYNVNE5ERoTzIG2USHrU,RESTAURANT RIO CHICHA,Restaurante,"LARCAY, 051, Ayacucho",985 039 711,+51 985 039 711,,,"-14.2155802,-73.5379616",3.6,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJF2Rmk-xJE5ER6aTDDrGhNyc,https://www.google.com/maps/place/?q=place_id:ChIJF2Rmk-xJE5ER6aTDDrGhNyc,Pollería,Restaurante,"V9MV+QV9, Soras 05375",913 070 530,+51 913 070 530,,,"-14.1155773,-73.605278",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJM6i8HUV9EpER5pXUtBdUqlI,https://www.google.com/maps/place/?q=place_id:ChIJM6i8HUV9EpER5pXUtBdUqlI,Pollería Perlaschallay,Tienda de aves de corral,"Jirón Roma 183 - Magdalena, Ayacucho 05003",999 037 474,+51 999 037 474,facebook.com,https://web.facebook.com/PerlaschallayOficial,"-13.157524599999999,-74.22014589999999",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJg65_hNlNE5ERbiKbSU17PPI,https://www.google.com/maps/place/?q=place_id:ChIJg65_hNlNE5ERbiKbSU17PPI,Villa Brasa,Restaurante especializado en pollo,"RF64+JP, Pampachiri 03600",,,,,"-14.1883514,-73.54342059999999",,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJ42RYYNVNE5ERoTzIG2USHrU,https://www.google.com/maps/place/?q=place_id:ChIJ42RYYNVNE5ERoTzIG2USHrU,RESTAURANT RIO CHICHA,Restaurante,"LARCAY, 051, Ayacucho",985 039 711,+51 985 039 711,,,"-14.2155802,-73.5379616",3.6,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJF2Rmk-xJE5ER6aTDDrGhNyc,https://www.google.com/maps/place/?q=place_id:ChIJF2Rmk-xJE5ER6aTDDrGhNyc,Pollería,Restaurante,"V9MV+QV9, Soras 05375",913 070 530,+51 913 070 530,,,"-14.1155773,-73.605278",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJYVnhjlTOBZERRGsQuAaJLno,https://www.google.com/maps/place/?q=place_id:ChIJYVnhjlTOBZERRGsQuAaJLno,Centro Unión San Pedro de Larcay,Polideportivo,"Av Industrial 3610, San Martín de Porres 15311",992 721 572,+51 992 721 572,,,"-11.9926269,-77.0588451",4,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJg65_hNlNE5ERbiKbSU17PPI,https://www.google.com/maps/place/?q=place_id:ChIJg65_hNlNE5ERbiKbSU17PPI,Villa Brasa,Restaurante especializado en pollo,"RF64+JP, Pampachiri 03600",,,,,"-14.1883514,-73.54342059999999",,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJ42RYYNVNE5ERoTzIG2USHrU,https://www.google.com/maps/place/?q=place_id:ChIJ42RYYNVNE5ERoTzIG2USHrU,RESTAURANT RIO CHICHA,Restaurante,"LARCAY, 051, Ayacucho",985 039 711,+51 985 039 711,,,"-14.2155802,-73.5379616",3.6,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJF2Rmk-xJE5ER6aTDDrGhNyc,https://www.google.com/maps/place/?q=place_id:ChIJF2Rmk-xJE5ER6aTDDrGhNyc,Pollería,Restaurante,"V9MV+QV9, Soras 05375",913 070 530,+51 913 070 530,,,"-14.1155773,-73.605278",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJM6i8HUV9EpER5pXUtBdUqlI,https://www.google.com/maps/place/?q=place_id:ChIJM6i8HUV9EpER5pXUtBdUqlI,Pollería Perlaschallay,Tienda de aves de corral,"Jirón Roma 183 - Magdalena, Ayacucho 05003",999 037 474,+51 999 037 474,facebook.com,https://web.facebook.com/PerlaschallayOficial,"-13.157524599999999,-74.22014589999999",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJg65_hNlNE5ERbiKbSU17PPI,https://www.google.com/maps/place/?q=place_id:ChIJg65_hNlNE5ERbiKbSU17PPI,Villa Brasa,Restaurante especializado en pollo,"RF64+JP, Pampachiri 03600",,,,,"-14.1883514,-73.54342059999999",,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJ42RYYNVNE5ERoTzIG2USHrU,https://www.google.com/maps/place/?q=place_id:ChIJ42RYYNVNE5ERoTzIG2USHrU,RESTAURANT RIO CHICHA,Restaurante,"LARCAY, 051, Ayacucho",985 039 711,+51 985 039 711,,,"-14.2155802,-73.5379616",3.6,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJF2Rmk-xJE5ER6aTDDrGhNyc,https://www.google.com/maps/place/?q=place_id:ChIJF2Rmk-xJE5ER6aTDDrGhNyc,Pollería,Restaurante,"V9MV+QV9, Soras 05375",913 070 530,+51 913 070 530,,,"-14.1155773,-73.605278",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJM6i8HUV9EpER5pXUtBdUqlI,https://www.google.com/maps/place/?q=place_id:ChIJM6i8HUV9EpER5pXUtBdUqlI,Pollería Perlaschallay,Tienda de aves de corral,"Jirón Roma 183 - Magdalena, Ayacucho 05003",999 037 474,+51 999 037 474,facebook.com,https://web.facebook.com/PerlaschallayOficial,"-13.157524599999999,-74.22014589999999",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJg65_hNlNE5ERbiKbSU17PPI,https://www.google.com/maps/place/?q=place_id:ChIJg65_hNlNE5ERbiKbSU17PPI,Villa Brasa,Restaurante especializado en pollo,"RF64+JP, Pampachiri 03600",,,,,"-14.1883514,-73.54342059999999",,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJ42RYYNVNE5ERoTzIG2USHrU,https://www.google.com/maps/place/?q=place_id:ChIJ42RYYNVNE5ERoTzIG2USHrU,RESTAURANT RIO CHICHA,Restaurante,"LARCAY, 051, Ayacucho",985 039 711,+51 985 039 711,,,"-14.2155802,-73.5379616",3.6,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJF2Rmk-xJE5ER6aTDDrGhNyc,https://www.google.com/maps/place/?q=place_id:ChIJF2Rmk-xJE5ER6aTDDrGhNyc,Pollería,Restaurante,"V9MV+QV9, Soras 05375",913 070 530,+51 913 070 530,,,"-14.1155773,-73.605278",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJM6i8HUV9EpER5pXUtBdUqlI,https://www.google.com/maps/place/?q=place_id:ChIJM6i8HUV9EpER5pXUtBdUqlI,Pollería Perlaschallay,Tienda de aves de corral,"Jirón Roma 183 - Magdalena, Ayacucho 05003",999 037 474,+51 999 037 474,facebook.com,https://web.facebook.com/PerlaschallayOficial,"-13.157524599999999,-74.22014589999999",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJg65_hNlNE5ERbiKbSU17PPI,https://www.google.com/maps/place/?q=place_id:ChIJg65_hNlNE5ERbiKbSU17PPI,Villa Brasa,Restaurante especializado en pollo,"RF64+JP, Pampachiri 03600",,,,,"-14.1883514,-73.54342059999999",,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJ42RYYNVNE5ERoTzIG2USHrU,https://www.google.com/maps/place/?q=place_id:ChIJ42RYYNVNE5ERoTzIG2USHrU,RESTAURANT RIO CHICHA,Restaurante,"LARCAY, 051, Ayacucho",985 039 711,+51 985 039 711,,,"-14.2155802,-73.5379616",3.6,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJF2Rmk-xJE5ER6aTDDrGhNyc,https://www.google.com/maps/place/?q=place_id:ChIJF2Rmk-xJE5ER6aTDDrGhNyc,Pollería,Restaurante,"V9MV+QV9, Soras 05375",913 070 530,+51 913 070 530,,,"-14.1155773,-73.605278",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJM6i8HUV9EpER5pXUtBdUqlI,https://www.google.com/maps/place/?q=place_id:ChIJM6i8HUV9EpER5pXUtBdUqlI,Pollería Perlaschallay,Tienda de aves de corral,"Jirón Roma 183 - Magdalena, Ayacucho 05003",999 037 474,+51 999 037 474,facebook.com,https://web.facebook.com/PerlaschallayOficial,"-13.157524599999999,-74.22014589999999",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJg65_hNlNE5ERbiKbSU17PPI,https://www.google.com/maps/place/?q=place_id:ChIJg65_hNlNE5ERbiKbSU17PPI,Villa Brasa,Restaurante especializado en pollo,"RF64+JP, Pampachiri 03600",,,,,"-14.1883514,-73.54342059999999",,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJ42RYYNVNE5ERoTzIG2USHrU,https://www.google.com/maps/place/?q=place_id:ChIJ42RYYNVNE5ERoTzIG2USHrU,RESTAURANT RIO CHICHA,Restaurante,"LARCAY, 051, Ayacucho",985 039 711,+51 985 039 711,,,"-14.2155802,-73.5379616",3.6,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJF2Rmk-xJE5ER6aTDDrGhNyc,https://www.google.com/maps/place/?q=place_id:ChIJF2Rmk-xJE5ER6aTDDrGhNyc,Pollería,Restaurante,"V9MV+QV9, Soras 05375",913 070 530,+51 913 070 530,,,"-14.1155773,-73.605278",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJM6i8HUV9EpER5pXUtBdUqlI,https://www.google.com/maps/place/?q=place_id:ChIJM6i8HUV9EpER5pXUtBdUqlI,Pollería Perlaschallay,Tienda de aves de corral,"Jirón Roma 183 - Magdalena, Ayacucho 05003",999 037 474,+51 999 037 474,facebook.com,https://web.facebook.com/PerlaschallayOficial,"-13.157524599999999,-74.22014589999999",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJg65_hNlNE5ERbiKbSU17PPI,https://www.google.com/maps/place/?q=place_id:ChIJg65_hNlNE5ERbiKbSU17PPI,Villa Brasa,Restaurante especializado en pollo,"RF64+JP, Pampachiri 03600",,,,,"-14.1883514,-73.54342059999999",,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJ42RYYNVNE5ERoTzIG2USHrU,https://www.google.com/maps/place/?q=place_id:ChIJ42RYYNVNE5ERoTzIG2USHrU,RESTAURANT RIO CHICHA,Restaurante,"LARCAY, 051, Ayacucho",985 039 711,+51 985 039 711,,,"-14.2155802,-73.5379616",3.6,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJF2Rmk-xJE5ER6aTDDrGhNyc,https://www.google.com/maps/place/?q=place_id:ChIJF2Rmk-xJE5ER6aTDDrGhNyc,Pollería,Restaurante,"V9MV+QV9, Soras 05375",913 070 530,+51 913 070 530,,,"-14.1155773,-73.605278",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJM6i8HUV9EpER5pXUtBdUqlI,https://www.google.com/maps/place/?q=place_id:ChIJM6i8HUV9EpER5pXUtBdUqlI,Pollería Perlaschallay,Tienda de aves de corral,"Jirón Roma 183 - Magdalena, Ayacucho 05003",999 037 474,+51 999 037 474,facebook.com,https://web.facebook.com/PerlaschallayOficial,"-13.157524599999999,-74.22014589999999",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJg65_hNlNE5ERbiKbSU17PPI,https://www.google.com/maps/place/?q=place_id:ChIJg65_hNlNE5ERbiKbSU17PPI,Villa Brasa,Restaurante especializado en pollo,"RF64+JP, Pampachiri 03600",,,,,"-14.1883514,-73.54342059999999",,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJ42RYYNVNE5ERoTzIG2USHrU,https://www.google.com/maps/place/?q=place_id:ChIJ42RYYNVNE5ERoTzIG2USHrU,RESTAURANT RIO CHICHA,Restaurante,"LARCAY, 051, Ayacucho",985 039 711,+51 985 039 711,,,"-14.2155802,-73.5379616",3.6,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJF2Rmk-xJE5ER6aTDDrGhNyc,https://www.google.com/maps/place/?q=place_id:ChIJF2Rmk-xJE5ER6aTDDrGhNyc,Pollería,Restaurante,"V9MV+QV9, Soras 05375",913 070 530,+51 913 070 530,,,"-14.1155773,-73.605278",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJM6i8HUV9EpER5pXUtBdUqlI,https://www.google.com/maps/place/?q=place_id:ChIJM6i8HUV9EpER5pXUtBdUqlI,Pollería Perlaschallay,Tienda de aves de corral,"Jirón Roma 183 - Magdalena, Ayacucho 05003",999 037 474,+51 999 037 474,facebook.com,https://web.facebook.com/PerlaschallayOficial,"-13.157524599999999,-74.22014589999999",5,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJg65_hNlNE5ERbiKbSU17PPI,https://www.google.com/maps/place/?q=place_id:ChIJg65_hNlNE5ERbiKbSU17PPI,Villa Brasa,Restaurante especializado en pollo,"RF64+JP, Pampachiri 03600",,,,,"-14.1883514,-73.54342059999999",,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
ChIJ42RYYNVNE5ERoTzIG2USHrU,https://www.google.com/maps/place/?q=place_id:ChIJ42RYYNVNE5ERoTzIG2USHrU,RESTAURANT RIO CHICHA,Restaurante,"LARCAY, 051, Ayacucho",985 039 711,+51 985 039 711,,,"-14.2155802,-73.5379616",3.6,,"Pollería en el distrito de San Pedro de Larcay, Sucre, Ayacucho, Perú"
