id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJCc8wMKpLQpERmsIMHB_kvEY,https://www.google.com/maps/place/?q=place_id:ChIJCc8wMKpLQpERmsIMHB_kvEY,La Cabaña Pollería Criolla - Sede Miraflores,Restaurante,"Av. Mariscal Castilla 321, Miraflores 15048",(054) 200236,+51 54 200236,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4004928,-71.519773",3.7,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJRdX_RwBLQpERvg8hWsc_nDo,https://www.google.com/maps/place/?q=place_id:ChIJRdX_RwBLQpERvg8hWsc_nDo,La Cabaña Pollería Criolla - Sede Umacollo,Restaurante,"04002, Yanahuara 04013",958 952 916,+51 958 952 916,,,"-16.3980309,-71.5480577",3.9,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJf28TtTdLQpEROjhJsamKixo,https://www.google.com/maps/place/?q=place_id:ChIJf28TtTdLQpEROjhJsamKixo,El Calacunco Polleria,Restaurante,"Av. Estados Unidos 12, José Luis Bustamante y Rivero 04002",966 304 476,+51 966 304 476,,,"-16.4293537,-71.5240903",4.7,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJr5o-V-wDapERFWBBjVPj56c,https://www.google.com/maps/place/?q=place_id:ChIJr5o-V-wDapERFWBBjVPj56c,La Escondida,Restaurante especializado en pollo,"92H9+8Q7, Cabanaconde 04124",,,,,"-15.6216847,-71.9806337",5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJgf52CwADapERUhqekdghdHA,https://www.google.com/maps/place/?q=place_id:ChIJgf52CwADapERUhqekdghdHA,Chiuchi,Restaurante especializado en pollo,"92H9+8Q7, Cabanaconde 04124",,,,,"-15.621686299999999,-71.9806256",5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJr3PlPtdKQpERHsJ8POrphK8,https://www.google.com/maps/place/?q=place_id:ChIJr3PlPtdKQpERHsJ8POrphK8,La Cabaña Pollería Criolla - Sede Socabaya,Restaurante especializado en pollo,"Av. Socabaya 327, Cercado De Arequipa 04009",(054) 411111,+51 54 411111,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4392015,-71.52963679999999",3.5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJCc8wMKpLQpERmsIMHB_kvEY,https://www.google.com/maps/place/?q=place_id:ChIJCc8wMKpLQpERmsIMHB_kvEY,La Cabaña Pollería Criolla - Sede Miraflores,Restaurante,"Av. Mariscal Castilla 321, Miraflores 15048",(054) 200236,+51 54 200236,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4004928,-71.519773",3.7,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJRdX_RwBLQpERvg8hWsc_nDo,https://www.google.com/maps/place/?q=place_id:ChIJRdX_RwBLQpERvg8hWsc_nDo,La Cabaña Pollería Criolla - Sede Umacollo,Restaurante,"04002, Yanahuara 04013",958 952 916,+51 958 952 916,,,"-16.3980309,-71.5480577",3.9,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJf28TtTdLQpEROjhJsamKixo,https://www.google.com/maps/place/?q=place_id:ChIJf28TtTdLQpEROjhJsamKixo,El Calacunco Polleria,Restaurante,"Av. Estados Unidos 12, José Luis Bustamante y Rivero 04002",966 304 476,+51 966 304 476,,,"-16.4293537,-71.5240903",4.7,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJr5o-V-wDapERFWBBjVPj56c,https://www.google.com/maps/place/?q=place_id:ChIJr5o-V-wDapERFWBBjVPj56c,La Escondida,Restaurante especializado en pollo,"92H9+8Q7, Cabanaconde 04124",,,,,"-15.6216847,-71.9806337",5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJgf52CwADapERUhqekdghdHA,https://www.google.com/maps/place/?q=place_id:ChIJgf52CwADapERUhqekdghdHA,Chiuchi,Restaurante especializado en pollo,"92H9+8Q7, Cabanaconde 04124",,,,,"-15.621686299999999,-71.9806256",5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJr3PlPtdKQpERHsJ8POrphK8,https://www.google.com/maps/place/?q=place_id:ChIJr3PlPtdKQpERHsJ8POrphK8,La Cabaña Pollería Criolla - Sede Socabaya,Restaurante especializado en pollo,"Av. Socabaya 327, Cercado De Arequipa 04009",(054) 411111,+51 54 411111,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4392015,-71.52963679999999",3.5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJCc8wMKpLQpERmsIMHB_kvEY,https://www.google.com/maps/place/?q=place_id:ChIJCc8wMKpLQpERmsIMHB_kvEY,La Cabaña Pollería Criolla - Sede Miraflores,Restaurante,"Av. Mariscal Castilla 321, Miraflores 15048",(054) 200236,+51 54 200236,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4004928,-71.519773",3.7,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJRdX_RwBLQpERvg8hWsc_nDo,https://www.google.com/maps/place/?q=place_id:ChIJRdX_RwBLQpERvg8hWsc_nDo,La Cabaña Pollería Criolla - Sede Umacollo,Restaurante,"04002, Yanahuara 04013",958 952 916,+51 958 952 916,,,"-16.3980309,-71.5480577",3.9,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJf28TtTdLQpEROjhJsamKixo,https://www.google.com/maps/place/?q=place_id:ChIJf28TtTdLQpEROjhJsamKixo,El Calacunco Polleria,Restaurante,"Av. Estados Unidos 12, José Luis Bustamante y Rivero 04002",966 304 476,+51 966 304 476,,,"-16.4293537,-71.5240903",4.7,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJr5o-V-wDapERFWBBjVPj56c,https://www.google.com/maps/place/?q=place_id:ChIJr5o-V-wDapERFWBBjVPj56c,La Escondida,Restaurante especializado en pollo,"92H9+8Q7, Cabanaconde 04124",,,,,"-15.6216847,-71.9806337",5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJgf52CwADapERUhqekdghdHA,https://www.google.com/maps/place/?q=place_id:ChIJgf52CwADapERUhqekdghdHA,Chiuchi,Restaurante especializado en pollo,"92H9+8Q7, Cabanaconde 04124",,,,,"-15.621686299999999,-71.9806256",5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJr3PlPtdKQpERHsJ8POrphK8,https://www.google.com/maps/place/?q=place_id:ChIJr3PlPtdKQpERHsJ8POrphK8,La Cabaña Pollería Criolla - Sede Socabaya,Restaurante especializado en pollo,"Av. Socabaya 327, Cercado De Arequipa 04009",(054) 411111,+51 54 411111,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4392015,-71.52963679999999",3.5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJCc8wMKpLQpERmsIMHB_kvEY,https://www.google.com/maps/place/?q=place_id:ChIJCc8wMKpLQpERmsIMHB_kvEY,La Cabaña Pollería Criolla - Sede Miraflores,Restaurante,"Av. Mariscal Castilla 321, Miraflores 15048",(054) 200236,+51 54 200236,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4004928,-71.519773",3.7,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJRdX_RwBLQpERvg8hWsc_nDo,https://www.google.com/maps/place/?q=place_id:ChIJRdX_RwBLQpERvg8hWsc_nDo,La Cabaña Pollería Criolla - Sede Umacollo,Restaurante,"04002, Yanahuara 04013",958 952 916,+51 958 952 916,,,"-16.3980309,-71.5480577",3.9,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJf28TtTdLQpEROjhJsamKixo,https://www.google.com/maps/place/?q=place_id:ChIJf28TtTdLQpEROjhJsamKixo,El Calacunco Polleria,Restaurante,"Av. Estados Unidos 12, José Luis Bustamante y Rivero 04002",966 304 476,+51 966 304 476,,,"-16.4293537,-71.5240903",4.7,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJr5o-V-wDapERFWBBjVPj56c,https://www.google.com/maps/place/?q=place_id:ChIJr5o-V-wDapERFWBBjVPj56c,La Escondida,Restaurante especializado en pollo,"92H9+8Q7, Cabanaconde 04124",,,,,"-15.6216847,-71.9806337",5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJgf52CwADapERUhqekdghdHA,https://www.google.com/maps/place/?q=place_id:ChIJgf52CwADapERUhqekdghdHA,Chiuchi,Restaurante especializado en pollo,"92H9+8Q7, Cabanaconde 04124",,,,,"-15.621686299999999,-71.9806256",5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJr3PlPtdKQpERHsJ8POrphK8,https://www.google.com/maps/place/?q=place_id:ChIJr3PlPtdKQpERHsJ8POrphK8,La Cabaña Pollería Criolla - Sede Socabaya,Restaurante especializado en pollo,"Av. Socabaya 327, Cercado De Arequipa 04009",(054) 411111,+51 54 411111,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4392015,-71.52963679999999",3.5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJCc8wMKpLQpERmsIMHB_kvEY,https://www.google.com/maps/place/?q=place_id:ChIJCc8wMKpLQpERmsIMHB_kvEY,La Cabaña Pollería Criolla - Sede Miraflores,Restaurante,"Av. Mariscal Castilla 321, Miraflores 15048",(054) 200236,+51 54 200236,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4004928,-71.519773",3.7,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJRdX_RwBLQpERvg8hWsc_nDo,https://www.google.com/maps/place/?q=place_id:ChIJRdX_RwBLQpERvg8hWsc_nDo,La Cabaña Pollería Criolla - Sede Umacollo,Restaurante,"04002, Yanahuara 04013",958 952 916,+51 958 952 916,,,"-16.3980309,-71.5480577",3.9,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJf28TtTdLQpEROjhJsamKixo,https://www.google.com/maps/place/?q=place_id:ChIJf28TtTdLQpEROjhJsamKixo,El Calacunco Polleria,Restaurante,"Av. Estados Unidos 12, José Luis Bustamante y Rivero 04002",966 304 476,+51 966 304 476,,,"-16.4293537,-71.5240903",4.7,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJr5o-V-wDapERFWBBjVPj56c,https://www.google.com/maps/place/?q=place_id:ChIJr5o-V-wDapERFWBBjVPj56c,La Escondida,Restaurante especializado en pollo,"92H9+8Q7, Cabanaconde 04124",,,,,"-15.6216847,-71.9806337",5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJgf52CwADapERUhqekdghdHA,https://www.google.com/maps/place/?q=place_id:ChIJgf52CwADapERUhqekdghdHA,Chiuchi,Restaurante especializado en pollo,"92H9+8Q7, Cabanaconde 04124",,,,,"-15.621686299999999,-71.9806256",5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJr3PlPtdKQpERHsJ8POrphK8,https://www.google.com/maps/place/?q=place_id:ChIJr3PlPtdKQpERHsJ8POrphK8,La Cabaña Pollería Criolla - Sede Socabaya,Restaurante especializado en pollo,"Av. Socabaya 327, Cercado De Arequipa 04009",(054) 411111,+51 54 411111,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4392015,-71.52963679999999",3.5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJCc8wMKpLQpERmsIMHB_kvEY,https://www.google.com/maps/place/?q=place_id:ChIJCc8wMKpLQpERmsIMHB_kvEY,La Cabaña Pollería Criolla - Sede Miraflores,Restaurante,"Av. Mariscal Castilla 321, Miraflores 15048",(054) 200236,+51 54 200236,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4004928,-71.519773",3.7,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJRdX_RwBLQpERvg8hWsc_nDo,https://www.google.com/maps/place/?q=place_id:ChIJRdX_RwBLQpERvg8hWsc_nDo,La Cabaña Pollería Criolla - Sede Umacollo,Restaurante,"04002, Yanahuara 04013",958 952 916,+51 958 952 916,,,"-16.3980309,-71.5480577",3.9,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJf28TtTdLQpEROjhJsamKixo,https://www.google.com/maps/place/?q=place_id:ChIJf28TtTdLQpEROjhJsamKixo,El Calacunco Polleria,Restaurante,"Av. Estados Unidos 12, José Luis Bustamante y Rivero 04002",966 304 476,+51 966 304 476,,,"-16.4293537,-71.5240903",4.7,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJr5o-V-wDapERFWBBjVPj56c,https://www.google.com/maps/place/?q=place_id:ChIJr5o-V-wDapERFWBBjVPj56c,La Escondida,Restaurante especializado en pollo,"92H9+8Q7, Cabanaconde 04124",,,,,"-15.6216847,-71.9806337",5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJgf52CwADapERUhqekdghdHA,https://www.google.com/maps/place/?q=place_id:ChIJgf52CwADapERUhqekdghdHA,Chiuchi,Restaurante especializado en pollo,"92H9+8Q7, Cabanaconde 04124",,,,,"-15.621686299999999,-71.9806256",5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJr3PlPtdKQpERHsJ8POrphK8,https://www.google.com/maps/place/?q=place_id:ChIJr3PlPtdKQpERHsJ8POrphK8,La Cabaña Pollería Criolla - Sede Socabaya,Restaurante especializado en pollo,"Av. Socabaya 327, Cercado De Arequipa 04009",(054) 411111,+51 54 411111,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4392015,-71.52963679999999",3.5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJCc8wMKpLQpERmsIMHB_kvEY,https://www.google.com/maps/place/?q=place_id:ChIJCc8wMKpLQpERmsIMHB_kvEY,La Cabaña Pollería Criolla - Sede Miraflores,Restaurante,"Av. Mariscal Castilla 321, Miraflores 15048",(054) 200236,+51 54 200236,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4004928,-71.519773",3.7,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJRdX_RwBLQpERvg8hWsc_nDo,https://www.google.com/maps/place/?q=place_id:ChIJRdX_RwBLQpERvg8hWsc_nDo,La Cabaña Pollería Criolla - Sede Umacollo,Restaurante,"04002, Yanahuara 04013",958 952 916,+51 958 952 916,,,"-16.3980309,-71.5480577",3.9,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJf28TtTdLQpEROjhJsamKixo,https://www.google.com/maps/place/?q=place_id:ChIJf28TtTdLQpEROjhJsamKixo,El Calacunco Polleria,Restaurante,"Av. Estados Unidos 12, José Luis Bustamante y Rivero 04002",966 304 476,+51 966 304 476,,,"-16.4293537,-71.5240903",4.7,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJr5o-V-wDapERFWBBjVPj56c,https://www.google.com/maps/place/?q=place_id:ChIJr5o-V-wDapERFWBBjVPj56c,La Escondida,Restaurante especializado en pollo,"92H9+8Q7, Cabanaconde 04124",,,,,"-15.6216847,-71.9806337",5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJgf52CwADapERUhqekdghdHA,https://www.google.com/maps/place/?q=place_id:ChIJgf52CwADapERUhqekdghdHA,Chiuchi,Restaurante especializado en pollo,"92H9+8Q7, Cabanaconde 04124",,,,,"-15.621686299999999,-71.9806256",5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJr3PlPtdKQpERHsJ8POrphK8,https://www.google.com/maps/place/?q=place_id:ChIJr3PlPtdKQpERHsJ8POrphK8,La Cabaña Pollería Criolla - Sede Socabaya,Restaurante especializado en pollo,"Av. Socabaya 327, Cercado De Arequipa 04009",(054) 411111,+51 54 411111,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4392015,-71.52963679999999",3.5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJCc8wMKpLQpERmsIMHB_kvEY,https://www.google.com/maps/place/?q=place_id:ChIJCc8wMKpLQpERmsIMHB_kvEY,La Cabaña Pollería Criolla - Sede Miraflores,Restaurante,"Av. Mariscal Castilla 321, Miraflores 15048",(054) 200236,+51 54 200236,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4004928,-71.519773",3.7,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJRdX_RwBLQpERvg8hWsc_nDo,https://www.google.com/maps/place/?q=place_id:ChIJRdX_RwBLQpERvg8hWsc_nDo,La Cabaña Pollería Criolla - Sede Umacollo,Restaurante,"04002, Yanahuara 04013",958 952 916,+51 958 952 916,,,"-16.3980309,-71.5480577",3.9,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJf28TtTdLQpEROjhJsamKixo,https://www.google.com/maps/place/?q=place_id:ChIJf28TtTdLQpEROjhJsamKixo,El Calacunco Polleria,Restaurante,"Av. Estados Unidos 12, José Luis Bustamante y Rivero 04002",966 304 476,+51 966 304 476,,,"-16.4293537,-71.5240903",4.7,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJr5o-V-wDapERFWBBjVPj56c,https://www.google.com/maps/place/?q=place_id:ChIJr5o-V-wDapERFWBBjVPj56c,La Escondida,Restaurante especializado en pollo,"92H9+8Q7, Cabanaconde 04124",,,,,"-15.6216847,-71.9806337",5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJgf52CwADapERUhqekdghdHA,https://www.google.com/maps/place/?q=place_id:ChIJgf52CwADapERUhqekdghdHA,Chiuchi,Restaurante especializado en pollo,"92H9+8Q7, Cabanaconde 04124",,,,,"-15.621686299999999,-71.9806256",5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJr3PlPtdKQpERHsJ8POrphK8,https://www.google.com/maps/place/?q=place_id:ChIJr3PlPtdKQpERHsJ8POrphK8,La Cabaña Pollería Criolla - Sede Socabaya,Restaurante especializado en pollo,"Av. Socabaya 327, Cercado De Arequipa 04009",(054) 411111,+51 54 411111,pollerialacabana.com,https://www.pollerialacabana.com/,"-16.4392015,-71.52963679999999",3.5,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Cabanaconde, Caylloma, Arequipa, Perú"
